date,cb_score,cb_label,fi_score,fi_label,reserves,reserves_level,net_liq_wow,govt_account,fiscal_7d,fiscal_z,stress_bps,stress_level,fwd_5,fwd_10,fwd_20
2008-01-02,-0.67,DRAIN,,NO DATA,300.0,CRISIS,-1.0836,2601.0,,,,NO DATA,2.335,3.8424,1.1743
2008-01-09,-2.0,DRAIN,,NO DATA,200.0,CRISIS,-4.1226,2738.0,,,,NO DATA,1.5075,-0.663,-0.237
2008-01-16,-2.0,DRAIN,,NO DATA,150.0,CRISIS,-1.5228,1335.0,,,,NO DATA,-2.1705,-2.6681,-3.1883
2008-01-23,-1.33,DRAIN,,NO DATA,150.0,CRISIS,-0.1115,1612.0,,,,NO DATA,-0.4977,0.426,0.1488
2008-01-30,-1.33,DRAIN,,NO DATA,150.0,CRISIS,-0.0165,1591.0,,,,NO DATA,0.9237,-0.5202,-3.07
2008-02-06,-1.33,DRAIN,,NO DATA,150.0,CRISIS,0.2543,1511.0,,,,NO DATA,-1.4439,-0.2772,-2.6751
2008-02-13,-2.0,DRAIN,,NO DATA,100.0,CRISIS,-0.2763,1452.0,,,,NO DATA,1.1667,-2.5498,-1.2922
2008-02-20,-2.0,DRAIN,,NO DATA,75.0,CRISIS,0.2977,1351.0,,,,NO DATA,-3.7165,-2.3979,1.7882
2008-02-27,-1.33,DRAIN,,NO DATA,75.0,CRISIS,-0.3072,1569.0,,,,NO DATA,1.3186,1.2576,4.6441
2008-03-05,-1.33,DRAIN,,NO DATA,75.0,CRISIS,0.2647,1345.0,,,,NO DATA,-0.0609,4.1861,2.4376
2008-03-12,-0.67,DRAIN,,NO DATA,279.0,CRISIS,0.2805,1637.0,,,,NO DATA,4.2471,3.3864,3.7198
2008-03-19,-2.0,DRAIN,,NO DATA,69.0,CRISIS,1.7049,458.0,,,,NO DATA,-0.8606,-1.7486,-1.818
2008-03-26,-2.0,DRAIN,,NO DATA,41.0,CRISIS,-0.3316,2340.0,,,,NO DATA,-0.6426,0.3149,-0.1479
2008-04-02,-0.67,DRAIN,,NO DATA,403.0,CRISIS,-0.4788,3831.0,,,,NO DATA,0.9575,0.307,1.0557
2008-04-09,-2.0,DRAIN,,NO DATA,94.0,CRISIS,-0.6544,4778.0,,,,NO DATA,-0.6505,-0.4628,-0.2952
2008-04-16,-2.0,DRAIN,,NO DATA,40.0,CRISIS,-0.3037,4904.0,,,,NO DATA,0.1877,0.7487,-1.1437
2008-04-23,-2.0,DRAIN,,NO DATA,25.0,CRISIS,0.3664,2820.0,,,,NO DATA,0.561,0.1676,-2.4883
2008-04-30,0.0,NEUTRAL,,NO DATA,654.0,CRISIS,2.5163,3082.0,,,,NO DATA,-0.3934,-1.8924,-2.454
2008-05-07,-2.0,DRAIN,,NO DATA,25.0,CRISIS,-0.3241,3362.0,,,,NO DATA,-1.499,-2.6559,0.3737
2008-05-14,-1.33,DRAIN,,NO DATA,25.0,CRISIS,-0.3673,3888.0,,,,NO DATA,-1.1569,-0.5617,2.801
2008-05-21,-1.33,DRAIN,,NO DATA,25.0,CRISIS,1.1421,5114.0,,,,NO DATA,0.1115,3.3604,2.7111
2008-05-28,-1.5,DRAIN,,NO DATA,161.0,CRISIS,-0.5756,6097.0,,,,NO DATA,3.2489,3.5818,2.491
2008-06-04,-2.0,DRAIN,,NO DATA,25.0,CRISIS,0.0861,995.0,,,,NO DATA,0.3328,-0.6493,-0.4225
2008-06-11,-1.33,DRAIN,,NO DATA,25.0,CRISIS,-0.066,1264.0,,,,NO DATA,-0.9821,-1.0908,-1.3777
2008-06-18,-1.33,DRAIN,,NO DATA,25.0,CRISIS,-0.0921,1484.0,,,,NO DATA,-0.1086,0.2267,-0.7828
2008-06-25,-1.5,DRAIN,,NO DATA,50.0,CRISIS,1.1025,1197.0,,,,NO DATA,0.3354,-0.2869,0.424
2008-07-02,-1.0,DRAIN,,NO DATA,148.0,CRISIS,1.8578,1174.0,,,,NO DATA,-1.0242,-1.8792,0.4985
2008-07-09,-2.0,DRAIN,,NO DATA,25.0,CRISIS,-1.0317,1328.0,,,,NO DATA,-0.855,0.1187,5.5452
2008-07-16,-1.33,DRAIN,,NO DATA,25.0,CRISIS,-0.594,1472.0,,,,NO DATA,0.9737,2.3777,5.7519
2008-07-23,-1.33,DRAIN,,NO DATA,25.0,CRISIS,-0.0594,1535.0,,,,NO DATA,1.404,5.4265,3.3447
2008-07-30,0.0,NEUTRAL,,NO DATA,736.0,CRISIS,2.5064,1937.0,,,,NO DATA,4.0225,3.3742,3.5343
2008-08-06,-2.0,DRAIN,,NO DATA,100.0,CRISIS,-0.3476,1527.0,,,,NO DATA,1.0317,-0.5246,1.2292
2008-08-13,-2.0,DRAIN,,NO DATA,25.0,CRISIS,-1.1338,1865.0,,,,NO DATA,-1.5563,-0.8891,-0.1036
2008-08-20,-1.33,DRAIN,,NO DATA,25.0,CRISIS,-0.4097,2614.0,,,,NO DATA,0.6672,1.7538,0.1338
2008-08-27,-1.33,DRAIN,,NO DATA,25.0,CRISIS,0.9173,3180.0,,,,NO DATA,1.0866,0.7854,-1.6958
2008-09-03,-1.33,DRAIN,,NO DATA,25.0,CRISIS,1.1488,1400.0,,,,NO DATA,1.4367,0.5529,1.1863
2008-09-10,-1.33,DRAIN,,NO DATA,25.0,CRISIS,-1.0587,988.0,,,,NO DATA,-0.8839,-4.3349,6.1953
2008-09-17,-1.33,DRAIN,,NO DATA,25.0,CRISIS,-0.61,1362.0,,,,NO DATA,-3.4511,0.6334,9.971
2008-09-24,-1.33,DRAIN,,NO DATA,25.0,CRISIS,0.0333,3508.0,,,,NO DATA,4.0845,10.5302,20.8292
2008-10-01,-1.33,DRAIN,,NO DATA,25.0,CRISIS,0.8468,4999.0,,,,NO DATA,6.4457,9.3375,12.1891
2008-10-08,-1.33,DRAIN,,NO DATA,25.0,CRISIS,0.8339,4036.0,,,,NO DATA,2.8918,10.299,2.9932
2008-10-15,-1.33,DRAIN,,NO DATA,25.0,CRISIS,0.4145,4871.0,,,,NO DATA,5.0653,2.2257,2.4382
2008-10-22,-1.5,DRAIN,,NO DATA,127.0,CRISIS,-0.455,12100.0,,,,NO DATA,-2.8396,-6.1928,2.2103
2008-10-29,-2.0,DRAIN,,NO DATA,25.0,CRISIS,0.486,14288.0,,,,NO DATA,-3.3532,0.2125,1.228
2008-11-05,-1.33,DRAIN,,NO DATA,25.0,CRISIS,0.6142,14730.0,,,,NO DATA,3.5657,8.4031,9.2938
2008-11-12,-1.33,DRAIN,,NO DATA,25.0,CRISIS,0.4425,17400.0,,,,NO DATA,4.2915,0.1136,-1.0776
2008-11-19,-1.33,DRAIN,,NO DATA,25.0,CRISIS,-0.8546,19427.0,,,,NO DATA,-4.1779,-2.4809,-7.1747
2008-11-26,-1.6,DRAIN,,NO DATA,27.0,CRISIS,0.4291,25131.0,,,,NO DATA,1.6969,-1.1913,-1.3227
2008-12-03,-2.0,DRAIN,,NO DATA,25.0,CRISIS,0.6351,24172.0,,,,NO DATA,-2.8882,-4.6938,-5.8877
2008-12-10,-1.5,DRAIN,,NO DATA,34.0,CRISIS,0.3279,25891.0,,,,NO DATA,-1.8056,-0.1314,0.6056
2008-12-17,-1.0,DRAIN,,NO DATA,251.0,CRISIS,1.3639,25195.0,,,,NO DATA,1.6742,-1.1939,5.2108
2008-12-24,-1.0,DRAIN,,NO DATA,2350.0,CRISIS,7.4173,23895.0,,,,NO DATA,-2.8681,0.737,1.0791
2008-12-31,-2.0,DRAIN,,NO DATA,26.0,CRISIS,-4.6115,23604.0,,,,NO DATA,-1.5314,3.5299,2.1005
2009-01-07,-2.0,DRAIN,,NO DATA,25.0,CRISIS,-2.7574,24250.0,,,,NO DATA,6.0149,6.0545,3.4314
