date,cb_score_lw,cb_regime,fi_score_lw,fi_regime,general
2022-09-16,0.62,INJECTION,0.89,INJECTION,LIQUIDITY_INJECTION
2022-09-23,0.45,INJECTION,0.89,INJECTION,LIQUIDITY_INJECTION
2022-09-30,-0.34,INJECTION,0.89,INJECTION,LIQUIDITY_INJECTION
2022-10-07,0.63,INJECTION,-0.11,NEUTRAL,NEUTRAL_PARTIAL
2022-10-14,0.04,INJECTION,0.41,NEUTRAL,NEUTRAL_PARTIAL
2022-10-21,0.12,INJECTION,0.14,NEUTRAL,NEUTRAL_PARTIAL
2022-10-28,0.15,INJECTION,0.36,NEUTRAL,NEUTRAL_PARTIAL
2022-11-04,0.41,INJECTION,0.77,NEUTRAL,NEUTRAL_PARTIAL
2022-11-11,0.73,INJECTION,0.4,NEUTRAL,NEUTRAL_PARTIAL
2022-11-18,-0.25,INJECTION,0.89,INJECTION,LIQUIDITY_INJECTION
2022-11-25,-0.7,NEUTRAL,0.42,INJECTION,NEUTRAL_PARTIAL
2022-12-02,0.1,NEUTRAL,0.77,INJECTION,NEUTRAL_PARTIAL
2022-12-09,-0.21,NEUTRAL,0.89,INJECTION,NEUTRAL_PARTIAL
2022-12-16,-0.55,NEUTRAL,0.89,INJECTION,NEUTRAL_PARTIAL
2022-12-23,-0.7,DRAIN,0.89,INJECTION,NEUTRAL_CONFLICT
2022-12-30,-0.7,DRAIN,0.89,INJECTION,NEUTRAL_CONFLICT
2023-01-06,0.1,NEUTRAL,0.59,INJECTION,NEUTRAL_PARTIAL
2023-01-13,-0.19,NEUTRAL,0.77,INJECTION,NEUTRAL_PARTIAL
2023-01-20,0.86,INJECTION,0.89,INJECTION,LIQUIDITY_INJECTION
2023-01-27,0.1,INJECTION,0.58,INJECTION,LIQUIDITY_INJECTION
2023-02-03,0.21,INJECTION,0.89,INJECTION,LIQUIDITY_INJECTION
2023-02-10,0.56,INJECTION,0.24,INJECTION,LIQUIDITY_INJECTION
2023-02-17,0.21,INJECTION,0.64,NEUTRAL,NEUTRAL_PARTIAL
2023-02-24,-0.22,INJECTION,0.48,NEUTRAL,NEUTRAL_PARTIAL
2023-03-03,0.48,INJECTION,0.44,NEUTRAL,NEUTRAL_PARTIAL
2023-03-10,0.42,INJECTION,0.4,NEUTRAL,NEUTRAL_PARTIAL
2023-03-17,-0.7,INJECTION,0.38,NEUTRAL,NEUTRAL_PARTIAL
2023-03-24,0.2,NEUTRAL,-0.23,NEUTRAL,NEUTRAL_PARTIAL
2023-03-31,-0.7,NEUTRAL,-0.11,DRAIN,NEUTRAL_PARTIAL
2023-04-07,-0.1,NEUTRAL,-0.11,DRAIN,NEUTRAL_PARTIAL
2023-04-14,-0.06,NEUTRAL,0.07,DRAIN,NEUTRAL_PARTIAL
2023-04-21,-0.22,NEUTRAL,0.89,NEUTRAL,NEUTRAL_PARTIAL
2023-04-28,0.12,NEUTRAL,0.84,INJECTION,NEUTRAL_PARTIAL
2023-05-05,0.7,INJECTION,0.49,INJECTION,LIQUIDITY_INJECTION
2023-05-12,0.6,INJECTION,0.89,INJECTION,LIQUIDITY_INJECTION
2023-05-19,0.09,INJECTION,0.89,INJECTION,LIQUIDITY_INJECTION
2023-05-26,0.4,INJECTION,0.7,INJECTION,LIQUIDITY_INJECTION
2023-06-02,0.44,INJECTION,0.89,INJECTION,LIQUIDITY_INJECTION
2023-06-09,0.31,INJECTION,0.45,INJECTION,LIQUIDITY_INJECTION
2023-06-16,-0.29,INJECTION,0.43,NEUTRAL,NEUTRAL_PARTIAL
2023-06-23,-0.3,NEUTRAL,0.49,NEUTRAL,NEUTRAL_PARTIAL
2023-06-30,-0.9,DRAIN,-0.11,NEUTRAL,NEUTRAL_PARTIAL
2023-07-07,-0.1,DRAIN,-0.11,DRAIN,LIQUIDITY_DRAIN
2023-07-14,-0.6,NEUTRAL,-0.01,DRAIN,NEUTRAL_PARTIAL
2023-07-21,-0.9,DRAIN,-0.02,DRAIN,LIQUIDITY_DRAIN
2023-07-28,-0.23,DRAIN,0.16,DRAIN,LIQUIDITY_DRAIN
2023-08-04,0.2,NEUTRAL,-0.11,DRAIN,NEUTRAL_PARTIAL
2023-08-11,-0.1,INJECTION,0.31,DRAIN,NEUTRAL_CONFLICT
2023-08-18,-0.08,INJECTION,0.48,NEUTRAL,NEUTRAL_PARTIAL
2023-08-25,0.18,INJECTION,0.63,NEUTRAL,NEUTRAL_PARTIAL
2023-09-01,-0.02,INJECTION,0.71,INJECTION,LIQUIDITY_INJECTION
2023-09-08,0.23,INJECTION,-0.11,NEUTRAL,NEUTRAL_PARTIAL
2023-09-15,-0.41,INJECTION,0.27,NEUTRAL,NEUTRAL_PARTIAL
2023-09-22,0.05,NEUTRAL,-0.11,NEUTRAL,NEUTRAL_PARTIAL
2023-09-29,-0.9,NEUTRAL,0.15,NEUTRAL,NEUTRAL_PARTIAL
2023-10-06,-0.1,NEUTRAL,-0.11,NEUTRAL,NEUTRAL_PARTIAL
2023-10-13,-0.3,NEUTRAL,0.31,NEUTRAL,NEUTRAL_PARTIAL
2023-10-20,-0.65,NEUTRAL,0.33,NEUTRAL,NEUTRAL_PARTIAL
2023-10-27,0.12,NEUTRAL,0.46,NEUTRAL,NEUTRAL_PARTIAL
2023-11-03,-0.52,NEUTRAL,0.82,INJECTION,NEUTRAL_PARTIAL
2023-11-10,-0.38,NEUTRAL,0.2,INJECTION,NEUTRAL_PARTIAL
2023-11-17,-0.1,NEUTRAL,0.5,NEUTRAL,NEUTRAL_PARTIAL
2023-11-24,-0.49,NEUTRAL,0.4,NEUTRAL,NEUTRAL_PARTIAL
2023-12-01,0.11,NEUTRAL,-0.1,NEUTRAL,NEUTRAL_PARTIAL
2023-12-08,0.11,INJECTION,0.45,NEUTRAL,NEUTRAL_PARTIAL
2023-12-15,-0.19,INJECTION,0.57,NEUTRAL,NEUTRAL_PARTIAL
2023-12-22,-0.82,NEUTRAL,0.53,NEUTRAL,NEUTRAL_PARTIAL
2023-12-29,-0.9,DRAIN,0.79,INJECTION,NEUTRAL_CONFLICT
2024-01-05,0.0,DRAIN,-0.11,NEUTRAL,NEUTRAL_PARTIAL
2024-01-12,0.04,INJECTION,0.44,NEUTRAL,NEUTRAL_PARTIAL
2024-01-19,-0.4,NEUTRAL,0.54,NEUTRAL,NEUTRAL_PARTIAL
2024-01-26,0.44,INJECTION,-0.11,NEUTRAL,NEUTRAL_PARTIAL
2024-02-02,-0.14,INJECTION,0.77,NEUTRAL,NEUTRAL_PARTIAL
2024-02-09,-0.61,NEUTRAL,0.02,NEUTRAL,NEUTRAL_PARTIAL
2024-02-16,-0.43,NEUTRAL,-0.11,DRAIN,NEUTRAL_PARTIAL
2024-02-23,0.3,NEUTRAL,-0.09,DRAIN,NEUTRAL_PARTIAL
2024-03-01,-0.46,NEUTRAL,0.58,NEUTRAL,NEUTRAL_PARTIAL
2024-03-08,-0.01,NEUTRAL,0.28,NEUTRAL,NEUTRAL_PARTIAL
2024-03-15,-0.01,NEUTRAL,0.66,NEUTRAL,NEUTRAL_PARTIAL
2024-03-22,0.05,INJECTION,0.67,INJECTION,LIQUIDITY_INJECTION
2024-03-29,-0.9,NEUTRAL,0.46,INJECTION,NEUTRAL_PARTIAL
2024-04-05,-0.34,DRAIN,0.08,NEUTRAL,NEUTRAL_PARTIAL
2024-04-12,-0.2,NEUTRAL,0.27,NEUTRAL,NEUTRAL_PARTIAL
2024-04-19,-0.52,NEUTRAL,0.67,NEUTRAL,NEUTRAL_PARTIAL
2024-04-26,0.14,NEUTRAL,0.3,NEUTRAL,NEUTRAL_PARTIAL
2024-05-03,-0.42,NEUTRAL,0.57,NEUTRAL,NEUTRAL_PARTIAL
2024-05-10,-0.11,NEUTRAL,0.57,NEUTRAL,NEUTRAL_PARTIAL
2024-05-17,-0.62,NEUTRAL,0.27,NEUTRAL,NEUTRAL_PARTIAL
2024-05-24,-0.42,NEUTRAL,0.13,NEUTRAL,NEUTRAL_PARTIAL
2024-05-31,-0.9,DRAIN,0.07,NEUTRAL,NEUTRAL_PARTIAL
2024-06-07,-0.06,DRAIN,-0.11,DRAIN,LIQUIDITY_DRAIN
2024-06-14,-0.24,NEUTRAL,-0.11,DRAIN,NEUTRAL_PARTIAL
2024-06-21,-0.36,NEUTRAL,0.25,DRAIN,NEUTRAL_PARTIAL
2024-06-28,-0.9,DRAIN,0.44,NEUTRAL,NEUTRAL_PARTIAL
2024-07-05,-0.27,DRAIN,0.16,NEUTRAL,NEUTRAL_PARTIAL
2024-07-12,-0.43,NEUTRAL,0.17,NEUTRAL,NEUTRAL_PARTIAL
2024-07-19,-0.9,DRAIN,-0.11,NEUTRAL,NEUTRAL_PARTIAL
2024-07-26,-0.29,DRAIN,-0.11,DRAIN,LIQUIDITY_DRAIN
2024-08-02,-0.22,NEUTRAL,-0.11,DRAIN,NEUTRAL_PARTIAL
2024-08-09,0.05,NEUTRAL,-0.11,DRAIN,NEUTRAL_PARTIAL
2024-08-16,-0.19,NEUTRAL,0.11,DRAIN,NEUTRAL_PARTIAL
2024-08-23,-0.01,NEUTRAL,0.52,NEUTRAL,NEUTRAL_PARTIAL
2024-08-30,-0.58,NEUTRAL,0.58,NEUTRAL,NEUTRAL_PARTIAL
2024-09-06,-0.14,NEUTRAL,-0.11,NEUTRAL,NEUTRAL_PARTIAL
2024-09-13,-0.12,NEUTRAL,-0.11,DRAIN,NEUTRAL_PARTIAL
2024-09-20,-0.59,NEUTRAL,-0.11,DRAIN,NEUTRAL_PARTIAL
2024-09-27,-0.89,DRAIN,-0.11,DRAIN,LIQUIDITY_DRAIN
2024-10-04,-0.47,DRAIN,0.23,DRAIN,LIQUIDITY_DRAIN
2024-10-11,-0.3,NEUTRAL,0.05,NEUTRAL,NEUTRAL_PARTIAL
2024-10-18,-0.9,DRAIN,0.16,NEUTRAL,NEUTRAL_PARTIAL
2024-10-25,-0.36,DRAIN,0.1,NEUTRAL,NEUTRAL_PARTIAL
2024-11-01,-0.69,DRAIN,0.57,NEUTRAL,NEUTRAL_PARTIAL
2024-11-08,-0.18,DRAIN,-0.09,NEUTRAL,NEUTRAL_PARTIAL
2024-11-15,-0.65,NEUTRAL,0.08,NEUTRAL,NEUTRAL_PARTIAL
2024-11-22,0.12,NEUTRAL,-0.11,NEUTRAL,NEUTRAL_PARTIAL
2024-11-29,-0.82,NEUTRAL,-0.01,DRAIN,NEUTRAL_PARTIAL
2024-12-06,-0.36,DRAIN,-0.04,DRAIN,LIQUIDITY_DRAIN
2024-12-13,-0.23,NEUTRAL,-0.01,DRAIN,NEUTRAL_PARTIAL
2024-12-20,-0.8,NEUTRAL,0.72,NEUTRAL,NEUTRAL_PARTIAL
2024-12-27,0.26,NEUTRAL,0.56,INJECTION,NEUTRAL_PARTIAL
2025-01-03,0.14,INJECTION,0.76,INJECTION,LIQUIDITY_INJECTION
2025-01-10,0.72,INJECTION,0.71,INJECTION,LIQUIDITY_INJECTION
2025-01-17,0.24,INJECTION,0.64,INJECTION,LIQUIDITY_INJECTION
2025-01-24,0.35,INJECTION,0.17,NEUTRAL,NEUTRAL_PARTIAL
2025-01-31,-0.78,NEUTRAL,0.64,NEUTRAL,NEUTRAL_PARTIAL
2025-02-07,-0.04,NEUTRAL,-0.11,NEUTRAL,NEUTRAL_PARTIAL
2025-02-14,-0.56,NEUTRAL,-0.11,DRAIN,NEUTRAL_PARTIAL
2025-02-21,-0.8,DRAIN,-0.11,DRAIN,LIQUIDITY_DRAIN
2025-02-28,-0.8,DRAIN,-0.11,DRAIN,LIQUIDITY_DRAIN
2025-03-07,-0.13,DRAIN,-0.11,DRAIN,LIQUIDITY_DRAIN
2025-03-14,-0.38,NEUTRAL,0.26,DRAIN,NEUTRAL_PARTIAL
2025-03-21,0.2,NEUTRAL,0.35,NEUTRAL,NEUTRAL_PARTIAL
2025-03-28,-0.39,NEUTRAL,0.56,NEUTRAL,NEUTRAL_PARTIAL
2025-04-04,-0.11,NEUTRAL,0.88,INJECTION,NEUTRAL_PARTIAL
2025-04-11,-0.38,NEUTRAL,0.23,INJECTION,NEUTRAL_PARTIAL
2025-04-18,-0.8,DRAIN,0.58,NEUTRAL,NEUTRAL_PARTIAL
2025-04-25,-0.19,DRAIN,-0.23,NEUTRAL,NEUTRAL_PARTIAL
2025-05-02,-0.4,NEUTRAL,0.33,NEUTRAL,NEUTRAL_PARTIAL
2025-05-09,-0.08,NEUTRAL,0.07,NEUTRAL,NEUTRAL_PARTIAL
2025-05-16,-0.28,NEUTRAL,0.08,NEUTRAL,NEUTRAL_PARTIAL
2025-05-23,-0.24,NEUTRAL,0.65,NEUTRAL,NEUTRAL_PARTIAL
2025-05-30,-0.8,NEUTRAL,0.25,NEUTRAL,NEUTRAL_PARTIAL
2025-06-06,-0.4,DRAIN,-0.12,NEUTRAL,NEUTRAL_PARTIAL
2025-06-13,-0.4,NEUTRAL,0.02,DRAIN,NEUTRAL_PARTIAL
2025-06-20,-0.11,NEUTRAL,-0.1,DRAIN,NEUTRAL_PARTIAL
2025-06-27,-0.59,NEUTRAL,0.08,DRAIN,NEUTRAL_PARTIAL
2025-07-04,-0.08,NEUTRAL,0.13,NEUTRAL,NEUTRAL_PARTIAL
2025-07-11,-0.39,NEUTRAL,0.42,NEUTRAL,NEUTRAL_PARTIAL
2025-07-18,-0.8,DRAIN,0.78,INJECTION,NEUTRAL_CONFLICT
2025-07-25,0.21,NEUTRAL,0.05,NEUTRAL,NEUTRAL_PARTIAL
2025-08-01,-0.8,NEUTRAL,0.88,NEUTRAL,NEUTRAL_PARTIAL
2025-08-08,0.32,NEUTRAL,0.44,INJECTION,NEUTRAL_PARTIAL
2025-08-15,-0.19,INJECTION,-0.2,NEUTRAL,NEUTRAL_PARTIAL
2025-08-22,0.2,INJECTION,0.6,NEUTRAL,NEUTRAL_PARTIAL
2025-08-29,0.32,INJECTION,-0.22,NEUTRAL,NEUTRAL_PARTIAL
2025-09-05,-0.18,INJECTION,-0.05,DRAIN,NEUTRAL_CONFLICT
2025-09-12,0.04,INJECTION,0.29,NEUTRAL,NEUTRAL_PARTIAL
2025-09-19,-0.7,NEUTRAL,-0.12,NEUTRAL,NEUTRAL_PARTIAL
2025-09-26,-0.25,NEUTRAL,-0.12,DRAIN,NEUTRAL_PARTIAL
2025-10-03,-0.64,NEUTRAL,-0.23,DRAIN,NEUTRAL_PARTIAL
2025-10-10,-0.64,DRAIN,-0.11,DRAIN,LIQUIDITY_DRAIN
2025-10-17,-0.75,DRAIN,-0.11,DRAIN,LIQUIDITY_DRAIN
2025-10-24,-0.33,DRAIN,-0.23,DRAIN,LIQUIDITY_DRAIN
2025-10-31,-0.8,DRAIN,-0.05,DRAIN,LIQUIDITY_DRAIN
2025-11-07,-0.16,DRAIN,-0.11,DRAIN,LIQUIDITY_DRAIN
2025-11-14,-0.45,NEUTRAL,-0.11,DRAIN,NEUTRAL_PARTIAL
2025-11-21,-0.56,NEUTRAL,-0.11,DRAIN,NEUTRAL_PARTIAL
2025-11-28,-0.7,DRAIN,-0.11,DRAIN,LIQUIDITY_DRAIN
2025-12-05,-0.52,DRAIN,0.72,NEUTRAL,NEUTRAL_PARTIAL
2025-12-12,-0.32,DRAIN,0.23,NEUTRAL,NEUTRAL_PARTIAL
2025-12-19,-0.28,NEUTRAL,0.15,NEUTRAL,NEUTRAL_PARTIAL
2025-12-26,-0.32,NEUTRAL,0.89,NEUTRAL,NEUTRAL_PARTIAL
2026-01-02,0.18,NEUTRAL,0.7,INJECTION,NEUTRAL_PARTIAL
2026-01-09,0.44,INJECTION,0.48,INJECTION,LIQUIDITY_INJECTION
2026-01-16,-0.15,INJECTION,0.71,INJECTION,LIQUIDITY_INJECTION
2026-01-23,-0.12,INJECTION,-0.02,NEUTRAL,NEUTRAL_PARTIAL
2026-01-30,-0.32,NEUTRAL,-0.09,DRAIN,NEUTRAL_PARTIAL
2026-02-06,-0.58,NEUTRAL,-0.12,DRAIN,NEUTRAL_PARTIAL
