date,cb_score_lw,cb_regime,fi_score_lw,fi_regime,general
2022-11-02,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2022-11-09,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2022-11-16,-0.17,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2022-11-23,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2022-11-30,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2022-12-07,-0.17,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2022-12-14,-0.17,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2022-12-21,-0.17,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2022-12-28,-0.17,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-01-04,0.5,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-01-11,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-01-18,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-01-25,-0.17,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-02-01,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-02-08,-0.17,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-02-15,-0.17,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-02-22,0.5,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-03-01,-0.17,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-03-08,0.5,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-03-15,-0.17,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-03-22,0.5,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-03-29,-0.17,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-04-05,0.5,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-04-12,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-04-19,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-04-26,-0.17,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-05-03,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-05-10,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-05-17,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-05-24,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-05-31,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-06-07,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-06-14,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-06-21,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-06-28,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-07-05,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-07-12,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-07-19,-0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-07-26,1.17,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-08-02,0.5,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-08-09,0.5,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-08-16,0.5,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-08-23,0.5,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-08-30,0.5,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-09-06,0.5,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-09-13,0.5,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-09-20,-0.17,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-09-27,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-10-04,-0.17,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-10-11,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-10-18,1.17,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-10-25,-0.83,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-11-01,-0.17,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-11-08,0.5,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-11-15,-0.17,DRAIN,1.0,INJECTION,NEUTRAL_CONFLICT
2023-11-22,-0.17,DRAIN,1.0,INJECTION,NEUTRAL_CONFLICT
2023-11-29,0.5,DRAIN,1.0,INJECTION,NEUTRAL_CONFLICT
2023-12-06,-0.17,DRAIN,0.0,INJECTION,NEUTRAL_CONFLICT
2023-12-13,-0.17,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-12-20,-0.17,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-12-27,-0.17,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-01-03,-0.17,DRAIN,-1.0,DRAIN,LIQUIDITY_DRAIN
2024-01-10,0.5,DRAIN,-1.0,DRAIN,LIQUIDITY_DRAIN
2024-01-17,0.17,NEUTRAL,-1.0,DRAIN,NEUTRAL_PARTIAL
2024-01-24,-0.5,DRAIN,-1.0,DRAIN,LIQUIDITY_DRAIN
