date,cb_score,cb_label,fi_score,fi_label,reserves,reserves_level,net_liq_wow,govt_account,fiscal_7d,fiscal_z,stress_bps,stress_level,fwd_5,fwd_10,fwd_20
2023-04-03,0.5,INJECTION,-0.78,INJECTION,5461500.0,SAFE,293500.0,155979.52,-30400.0,-1.0344,,SAFE,0.8654,1.5969,3.8619
2023-04-10,0.5,INJECTION,-0.14,INJECTION,5429900.0,SAFE,215400.0,212247.16,-7700.0,-0.1916,,SAFE,0.7316,0.4634,0.7539
2023-04-17,0.5,INJECTION,0.27,INJECTION,5522100.0,SAFE,260200.0,212247.16,7900.0,0.3536,,SAFE,-0.2681,2.265,3.0544
2023-04-24,0.5,INJECTION,0.31,NEUTRAL,5553100.0,SAFE,113400.0,139374.64,9500.0,0.4192,,SAFE,2.5331,0.2904,4.3274
2023-05-01,0.5,INJECTION,-0.6,NEUTRAL,5509900.0,SAFE,48400.0,137902.06,-22800.0,-0.8,,SAFE,-2.2427,0.7894,0.876
2023-05-11,0.5,INJECTION,-0.0,NEUTRAL,5452700.0,SAFE,22800.0,227330.79,-3000.0,-0.0038,,SAFE,3.0321,4.037,3.2267
2023-05-18,0.5,INJECTION,-0.23,DRAIN,5419500.0,SAFE,-102600.0,227330.79,-11200.0,-0.3081,,SAFE,1.0049,0.0865,1.1833
2023-05-25,0.5,INJECTION,0.56,DRAIN,5458100.0,SAFE,-95000.0,280583.48,15400.0,0.7504,,SAFE,-0.9184,-0.8103,2.1269
2023-06-01,0.5,INJECTION,-1.5,DRAIN,5400300.0,SAFE,-109600.0,297263.62,-61400.0,-2.3806,,SAFE,0.1081,1.0967,4.2752
2023-06-08,0.5,INJECTION,0.16,DRAIN,5333100.0,SAFE,-119600.0,297263.62,1200.0,0.2174,,SAFE,0.9887,2.9372,3.5923
2023-06-15,0.5,INJECTION,1.5,NEUTRAL,5405100.0,SAFE,-14400.0,404739.88,79800.0,3.4228,,SAFE,1.9485,3.1784,-1.6098
2023-06-22,0.5,INJECTION,0.3,NEUTRAL,5520000.0,SAFE,61900.0,106258.6,7700.0,0.4006,,SAFE,1.2299,0.6551,-0.9131
2023-06-29,0.5,INJECTION,0.07,NEUTRAL,5494600.0,SAFE,94300.0,106258.6,-400.0,0.0961,,SAFE,-0.5749,-4.7882,-2.8368
2023-07-06,0.5,INJECTION,0.14,NEUTRAL,5375500.0,SAFE,42400.0,129322.46,1400.0,0.1918,,SAFE,-4.2134,-1.5681,-1.4694
2023-07-13,0.5,INJECTION,0.18,NEUTRAL,5308500.0,SAFE,-96600.0,203381.8,2000.0,0.2348,,SAFE,2.6453,1.9514,5.2293
2023-07-21,0.5,INJECTION,0.06,DRAIN,5375300.0,SAFE,-144700.0,257843.29,-1900.0,0.074,,SAFE,-0.6939,0.0987,3.1325
2023-07-28,0.5,INJECTION,0.38,NEUTRAL,5405700.0,SAFE,-88900.0,257843.29,9100.0,0.51,,SAFE,0.7926,3.2778,3.9835
2023-08-04,0.5,INJECTION,0.12,NEUTRAL,5350600.0,SAFE,-24900.0,225472.93,-100.0,0.1543,,SAFE,2.4852,3.0338,3.2387
2023-08-14,0.0,NEUTRAL,0.23,NEUTRAL,5379000.0,SAFE,70500.0,323026.24,3900.0,0.3069,,SAFE,0.5485,0.7057,0.849
