date,cb_score_lw,cb_regime,fi_score_lw,fi_regime,general
2022-06-01,-0.2,NEUTRAL,0.0,DRAIN,NEUTRAL_PARTIAL
2022-06-08,-0.92,DRAIN,-0.53,DRAIN,LIQUIDITY_DRAIN
2022-06-15,-0.58,DRAIN,-2.0,DRAIN,LIQUIDITY_DRAIN
2022-06-22,-0.6,DRAIN,-1.12,DRAIN,LIQUIDITY_DRAIN
2022-06-29,-0.2,DRAIN,-1.36,DRAIN,LIQUIDITY_DRAIN
2022-07-06,0.1,NEUTRAL,-0.78,DRAIN,NEUTRAL_PARTIAL
2022-07-13,-0.67,NEUTRAL,0.78,DRAIN,NEUTRAL_PARTIAL
2022-07-20,0.0,NEUTRAL,0.97,NEUTRAL,NEUTRAL_PARTIAL
2022-07-27,-0.58,NEUTRAL,1.03,NEUTRAL,NEUTRAL_PARTIAL
2022-08-03,0.0,NEUTRAL,1.01,NEUTRAL,NEUTRAL_PARTIAL
2022-08-10,0.0,NEUTRAL,1.05,NEUTRAL,NEUTRAL_PARTIAL
2022-08-17,0.0,NEUTRAL,1.12,NEUTRAL,NEUTRAL_PARTIAL
2022-08-24,-0.67,NEUTRAL,1.25,NEUTRAL,NEUTRAL_PARTIAL
2022-08-31,-1.0,DRAIN,0.7,NEUTRAL,NEUTRAL_PARTIAL
2022-09-07,0.0,DRAIN,0.74,NEUTRAL,NEUTRAL_PARTIAL
2022-09-14,-0.67,DRAIN,-0.17,DRAIN,LIQUIDITY_DRAIN
2022-09-21,-0.4,DRAIN,0.37,DRAIN,LIQUIDITY_DRAIN
2022-09-28,-0.6,DRAIN,1.15,DRAIN,LIQUIDITY_DRAIN
2022-10-05,-0.2,DRAIN,0.71,NEUTRAL,NEUTRAL_PARTIAL
2022-10-12,0.0,NEUTRAL,1.28,NEUTRAL,NEUTRAL_PARTIAL
2022-10-19,0.0,NEUTRAL,1.08,NEUTRAL,NEUTRAL_PARTIAL
2022-10-26,0.0,NEUTRAL,1.14,NEUTRAL,NEUTRAL_PARTIAL
2022-11-02,0.0,NEUTRAL,0.65,NEUTRAL,NEUTRAL_PARTIAL
2022-11-09,0.4,INJECTION,1.14,NEUTRAL,NEUTRAL_PARTIAL
2022-11-16,-0.33,INJECTION,0.87,NEUTRAL,NEUTRAL_PARTIAL
2022-11-23,0.0,NEUTRAL,1.04,NEUTRAL,NEUTRAL_PARTIAL
2022-11-30,-0.4,NEUTRAL,0.79,NEUTRAL,NEUTRAL_PARTIAL
2022-12-07,0.0,NEUTRAL,0.68,NEUTRAL,NEUTRAL_PARTIAL
2022-12-14,0.0,NEUTRAL,0.9,NEUTRAL,NEUTRAL_PARTIAL
2022-12-21,-0.4,NEUTRAL,0.67,NEUTRAL,NEUTRAL_PARTIAL
2022-12-28,0.0,NEUTRAL,1.26,NEUTRAL,NEUTRAL_PARTIAL
2023-01-04,-0.6,NEUTRAL,0.99,NEUTRAL,NEUTRAL_PARTIAL
2023-01-11,0.4,NEUTRAL,1.26,NEUTRAL,NEUTRAL_PARTIAL
2023-01-18,0.4,INJECTION,1.31,INJECTION,LIQUIDITY_INJECTION
2023-01-25,0.0,INJECTION,0.52,NEUTRAL,NEUTRAL_PARTIAL
2023-02-01,-0.4,NEUTRAL,1.62,NEUTRAL,NEUTRAL_PARTIAL
2023-02-08,0.0,NEUTRAL,1.3,INJECTION,NEUTRAL_PARTIAL
2023-02-15,0.0,NEUTRAL,1.63,INJECTION,NEUTRAL_PARTIAL
2023-02-22,0.0,NEUTRAL,1.6,INJECTION,NEUTRAL_PARTIAL
2023-03-01,-0.6,NEUTRAL,1.66,INJECTION,NEUTRAL_PARTIAL
2023-03-08,-0.6,DRAIN,1.21,INJECTION,NEUTRAL_CONFLICT
2023-03-15,-0.08,DRAIN,1.16,INJECTION,NEUTRAL_CONFLICT
2023-03-22,-0.1,NEUTRAL,1.26,INJECTION,NEUTRAL_PARTIAL
2023-03-29,0.3,NEUTRAL,0.96,INJECTION,NEUTRAL_PARTIAL
2023-04-05,0.3,INJECTION,0.96,NEUTRAL,NEUTRAL_PARTIAL
2023-04-12,0.3,INJECTION,1.36,NEUTRAL,NEUTRAL_PARTIAL
2023-04-19,0.3,INJECTION,0.4,NEUTRAL,NEUTRAL_PARTIAL
2023-04-26,-0.1,INJECTION,0.71,DRAIN,NEUTRAL_CONFLICT
2023-05-03,0.3,INJECTION,1.25,NEUTRAL,NEUTRAL_PARTIAL
2023-05-10,-0.08,INJECTION,1.31,INJECTION,LIQUIDITY_INJECTION
2023-05-17,0.3,INJECTION,1.2,INJECTION,LIQUIDITY_INJECTION
2023-05-24,0.3,INJECTION,1.1,INJECTION,LIQUIDITY_INJECTION
2023-05-31,0.1,INJECTION,0.93,NEUTRAL,NEUTRAL_PARTIAL
2023-06-07,0.5,INJECTION,0.46,NEUTRAL,NEUTRAL_PARTIAL
2023-06-14,0.0,INJECTION,-0.02,DRAIN,NEUTRAL_CONFLICT
2023-06-21,-0.4,NEUTRAL,0.61,DRAIN,NEUTRAL_PARTIAL
2023-06-28,0.0,NEUTRAL,1.06,NEUTRAL,NEUTRAL_PARTIAL
2023-07-05,0.0,NEUTRAL,0.6,NEUTRAL,NEUTRAL_PARTIAL
2023-07-12,0.0,NEUTRAL,0.89,NEUTRAL,NEUTRAL_PARTIAL
2023-07-19,0.0,NEUTRAL,1.43,NEUTRAL,NEUTRAL_PARTIAL
2023-07-26,0.0,NEUTRAL,1.55,INJECTION,NEUTRAL_PARTIAL
2023-08-02,0.0,NEUTRAL,0.99,INJECTION,NEUTRAL_PARTIAL
2023-08-09,0.0,NEUTRAL,1.46,INJECTION,NEUTRAL_PARTIAL
2023-08-16,0.0,NEUTRAL,1.31,INJECTION,NEUTRAL_PARTIAL
2023-08-23,0.0,NEUTRAL,1.5,INJECTION,NEUTRAL_PARTIAL
2023-08-30,-0.67,NEUTRAL,0.77,INJECTION,NEUTRAL_PARTIAL
2023-09-06,0.4,NEUTRAL,1.09,NEUTRAL,NEUTRAL_PARTIAL
2023-09-13,-0.67,NEUTRAL,0.82,NEUTRAL,NEUTRAL_PARTIAL
2023-09-20,-0.4,DRAIN,0.85,NEUTRAL,NEUTRAL_PARTIAL
2023-09-27,0.0,NEUTRAL,1.43,NEUTRAL,NEUTRAL_PARTIAL
2023-10-04,0.4,INJECTION,0.96,NEUTRAL,NEUTRAL_PARTIAL
2023-10-11,0.0,INJECTION,1.53,INJECTION,LIQUIDITY_INJECTION
2023-10-18,-0.3,NEUTRAL,0.45,NEUTRAL,NEUTRAL_PARTIAL
2023-10-25,-0.3,NEUTRAL,0.98,NEUTRAL,NEUTRAL_PARTIAL
2023-11-01,-0.3,NEUTRAL,1.4,NEUTRAL,NEUTRAL_PARTIAL
2023-11-08,0.1,NEUTRAL,1.15,INJECTION,NEUTRAL_PARTIAL
2023-11-15,0.0,NEUTRAL,1.6,INJECTION,NEUTRAL_PARTIAL
2023-11-22,0.0,NEUTRAL,1.23,INJECTION,NEUTRAL_PARTIAL
2023-11-29,0.0,NEUTRAL,0.28,NEUTRAL,NEUTRAL_PARTIAL
2023-12-06,0.0,NEUTRAL,0.66,DRAIN,NEUTRAL_PARTIAL
2023-12-13,0.0,NEUTRAL,1.06,NEUTRAL,NEUTRAL_PARTIAL
2023-12-20,0.0,NEUTRAL,0.55,NEUTRAL,NEUTRAL_PARTIAL
2023-12-27,0.0,NEUTRAL,1.15,NEUTRAL,NEUTRAL_PARTIAL
2024-01-03,-0.3,NEUTRAL,1.05,NEUTRAL,NEUTRAL_PARTIAL
2024-01-10,0.0,NEUTRAL,1.03,NEUTRAL,NEUTRAL_PARTIAL
2024-01-17,0.4,INJECTION,0.7,NEUTRAL,NEUTRAL_PARTIAL
2024-01-24,-1.25,NEUTRAL,0.27,DRAIN,NEUTRAL_PARTIAL
2024-01-31,-0.3,DRAIN,0.72,DRAIN,LIQUIDITY_DRAIN
2024-02-07,0.1,NEUTRAL,0.49,DRAIN,NEUTRAL_PARTIAL
2024-02-14,-0.3,NEUTRAL,0.94,DRAIN,NEUTRAL_PARTIAL
2024-02-21,-0.3,NEUTRAL,0.97,NEUTRAL,NEUTRAL_PARTIAL
2024-02-28,-0.3,NEUTRAL,1.16,NEUTRAL,NEUTRAL_PARTIAL
2024-03-06,0.1,NEUTRAL,0.6,NEUTRAL,NEUTRAL_PARTIAL
2024-03-13,-0.3,NEUTRAL,1.05,NEUTRAL,NEUTRAL_PARTIAL
2024-03-20,-0.92,DRAIN,1.15,NEUTRAL,NEUTRAL_PARTIAL
2024-03-27,-0.92,DRAIN,1.2,NEUTRAL,NEUTRAL_PARTIAL
2024-04-03,-0.3,DRAIN,1.26,INJECTION,NEUTRAL_CONFLICT
2024-04-10,0.0,NEUTRAL,1.31,INJECTION,NEUTRAL_PARTIAL
2024-04-17,-1.25,DRAIN,-0.19,DRAIN,LIQUIDITY_DRAIN
2024-04-24,-0.9,DRAIN,0.33,DRAIN,LIQUIDITY_DRAIN
2024-05-01,-0.5,DRAIN,1.21,DRAIN,LIQUIDITY_DRAIN
2024-05-08,-0.3,DRAIN,0.82,NEUTRAL,NEUTRAL_PARTIAL
2024-05-15,-0.3,DRAIN,1.25,NEUTRAL,NEUTRAL_PARTIAL
2024-05-22,0.0,NEUTRAL,0.83,NEUTRAL,NEUTRAL_PARTIAL
2024-05-29,0.0,NEUTRAL,0.48,NEUTRAL,NEUTRAL_PARTIAL
2024-06-05,0.0,NEUTRAL,0.32,DRAIN,NEUTRAL_PARTIAL
2024-06-12,0.0,NEUTRAL,0.56,DRAIN,NEUTRAL_PARTIAL
2024-06-19,0.0,NEUTRAL,0.22,DRAIN,NEUTRAL_PARTIAL
2024-06-26,-0.7,NEUTRAL,-0.91,DRAIN,NEUTRAL_PARTIAL
2024-07-03,-0.3,DRAIN,0.69,DRAIN,LIQUIDITY_DRAIN
2024-07-10,0.0,NEUTRAL,0.74,DRAIN,NEUTRAL_PARTIAL
2024-07-17,-0.3,NEUTRAL,0.99,NEUTRAL,NEUTRAL_PARTIAL
2024-07-24,-0.3,NEUTRAL,1.03,NEUTRAL,NEUTRAL_PARTIAL
2024-07-31,-0.3,NEUTRAL,0.78,NEUTRAL,NEUTRAL_PARTIAL
2024-08-07,0.1,NEUTRAL,0.49,NEUTRAL,NEUTRAL_PARTIAL
2024-08-14,-0.3,NEUTRAL,1.02,NEUTRAL,NEUTRAL_PARTIAL
2024-08-21,0.0,NEUTRAL,1.05,NEUTRAL,NEUTRAL_PARTIAL
2024-08-28,-0.4,NEUTRAL,1.01,NEUTRAL,NEUTRAL_PARTIAL
2024-09-04,0.0,NEUTRAL,0.69,NEUTRAL,NEUTRAL_PARTIAL
2024-09-11,-0.3,NEUTRAL,1.02,NEUTRAL,NEUTRAL_PARTIAL
2024-09-18,-0.3,NEUTRAL,0.5,NEUTRAL,NEUTRAL_PARTIAL
2024-09-25,-0.7,DRAIN,0.95,NEUTRAL,NEUTRAL_PARTIAL
2024-10-02,-0.92,DRAIN,0.87,NEUTRAL,NEUTRAL_PARTIAL
2024-10-09,-0.3,DRAIN,1.44,NEUTRAL,NEUTRAL_PARTIAL
2024-10-16,0.1,NEUTRAL,1.22,INJECTION,NEUTRAL_PARTIAL
2024-10-23,-0.3,NEUTRAL,1.31,INJECTION,NEUTRAL_PARTIAL
2024-10-30,-0.3,NEUTRAL,0.78,NEUTRAL,NEUTRAL_PARTIAL
2024-11-06,0.0,NEUTRAL,0.88,NEUTRAL,NEUTRAL_PARTIAL
2024-11-13,-1.25,DRAIN,1.45,NEUTRAL,NEUTRAL_PARTIAL
2024-11-20,-0.3,DRAIN,1.3,INJECTION,NEUTRAL_CONFLICT
2024-11-27,0.0,NEUTRAL,1.23,INJECTION,NEUTRAL_PARTIAL
2024-12-04,0.0,NEUTRAL,0.88,NEUTRAL,NEUTRAL_PARTIAL
2024-12-11,0.0,NEUTRAL,1.43,NEUTRAL,NEUTRAL_PARTIAL
2024-12-18,0.0,NEUTRAL,0.94,NEUTRAL,NEUTRAL_PARTIAL
2024-12-25,0.0,NEUTRAL,1.0,NEUTRAL,NEUTRAL_PARTIAL
2025-01-01,-1.0,DRAIN,1.56,INJECTION,NEUTRAL_CONFLICT
2025-01-08,0.7,NEUTRAL,1.48,INJECTION,NEUTRAL_PARTIAL
2025-01-15,0.3,INJECTION,1.04,INJECTION,LIQUIDITY_INJECTION
2025-01-22,0.3,INJECTION,1.12,NEUTRAL,NEUTRAL_PARTIAL
2025-01-29,-0.4,NEUTRAL,0.52,NEUTRAL,NEUTRAL_PARTIAL
2025-02-05,0.0,NEUTRAL,0.91,NEUTRAL,NEUTRAL_PARTIAL
2025-02-12,0.0,NEUTRAL,1.33,NEUTRAL,NEUTRAL_PARTIAL
2025-02-19,0.0,NEUTRAL,1.38,INJECTION,NEUTRAL_PARTIAL
2025-02-26,0.3,INJECTION,1.69,INJECTION,LIQUIDITY_INJECTION
2025-03-05,0.7,INJECTION,0.96,INJECTION,LIQUIDITY_INJECTION
2025-03-12,0.3,INJECTION,1.39,INJECTION,LIQUIDITY_INJECTION
2025-03-19,0.3,INJECTION,1.36,INJECTION,LIQUIDITY_INJECTION
2025-03-26,0.0,INJECTION,1.39,INJECTION,LIQUIDITY_INJECTION
2025-04-02,0.0,INJECTION,0.96,INJECTION,LIQUIDITY_INJECTION
2025-04-09,-0.08,NEUTRAL,1.42,INJECTION,NEUTRAL_PARTIAL
2025-04-16,0.3,INJECTION,-0.06,NEUTRAL,NEUTRAL_PARTIAL
2025-04-23,-0.1,INJECTION,0.49,DRAIN,NEUTRAL_CONFLICT
2025-04-30,-0.4,NEUTRAL,0.32,DRAIN,NEUTRAL_PARTIAL
2025-05-07,0.7,INJECTION,0.59,DRAIN,NEUTRAL_CONFLICT
2025-05-14,0.3,INJECTION,1.0,DRAIN,NEUTRAL_CONFLICT
2025-05-21,0.3,INJECTION,1.04,NEUTRAL,NEUTRAL_PARTIAL
2025-05-28,0.3,INJECTION,-0.2,DRAIN,NEUTRAL_CONFLICT
2025-06-04,-0.08,INJECTION,0.45,DRAIN,NEUTRAL_CONFLICT
2025-06-11,-0.67,NEUTRAL,0.78,DRAIN,NEUTRAL_PARTIAL
2025-06-18,-0.67,DRAIN,-1.02,DRAIN,LIQUIDITY_DRAIN
2025-06-25,0.0,DRAIN,-1.03,DRAIN,LIQUIDITY_DRAIN
2025-07-02,0.0,NEUTRAL,-0.87,DRAIN,NEUTRAL_PARTIAL
2025-07-09,0.0,NEUTRAL,0.89,DRAIN,NEUTRAL_PARTIAL
2025-07-16,0.3,INJECTION,1.02,NEUTRAL,NEUTRAL_PARTIAL
2025-07-23,0.3,INJECTION,1.05,NEUTRAL,NEUTRAL_PARTIAL
2025-07-30,0.3,INJECTION,0.72,NEUTRAL,NEUTRAL_PARTIAL
