date,tender,maturity,coupon,offered,allotted,bids,coverage,wa_yield,low_yield,high_yield,highest_bid_yield,tail_bp
1982-08-05,TB1,1984-04-15,16,200000000.0,200000000.0,580191000.0,2.91,16.449,16.24,16.56,17.25,11.1
1982-08-05,TB1,1986-04-15,16,100000000.0,100000000.0,309625000.0,3.1,16.634,16.49,16.68,17.4,4.6
1982-08-05,TB1,1988-04-15,16,50000000.0,50000000.0,175075000.0,3.51,16.584,16.39,16.66,17.28,7.6
1982-09-16,TB2,1984-09-15,15,325000000.0,325000000.0,1132800000.0,3.49,15.255,15.14,15.3,17.5,4.5
1982-09-16,TB2,1987-03-15,15,200000000.0,200000000.0,689825000.0,3.47,15.301,15.25,15.32,16.09,1.9
1982-09-16,TB2,1992-03-15,15,150000000.0,150000000.0,521950000.0,3.52,15.311,15.24,15.34,16.29,2.9
1982-10-14,TB3,1984-06-15,13,150000000.0,150000000.0,609000000.0,4.06,12.856,12.84,12.88,14.2,2.4
1982-10-14,TB3,1985-10-15,13.5,275000000.0,275000000.0,706900000.0,2.57,13.153,13.14,13.18,14.26,2.7
1982-10-14,TB3,1989-10-15,13.5,175000000.0,175000000.0,423700000.0,2.42,13.375,13.35,13.39,14.4,1.5
1982-10-14,TB3,1994-10-15,13.5,100000000.0,100000000.0,242600000.0,2.43,13.59,13.4,13.65,14.95,6.0
1982-11-25,TB4,1984-12-15,12.5,225000000.0,325000000.0,519500000.0,2.31,13.472,13.43,13.7,15.37,22.8
1982-11-25,TB4,1986-12-15,13,325000000.0,425000000.0,547250000.0,1.68,13.849,13.51,14.29,15.23,44.1
1982-11-25,TB4,1990-12-15,13.5,175000000.0,225000000.0,290600000.0,1.66,14.299,13.84,14.53,14.78,23.1
1982-11-25,TB4,1995-06-15,13.5,75000000.0,125000000.0,90300000.0,1.21,14.404,13.69,15.0,16.5,59.6
1983-01-13,TB5,1985-07-15,12,450000000.0,450000000.0,697630000.0,1.55,12.047,11.74,12.19,12.89,14.3
1983-01-13,TB5,1987-07-15,12,350000000.0,350000000.0,908550000.0,2.6,12.144,11.5,12.26,13.78,11.6
1983-01-13,TB5,1992-07-15,12.5,200000000.0,200000000.0,460350000.0,2.32,13.234,12.5,13.39,14.74,15.6
1983-01-13,TB5,1996-07-15,12.5,100000000.0,100000000.0,312700000.0,3.13,13.567,12.7,13.79,14.98,22.3
1983-04-18,TB6,1985-04-15,11.7,300000000.0,300000000.0,699900000.0,2.34,12.306,12.14,12.39,15.0,8.4
1983-04-18,TB6,1987-10-15,13.5,150000000.0,150000000.0,490600000.0,3.28,13.378,13.29,13.43,15.48,5.2
1983-04-18,TB6,1994-10-15,13.5,50000000.0,50000000.0,239612000.0,4.8,14.026,13.97,14.07,15.98,4.4
1983-05-26,TB7,1985-12-15,11,550000000.0,650000000.0,762500000.0,1.39,12.81,12.47,13.07,14.88,26.0
1983-05-26,TB7,1987-12-15,11.5,450000000.0,500000000.0,573100000.0,1.27,13.572,13.12,14.05,16.5,47.8
1983-05-26,TB7,1991-12-15,12,400000000.0,400000000.0,771050000.0,1.93,14.31,13.75,14.67,16.93,36.0
1983-05-26,TB7,1996-12-15,12,100000000.0,100000000.0,161900000.0,1.62,14.803,14.29,15.15,17.0,34.7
1983-07-05,TB8,1990-12-15,13.5,200000000.0,200000000.0,470270000.0,2.35,15.583,14.75,15.85,17.0,26.7
1983-07-05,TB8,1995-06-15,13.5,50000000.0,50000000.0,97000000.0,1.94,15.796,15.3,16.2,17.13,40.4
1983-07-05,TB8,1986-05-15,11.7,400000000.0,400000000.0,403170000.0,1.01,14.792,14.18,15.4,15.6,60.8
1983-07-05,TB8,1988-05-15,12.5,350000000.0,350000000.0,481285000.0,1.38,15.306,14.55,15.88,16.5,57.4
1983-08-30,TB9,1986-03-15,13,550000000.0,550000000.0,1532390000.0,2.79,14.592,14.2,14.73,16.04,13.8
1983-08-30,TB9,1988-08-15,13.5,425000000.0,425000000.0,1176134000.0,2.77,15.27,14.5,15.49,16.73,22.0
1983-08-30,TB9,1990-03-15,14,375000000.0,375000000.0,1258521000.0,3.36,15.598,15.25,15.77,17.0,17.2
1983-08-30,TB9,1995-03-15,14,150000000.0,150000000.0,1020394000.0,6.81,15.745,14.85,15.85,18.0,10.5
1983-09-27,TB10,1986-09-15,13,400000000.0,550000000.0,1528800000.0,3.83,13.049,12.9,13.13,15.0,8.1
1983-09-27,TB10,1988-03-15,13.5,350000000.0,450000000.0,1608459000.0,4.61,13.593,13.15,13.68,15.58,8.7
1983-09-27,TB10,1993-09-15,14,350000000.0,450000000.0,1662183000.0,4.76,14.429,14.0,14.5,16.7,7.1
1983-09-27,TB10,1998-09-15,14.5,100000000.0,150000000.0,523600000.0,5.26,14.575,13.64,14.74,17.0,16.5
1983-10-25,TB11,1987-04-15,12.5,350000000.0,350000000.0,1192802000.0,3.42,12.576,12.3,12.67,14.81,9.4
1983-10-25,TB11,1989-10-15,13,350000000.0,350000000.0,1458830000.0,4.19,13.261,13.0,13.34,15.28,7.9
1983-10-25,TB11,1994-10-15,13.5,350000000.0,350000000.0,1473902000.0,4.22,14.112,13.85,14.17,16.07,5.8
1983-10-25,TB11,1999-04-15,14,150000000.0,150000000.0,468288000.0,3.14,14.459,14.2,14.58,16.44,12.1
1983-11-29,TB12,1987-12-15,11.5,200000000.0,400000000.0,669100000.0,3.37,11.394,11.2,11.45,12.2,5.6
1983-11-29,TB12,1991-12-15,12,400000000.0,600000000.0,838090000.0,2.11,12.635,12.41,12.75,14.05,11.5
1983-11-29,TB12,1993-06-15,13,450000000.0,500000000.0,1079170000.0,2.41,13.045,12.87,13.13,14.2,8.5
1983-11-29,TB12,1995-06-15,13.5,150000000.0,200000000.0,463920000.0,3.12,13.317,13.19,13.38,14.1,6.3
1984-01-10,TB13,1987-07-15,12,400000000.0,400000000.0,1135370000.0,2.85,12.684,12.49,12.75,14.05,6.6
1984-01-10,TB13,1992-07-15,12.5,400000000.0,400000000.0,1506860000.0,3.78,13.669,13.49,13.73,14.78,6.1
1984-01-10,TB13,1994-07-15,12.5,150000000.0,150000000.0,643010000.0,4.3,13.794,13.69,13.85,15.24,5.6
1984-01-10,TB13,1996-07-15,12.5,150000000.0,150000000.0,415450000.0,2.79,13.974,13.8,14.1,15.48,12.6
1984-02-21,TB14,1988-02-15,12.5,200000000.0,200000000.0,863600000.0,4.33,12.603,12.5,12.69,13.4,8.7
1984-02-21,TB14,1993-08-15,13,350000000.0,350000000.0,1030870000.0,2.95,13.775,13.62,13.83,15.58,5.5
1984-02-21,TB14,1997-08-15,13.5,150000000.0,150000000.0,489245000.0,3.27,14.016,13.91,14.09,16.0,7.4
1984-03-13,TB15,1988-09-15,13,200000000.0,200000000.0,600860000.0,3.01,13.39,13.3,13.47,14.45,8.0
1984-03-13,TB15,1993-09-15,14,400000000.0,400000000.0,1370450000.0,3.45,14.353,14.19,14.42,16.0,6.7
1984-03-13,TB15,1999-03-15,14,150000000.0,150000000.0,479950000.0,3.21,14.664,14.45,14.75,16.45,8.6
1984-05-15,TB16,1988-05-15,12.5,100000000.0,250000000.0,397650000.0,3.98,12.518,12.44,12.55,13.2,3.2
1984-05-15,TB16,1991-05-15,13,400000000.0,450000000.0,987900000.0,2.47,13.432,13.25,13.49,15.0,5.8
1984-05-15,TB16,1994-05-15,13.5,400000000.0,450000000.0,1095645000.0,2.75,13.88,13.75,13.93,15.98,5.0
1984-05-15,TB16,1997-05-15,13.5,100000000.0,150000000.0,259700000.0,2.62,14.035,13.89,14.16,14.93,12.5
1984-07-10,TB17,1988-07-15,12,200000000.0,202100000.0,418125000.0,2.07,12.547,12.4,12.59,13.47,4.3
1984-07-10,TB17,1991-01-15,12,400000000.0,402400000.0,691685000.0,1.72,13.275,13.18,13.33,13.85,5.5
1984-07-10,TB17,1994-01-15,13.5,400000000.0,401600000.0,1242050000.0,3.09,13.708,13.66,13.77,14.5,6.2
1984-07-10,TB17,1998-07-15,13.5,200000000.0,200700000.0,407300000.0,2.03,14.115,13.9,14.19,15.5,7.5
1984-08-28,TB18,1989-03-15,11.5,200000000.0,302000000.0,602000000.0,2.98,11.871,11.59,11.96,12.75,8.9
1984-08-28,TB18,1992-03-15,12,400000000.0,501800000.0,696300000.0,1.73,12.423,12.14,12.48,13.1,5.7
1984-08-28,TB18,1994-09-15,12.5,400000000.0,501100000.0,682150000.0,1.7,12.709,12.5,12.79,13.4,8.1
1984-08-28,TB18,1997-09-15,12.5,200000000.0,300800000.0,323640000.0,1.61,13.107,12.98,13.2,13.75,9.3
1984-09-25,TB19,1988-04-15,11.5,350000000.0,400400000.0,627100000.0,1.79,12.548,12.31,12.66,13.84,11.2
1984-09-25,TB19,1991-04-15,12,300000000.0,350400000.0,598600000.0,1.99,13.06,12.94,13.15,14.49,9.0
1984-09-25,TB19,1995-04-15,12.5,300000000.0,350300000.0,928450000.0,3.09,13.441,13.33,13.49,14.3,4.9
1984-09-25,TB19,1998-04-15,13,150000000.0,200900000.0,318000000.0,2.11,13.69,13.59,13.75,14.2,6.0
1984-10-23,TB20,1988-11-15,12,250000000.0,301700000.0,599400000.0,2.38,12.77,12.65,12.84,13.25,7.0
1984-10-23,TB20,1992-05-15,12.5,300000000.0,350200000.0,535500000.0,1.78,13.112,13.05,13.15,13.6,3.8
1984-10-23,TB20,1995-11-15,13,300000000.0,351600000.0,944810000.0,3.13,13.334,13.27,13.37,13.91,3.6
1984-10-23,TB20,2000-05-15,13,150000000.0,200900000.0,568060000.0,3.76,13.597,13.44,13.64,14.14,4.3
1984-12-04,TB21,1989-06-15,12.5,250000000.0,350600000.0,845000000.0,3.37,12.933,12.89,12.94,13.6,0.7
1984-12-04,TB21,1992-12-15,12.5,300000000.0,400300000.0,510800000.0,1.7,13.19,13.1,13.24,13.68,5.0
1984-12-04,TB21,1996-06-15,12.5,300000000.0,401000000.0,747300000.0,2.48,13.43,13.34,13.47,13.99,4.0
1984-12-04,TB21,2000-12-15,13,150000000.0,251000000.0,357630000.0,2.37,13.589,13.5,13.63,13.98,4.1
1985-01-22,TB22,1989-02-15,12.5,200000000.0,250800000.0,359000000.0,1.79,12.816,12.67,12.93,13.14,11.4
1985-01-22,TB22,1992-02-15,13,250000000.0,301700000.0,462500000.0,1.84,13.141,13.05,13.21,13.49,6.9
1985-01-22,TB22,1995-02-15,13,250000000.0,301400000.0,407500000.0,1.62,13.249,13.14,13.34,13.6,9.1
1985-01-22,TB22,2000-02-15,13,150000000.0,201000000.0,213190000.0,1.41,13.494,13.36,13.59,13.93,9.6
1985-05-28,TB23,1989-11-15,13,300000000.0,301800000.0,734000000.0,2.43,13.673,13.61,13.7,14.4,2.7
1985-05-28,TB23,1993-05-15,13,350000000.0,350900000.0,780750000.0,2.23,13.882,13.8,13.93,14.4,4.8
1985-05-28,TB23,1995-11-15,13,400000000.0,401500000.0,1124250000.0,2.8,13.952,13.93,13.97,14.4,1.8
1985-05-28,TB23,2000-05-15,13,150000000.0,151300000.0,529650000.0,3.5,14.202,14.15,14.23,14.6,2.8
1985-07-09,TB24,1989-07-15,12.5,300000000.0,350700000.0,765300000.0,2.55,12.974,12.88,13.03,13.45,5.6
1985-07-09,TB24,1995-07-15,13,400000000.0,451400000.0,819120000.0,2.04,13.062,12.99,13.12,14.1,5.8
1985-07-09,TB24,2000-07-15,13,200000000.0,251100000.0,384150000.0,1.91,13.195,13.1,13.27,14.0,7.5
1985-08-27,TB25,1989-02-15,12.5,250000000.0,250100000.0,499000000.0,2.0,14.074,13.99,14.13,14.8,5.6
1985-08-27,TB25,1995-02-15,13,400000000.0,400500000.0,1453730000.0,3.63,13.916,13.87,13.94,14.96,2.4
1985-08-27,TB25,2000-02-15,13,150000000.0,150300000.0,475320000.0,3.16,14.121,13.18,14.18,14.9,5.9
1985-10-08,TB26,1989-07-15,12.5,200000000.0,250700000.0,640700000.0,3.19,14.041,14.0,14.07,14.29,2.9
1985-10-08,TB26,1995-04-15,12.5,350000000.0,400800000.0,909700000.0,2.59,13.83,13.8,13.85,14.2,2.0
1985-10-08,TB26,2000-07-15,13,150000000.0,200700000.0,408320000.0,2.71,14.016,13.97,14.05,14.73,3.4
1985-11-26,TB27,1989-01-15,13,200000000.0,251000000.0,503200000.0,2.51,15.654,15.45,15.72,16.2,6.6
1985-11-26,TB27,1992-02-15,13,250000000.0,303400000.0,597700000.0,2.36,15.469,15.3,15.55,15.93,8.1
1985-11-26,TB27,1995-07-15,13,300000000.0,350930000.0,743230000.0,2.47,15.128,14.97,15.24,16.0,11.2
1986-01-14,TB28,1990-01-15,13.5,250000000.0,325400000.0,332800000.0,1.21,15.053,14.82,15.2,15.3,14.7
1986-01-14,TB28,1993-01-15,13.5,250000000.0,321400000.0,286900000.0,1.06,14.828,14.65,15.08,15.2,25.2
1986-01-14,TB28,1996-03-15,13.5,250000000.0,320100000.0,416150000.0,1.54,14.616,14.53,14.7,15.05,8.4
1986-02-25,TB29,1991-01-15,13,200000000.0,318900000.0,657500000.0,3.0,14.073,14.0,14.14,14.51,6.7
1986-02-25,TB29,1993-05-15,13,150000000.0,268700000.0,852850000.0,5.69,13.862,13.8,13.95,14.36,8.8
1986-02-25,TB29,1996-07-15,13,400000000.0,532600000.0,1263650000.0,2.92,13.796,13.75,13.8,14.26,0.4
1986-05-20,TB30,1991-04-15,12,250000000.0,350300000.0,652700000.0,2.61,12.663,12.6,12.69,13.27,2.7
1986-05-20,TB30,1996-11-15,12,450000000.0,550200000.0,1406850000.0,3.12,12.85,12.79,12.89,13.53,4.0
1986-05-20,TB30,2001-11-15,12,150000000.0,251100000.0,366000000.0,2.42,13.153,13.09,13.19,13.94,3.7
1986-07-15,TB31,1989-07-15,12.5,350000000.0,450400000.0,652250000.0,1.86,13.374,13.25,13.44,14.38,6.6
1986-07-15,TB31,1996-07-15,13,350000000.0,450100000.0,813200000.0,2.32,13.263,13.15,13.31,14.38,4.7
1986-08-26,TB32,1991-01-15,13,200000000.0,300500000.0,392000000.0,1.96,14.268,14.17,14.4,15.48,13.2
1986-08-26,TB32,1996-07-15,13,200000000.0,300100000.0,580100000.0,2.9,13.943,13.89,13.98,14.95,3.7
1986-10-14,TB33,1997-03-15,12.5,400000000.0,800300000.0,855000000.0,2.14,13.295,13.27,13.31,13.92,1.5
1986-11-25,TB34,1992-05-15,12.5,200000000.0,300200000.0,523000000.0,2.61,13.74,13.71,13.77,14.05,3.0
1986-11-25,TB34,1997-03-15,12.5,200000000.0,300100000.0,253000000.0,1.26,13.539,13.39,13.68,13.96,14.1
1987-01-20,TB35,1991-01-15,13,200000000.0,400200000.0,434100000.0,2.17,14.102,13.97,14.15,14.69,4.8
1987-01-20,TB35,1997-03-15,12.5,300000000.0,500300000.0,559500000.0,1.86,13.558,13.44,13.65,13.91,9.2
1987-03-03,TB36,1992-02-15,13,200000000.0,400300000.0,481000000.0,2.4,14.728,14.62,14.78,15.47,5.2
1987-03-03,TB36,1997-09-15,12.5,300000000.0,500100000.0,1081400000.0,3.6,14.016,13.99,14.03,14.97,1.4
1987-05-19,TB37,1991-04-15,12,200000000.0,300100000.0,703000000.0,3.51,12.793,12.75,12.81,13.83,1.7
1987-05-19,TB37,1997-09-15,12.5,300000000.0,400100000.0,529000000.0,1.76,12.47,12.39,12.53,12.74,6.0
1987-07-16,TB38,1991-04-15,12,200000000.0,200300000.0,737000000.0,3.68,12.798,12.77,12.81,13.48,1.2
1987-07-16,TB38,1997-09-15,12.5,300000000.0,300200000.0,835850000.0,2.78,12.69,12.69,12.69,13.38,0.0
1987-08-18,TB39,1989-07-15,12.5,200000000.0,200100000.0,465000000.0,2.32,12.499,12.48,12.53,12.75,3.1
1987-08-18,TB39,1998-01-15,12.5,300000000.0,350200000.0,681110000.0,2.27,12.89,12.84,12.94,13.22,5.0
1987-09-22,TB40,1992-03-15,12,200000000.0,200000000.0,490000000.0,2.45,11.973,11.87,12.04,12.24,6.7
1987-09-22,TB40,1998-01-15,12.5,200000000.0,200000000.0,819905000.0,4.1,12.32,12.25,12.33,12.64,1.0
1987-11-17,TB41,1992-03-15,12,200000000.0,200000000.0,546000000.0,2.73,12.695,12.65,12.73,13.0,3.5
1987-11-17,TB41,1998-01-15,12.5,200000000.0,250200000.0,517000000.0,2.58,13.156,13.07,13.21,13.47,5.4
1988-01-19,TB42,1992-03-15,12,200000000.0,200100000.0,415100000.0,2.07,11.498,11.43,11.55,12.0,5.2
1988-01-19,TB42,1998-01-15,12.5,200000000.0,200100000.0,877100000.0,4.38,12.454,12.43,12.46,12.78,0.6
1988-07-05,TB43,1999-07-15,12,400000000.0,800000000.0,2006000000.0,5.02,11.8,11.8,11.8,12.09,0.0
1988-11-15,TB44,1992-03-15,12,200000000.0,400000000.0,527000000.0,2.64,12.85,12.85,12.85,13.0,0.0
1988-11-15,TB44,1999-07-15,12,200000000.0,400300000.0,397000000.0,1.98,11.929,11.91,11.94,12.0,1.1
1989-03-07,TB45,1993-05-15,13,200000000.0,399600000.0,501600000.0,2.51,14.624,14.38,14.74,15.49,11.6
1989-03-07,TB45,1999-07-15,12,200000000.0,400100000.0,427115000.0,2.13,13.619,13.54,13.66,14.49,4.1
1989-07-13,TB46,1993-05-15,13,100000000.0,200000000.0,248000000.0,2.48,14.25,14.25,14.25,14.58,0.0
1989-07-13,TB46,2000-07-15,13,300000000.0,600000000.0,390000000.0,1.3,13.832,13.48,14.23,14.23,39.8
1991-04-16,TB47,1994-09-15,12.5,400000000.0,401000000.0,2307100000.0,5.75,10.846,10.8,10.88,12.0,3.4
1991-04-16,TB47,2001-11-15,12,400000000.0,400000000.0,2618500000.0,6.55,11.043,11.0,11.06,12.0,1.7
1991-05-28,TB48,1995-04-15,12.5,600000000.0,598000000.0,2034000000.0,3.4,10.279,10.24,10.3,11.1,2.1
1991-05-28,TB48,2001-11-15,12,600000000.0,601000000.0,2824000000.0,4.7,10.606,10.54,10.63,11.25,2.4
1991-07-09,TB49,1995-09-15,10.5,1000000000.0,1001000000.0,2806800000.0,2.8,10.984,10.92,11.04,12.0,5.6
1991-07-09,TB49,2001-11-15,12,500000000.0,498500000.0,1444500000.0,2.9,11.031,11.0,11.06,11.95,2.9
1991-09-03,TB50,1994-03-15,10,300000000.0,300000000.0,1110000000.0,3.67,10.057,9.98,10.1,10.35,4.3
1991-09-03,TB50,1995-09-15,10.5,600000000.0,599000000.0,1748000000.0,2.92,10.319,10.26,10.37,10.55,5.1
1991-09-03,TB50,2001-11-15,12,600000000.0,602000000.0,1384500000.0,2.3,10.704,10.67,10.72,11.25,1.6
1991-10-08,TB51,1994-03-15,10,500000000.0,500000000.0,1314500000.0,2.63,9.285,9.26,9.31,9.65,2.5
1991-10-08,TB51,1995-09-15,10.5,300000000.0,299000000.0,998000000.0,3.34,9.575,9.56,9.59,10.0,1.5
1991-10-08,TB51,2002-10-15,10,800000000.0,797000000.0,2467000000.0,3.1,10.196,10.16,10.23,11.0,3.4
1991-11-12,TB52,1994-03-15,10,400000000.0,398000000.0,838000000.0,2.11,8.663,8.64,8.7,9.3,3.7
1991-11-12,TB52,1995-09-15,10.5,400000000.0,398000000.0,991000000.0,2.49,8.948,8.9,8.98,9.4,3.2
1991-11-12,TB52,2002-10-15,10,700000000.0,702252000.0,3294252000.0,4.69,9.908,9.87,9.93,10.99,2.2
1991-12-10,TB53,1995-09-15,10.5,400000000.0,403000000.0,1183000000.0,2.94,8.376,8.35,8.4,8.99,2.4
1991-12-10,TB53,2002-10-15,10,600000000.0,601155000.0,1603155000.0,2.67,9.768,9.73,9.79,10.5,2.2
1992-02-11,TB54,1994-03-15,10,400000000.0,500000000.0,1437000000.0,3.59,8.119,8.11,8.13,8.5,1.1
1992-02-11,TB54,2002-10-15,10,400000000.0,502300000.0,1271300000.0,3.16,10.085,10.08,10.1,10.37,1.5
1992-03-19,TB55,1994-03-15,10,400000000.0,400000000.0,875000000.0,2.19,8.43,8.39,8.48,9.0,5.0
1992-03-19,TB55,2002-10-15,10,500000000.0,796100000.0,1660100000.0,3.35,10.181,10.16,10.2,10.75,1.9
1992-04-14,TB56,1994-09-15,12.5,300000000.0,300900000.0,826900000.0,2.75,8.046,8.02,8.07,8.5,2.4
1992-04-14,TB56,2003-08-15,9.5,800000000.0,999000000.0,2015000000.0,2.52,9.883,9.83,9.92,10.3,3.7
1992-05-14,TB57,1994-09-15,12.5,400000000.0,403000000.0,1398000000.0,3.47,7.74,7.7,7.76,8.5,2.0
