held,method,maturity,coupon,isin,repurchased,offers,wa_yield,proceeds,settled
2012-01-12,RBA,2012-05-15,5.75,AU3TB0000010,1500000000,,,,2012-01-17
2012-01-17,RBA,2012-05-15,5.75,AU3TB0000010,250000000,,,,2012-01-20
2013-10-28,RBA,2013-12-15,5.5,AU3TB0000069,1350549000,,,,2013-10-31
2015-03-24,RBA,2015-04-15,6.25,AU0000XCLWI3,3472861000,,,,2015-03-25
2015-05-20,RBA,2015-10-21,4.75,AU3TB0000119,2500000000,,,,2015-05-25
2015-12-07,RBA,2016-06-15,4.75,AU3TB0000077,3000000000,,,,2015-12-08
2016-02-09,RBA,2016-06-15,4.75,AU3TB0000077,3000000000,,,,2016-02-12
2016-06-01,RBA,2017-02-15,6,AU300TB01208,9267311000,,,,2016-06-03
2016-08-08,RBA,2017-07-21,4.25,AU3TB0000127,4379170000,,,,2016-08-11
2016-09-19,TBB1,2018-10-21,3.25,AU3TB0000176,400000000,1425000000,1.63,418642400,2016-09-21
2016-10-24,TBB2,2018-01-21,5.5,AU3TB0000093,300000000,1083000000,1.66866666666667,318349050,2016-10-26
2016-11-21,TBB3,2018-01-21,5.5,AU3TB0000093,340000000,1175000000,1.69459558823529,361146350,2016-11-23
2016-11-21,TBB3,2018-10-21,3.25,AU3TB0000176,260000000,1326000000,1.73526923076923,268128800,2016-11-23
2017-01-18,Syndication,2017-07-21,4.25,AU3TB0000127,655000000,,1.655,663652711.2,2017-01-27
2017-01-18,Syndication,2018-01-21,5.5,AU3TB0000093,2412250000,,1.72,2502974722.5,2017-01-27
2017-01-23,TBB4,2018-10-21,3.25,AU3TB0000176,100000000,655000000,1.8275,103275250,2017-01-25
2017-01-23,TBB4,2019-03-15,5.25,AU300TB01224,400000000,955000000,1.899875,435560950,2017-01-25
2017-03-06,TBB5,2018-10-21,3.25,AU3TB0000176,269000000,780000000,1.75560408921933,278708100,2017-03-08
2017-03-06,TBB5,2019-03-15,5.25,AU300TB01224,331000000,1473000000,1.83749244712991,352955280,2017-03-08
