rgam_id,AUC_RGAM_AUCTION_DATE,AUC_RGAM_BID_DEADLINE,AUC_RGAM_SETTLEMENT_DATE,AUC_RGAM_TERM_DAYS,AUC_RGAM_MATURITY_DATE,AUC_RGAM_AMOUNT,AUC_RGAM_OFFER_AMOUNT,AUC_RGAM_AVG_YIELD,AUC_RGAM_LOW_YIELD,AUC_RGAM_HIGH_YIELD,AUC_RGAM_COVERAGE
2026-08-20_14002057843-1,2026-08-20,9:15,2026-08-20,1,2026-08-21,8381.000,10000.000,2.204,2.200,2.230,0.838
2026-08-20_14002057843-2,2026-08-20,9:15,2026-08-20,4,2026-08-24,6000.000,6000.000,2.211,2.200,2.220,1.533
2026-08-21_14002058239,2026-08-21,9:15,2026-08-21,,,,,,,,
2026-08-21_14002058239-1,2026-08-21,9:15,2026-08-21,3,2026-08-24,8000.000,8000.000,2.221,2.200,2.260,1.351
2026-08-21_14002058239-2,2026-08-21,9:15,2026-08-21,4,2026-08-25,5000.000,5000.000,2.202,2.200,2.210,1.360
2026-08-24_14002057844-1,2026-08-24,9:15,2026-08-24,1,2026-08-25,10000.000,10000.000,2.215,2.200,2.240,1.079
2026-08-24_14002057844-2,2026-08-24,9:15,2026-08-24,2,2026-08-26,6000.000,6000.000,2.207,2.200,2.220,1.108
2026-08-25_14002058240-1,2026-08-25,9:15,2026-08-25,1,2026-08-26,10000.000,10000.000,2.212,2.200,2.230,1.121
2026-08-25_14002058240-2,2026-08-25,9:15,2026-08-25,2,2026-08-27,6000.000,6000.000,2.207,2.200,2.220,1.217
2026-08-26_14002058241-1,2026-08-26,9:15,2026-08-26,1,2026-08-27,10000.000,10000.000,2.212,2.200,2.230,1.438
2026-08-26_14002058241-2,2026-08-26,9:15,2026-08-26,2,2026-08-28,5000.000,5000.000,2.208,2.200,2.220,1.552
2026-08-27_14002057846-1,2026-08-27,9:15,2026-08-27,1,2026-08-28,10000.000,10000.000,2.208,2.200,2.220,1.269
2026-08-27_14002057846-2,2026-08-27,9:15,2026-08-27,4,2026-08-31,7000.000,7000.000,2.203,2.200,2.210,1.114
2026-08-28_14002057847-1,2026-08-28,9:15,2026-08-28,3,2026-08-31,10000.000,10000.000,2.209,2.200,2.230,1.123
2026-08-28_14002057847-2,2026-08-28,9:15,2026-08-28,4,2026-09-01,3000.000,3000.000,2.218,2.210,2.220,3.111
2026-08-31_14002058242-1,2026-08-31,9:15,2026-08-31,1,2026-09-01,20000.000,20000.000,2.213,2.200,2.250,1.043
2026-09-01_14002057848-1,2026-09-01,9:15,2026-09-01,1,2026-09-02,6000.000,6000.000,2.285,2.280,2.290,2.691
2026-09-02_14002058243-1,2026-09-02,10:00,2026-09-02,1,2026-09-03,7000.000,7000.000,2.274,2.270,2.300,2.199
2026-09-03_14002058245-1,2026-09-03,9:15,2026-09-03,1,2026-09-04,7000.000,7000.000,2.271,2.260,2.280,2.080
2026-09-03_14002058245-2,2026-09-03,9:15,2026-09-03,5,2026-09-08,6000.000,6000.000,2.260,2.230,2.290,1.880
2026-09-04_14002057850-1,2026-09-04,9:15,2026-09-04,4,2026-09-08,10000.000,10000.000,2.266,2.250,2.280,1.405
2026-09-04_14002057850-2,2026-09-04,9:15,2026-09-04,5,2026-09-09,5000.000,5000.000,2.243,2.200,2.280,1.653
2026-09-08_14002057851-1,2026-09-08,9:15,2026-09-08,1,2026-09-09,10000.000,10000.000,2.265,2.260,2.270,1.655
2026-09-08_14002057851-2,2026-09-08,9:15,2026-09-08,2,2026-09-10,6500.000,6500.000,2.245,2.220,2.270,1.513
2026-09-09_14002057852-1,2026-09-09,9:15,2026-09-09,1,2026-09-10,3000.000,3000.000,2.322,2.310,2.330,4.426
2026-09-10_14002057853,2026-09-10,9:15,2026-09-10,,,,,,,,
2026-09-10_14002057853-1,2026-09-10,9:15,2026-09-10,1,2026-09-11,8000.000,,,,,
2026-09-10_14002057853-2,2026-09-10,9:15,2026-09-10,4,2026-09-14,5000.000,,,,,
