date,CORRA_TOTAL_VOLUME,CORRA_TRIMMED_VOLUME,CORRA_RATE_AT_PERCENTILE_5,CORRA_RATE_AT_PERCENTILE_95
2020-06-12,12906808055,9680106041,0.2000,0.2500
2020-06-15,11031629325,8273721994,0.2000,0.2500
2020-06-16,10592992420,7944744315,0.1800,0.2500
2020-06-17,11803081929,8852311447,0.1800,0.2500
2020-06-18,12621151108,9465863331,0.1800,0.2500
2020-06-19,13925523423,10444142567,0.2000,0.2500
2020-06-22,12185072208,9138804156,0.1800,0.2500
2020-06-23,9648691019,7236518264,0.1900,0.2500
2020-06-24,5528297000,4146222750,0.2000,0.2500
2020-06-25,8651041423,6488281067,0.1800,0.2500
2020-06-26,12280642794,9210482096,0.1900,0.2500
2020-06-29,11901331293,8925998470,0.2000,0.2500
2020-06-30,14689021488,11016766116,0.2000,0.2500
2020-07-02,9967602111,7475701583,0.2000,0.2500
2020-07-03,10107739597,7580804698,0.1900,0.2500
2020-07-06,9400116007,7050087005,0.1800,0.2500
2020-07-07,9932939595,7449704696,0.2000,0.2500
2020-07-08,9767075805,7325306854,0.2000,0.2500
2020-07-09,10505566719,7879175039,0.2200,0.2500
2020-07-10,10479573399,7859680049,0.2100,0.2500
2020-07-13,11228274580,8421205935,0.2000,0.2500
2020-07-14,11990593375,8992945031,0.2000,0.2500
2020-07-15,9986382575,7489786931,0.2000,0.2500
2020-07-16,11987735543,8990801657,0.2200,0.2500
2020-07-17,13725642583,10294231937,0.2200,0.2500
2020-07-20,12885835341,9664376506,0.2200,0.2500
2020-07-21,14260632339,10695474254,0.2200,0.2500
2020-07-22,14644369011,10983276758,0.2200,0.2500
2020-07-23,14364406786,10773305090,0.2200,0.2500
2020-07-24,14464924194,10848693146,0.2200,0.2500
2020-07-27,16453800422,12340350316,0.2200,0.2500
2020-07-28,14622942214,10967206660,0.2000,0.2500
2020-07-29,12397294430,9297970822,0.2000,0.2500
2020-07-30,12544369293,9408276970,0.2000,0.2500
2020-07-31,14082156394,10561617296,0.2000,0.2500
2020-08-04,11328022833,8496017125,0.2000,0.2500
2020-08-05,11408037662,8556028246,0.2200,0.2500
