Cash-Business-Date-Date-d'opération-de-trésorerie,Closing-Cash-Balance-Amount-Solde-de-fermeture-de-trésorerie,Term-Deposit-Outstanding-Amount-Montant-en-suspens-des-dépôts-à-terme,Prudential-Liquidity-Fund-Closing-Balance-Amount-Montant-du-solde-de-fermeture-du-fonds-de-liquidité-prudentielle
2026-04-01,27558267581.88,,20000000000.00
2026-04-02,26785405046.20,4000000000.00,20000000000.00
2026-04-06,22054148423.32,5500000000.00,20000000000.00
2026-04-07,24909892223.02,6256000000.00,20000000000.00
2026-04-08,24127007104.73,7500000000.00,20000000000.00
2026-04-09,23627556129.95,8500000000.00,20000000000.00
2026-04-10,24105330405.32,9000000000.00,20000000000.00
2026-04-13,23608637967.83,9500000000.00,20000000000.00
2026-04-14,23811102227.74,8000000000.00,20000000000.00
2026-04-15,23806163726.34,10500000000.00,20000000000.00
2026-04-16,25070494779.00,10338000000.00,20000000000.00
2026-04-17,24681892052.67,17636000000.00,20000000000.00
2026-04-20,24372248381.84,10500000000.00,20000000000.00
2026-04-21,23359376451.44,9000000000.00,20000000000.00
2026-04-22,22921940811.23,14500000000.00,20000000000.00
2026-04-23,23656614268.41,15000000000.00,20000000000.00
2026-04-24,23755865697.52,17000000000.00,20000000000.00
2026-04-27,24829414950.45,17500000000.00,20000000000.00
2026-04-28,24924446948.64,13651000000.00,20000000000.00
2026-04-29,28375016881.13,13300000000.00,20000000000.00
2026-04-30,32927192712.45,13100000000.00,20000000000.00
2026-05-01,25334260168.95,8000000000.00,20000000000.00
2026-05-04,27413238772.47,11000000000.00,20000000000.00
2026-05-05,24585056663.91,20000000000.00,20000000000.00
2026-05-06,26011967961.18,23000000000.00,20000000000.00
2026-05-07,23596643831.76,27000000000.00,20000000000.00
2026-05-08,23799118080.72,26000000000.00,20000000000.00
2026-05-11,24953802836.31,22950000000.00,20000000000.00
2026-05-12,23838494064.95,25000000000.00,20000000000.00
2026-05-13,26729437644.55,22404000000.00,20000000000.00
2026-05-14,24523023204.85,27000000000.00,20000000000.00
2026-05-15,24967768570.41,29000000000.00,20000000000.00
2026-05-19,24081518203.45,26000000000.00,20000000000.00
2026-05-20,29610965855.91,22000000000.00,20000000000.00
2026-05-21,25669729543.98,23000000000.00,20000000000.00
2026-05-22,26474418090.87,19646000000.00,20000000000.00
2026-05-25,29456704348.21,18739000000.00,20000000000.00
2026-05-26,27821879620.06,22250000000.00,20000000000.00
2026-05-27,24740875855.51,17400000000.00,20000000000.00
2026-05-28,28866527202.49,14800000000.00,20000000000.00
2026-05-29,27290432047.99,20600000000.00,20000000000.00
2026-06-01,24507118196.58,6500000000.00,20000000000.00
2026-06-02,23692947780.65,10000000000.00,20000000000.00
2026-06-03,23736123206.87,17000000000.00,20000000000.00
2026-06-04,27496121093.40,19974000000.00,20000000000.00
2026-06-05,24671220296.93,17000000000.00,20000000000.00
2026-06-08,23305369022.73,18000000000.00,20000000000.00
2026-06-09,22279289615.18,17000000000.00,20000000000.00
2026-06-10,23540594945.58,15000000000.00,20000000000.00
