date,key,value
2025-12-30,mmdrc_btc,3.373
2025-12-30,mmdrc_yield,-0.0414
2025-12-30,mmdrc_issued,737.5
2026-01-06,mmdrc_btc,2.792
2026-01-06,mmdrc_yield,-0.0593
2026-01-06,mmdrc_issued,948.6
2026-01-13,mmdrc_btc,2.308
2026-01-13,mmdrc_yield,-0.0435
2026-01-13,mmdrc_issued,764.8
2026-01-20,mmdrc_btc,2.266
2026-01-20,mmdrc_yield,-0.0440
2026-01-20,mmdrc_issued,987.3
2026-01-27,mmdrc_btc,3.011
2026-01-27,mmdrc_yield,-0.0475
2026-01-27,mmdrc_issued,1002.9
2026-02-03,mmdrc_btc,3.996
2026-02-03,mmdrc_yield,-0.0613
2026-02-03,mmdrc_issued,893.0
2026-02-10,mmdrc_btc,3.651
2026-02-10,mmdrc_yield,-0.0587
2026-02-10,mmdrc_issued,848.8
2026-02-17,mmdrc_btc,4.556
2026-02-17,mmdrc_yield,-0.0670
2026-02-17,mmdrc_issued,788.9
2026-02-24,mmdrc_btc,5.251
2026-02-24,mmdrc_yield,-0.0750
2026-02-24,mmdrc_issued,729.3
2026-03-03,mmdrc_btc,5.633
2026-03-03,mmdrc_yield,-0.0633
2026-03-03,mmdrc_issued,550.0
2026-03-10,mmdrc_btc,5.387
2026-03-10,mmdrc_yield,-0.0750
2026-03-10,mmdrc_issued,653.0
2026-03-17,mmdrc_btc,6.074
2026-03-17,mmdrc_yield,-0.0830
2026-03-17,mmdrc_issued,433.6
2026-03-24,mmdrc_btc,6.016
2026-03-24,mmdrc_yield,-0.0200
2026-03-24,mmdrc_issued,488.9
2026-03-31,mmdrc_btc,2.818
2026-03-31,mmdrc_yield,-0.0510
2026-03-31,mmdrc_issued,563.7
2026-04-07,mmdrc_btc,4.494
2026-04-07,mmdrc_yield,-0.0510
2026-04-07,mmdrc_issued,526.5
2026-04-14,mmdrc_btc,4.603
2026-04-14,mmdrc_yield,-0.0554
2026-04-14,mmdrc_issued,536.1
2026-04-21,mmdrc_btc,7.992
2026-04-21,mmdrc_yield,-0.0554
2026-04-21,mmdrc_issued,398.6
2026-04-28,mmdrc_btc,6.048
2026-04-28,mmdrc_yield,-0.0550
2026-04-28,mmdrc_issued,500.0
2026-05-05,mmdrc_btc,6.742
2026-05-05,mmdrc_yield,-0.0138
2026-05-05,mmdrc_issued,423.6
2026-05-12,mmdrc_btc,4.966
2026-05-12,mmdrc_yield,-0.0600
2026-05-12,mmdrc_issued,523.2
2026-05-19,mmdrc_btc,7.462
2026-05-19,mmdrc_yield,-0.0633
2026-05-19,mmdrc_issued,399.9
2026-05-26,mmdrc_btc,9.754
2026-05-26,mmdrc_yield,-0.0870
2026-05-26,mmdrc_issued,327.3
2026-06-02,mmdrc_btc,9.121
2026-06-02,mmdrc_yield,-0.0672
2026-06-02,mmdrc_issued,302.6
2026-06-09,mmdrc_btc,8.477
2026-06-09,mmdrc_yield,-0.0712
2026-06-09,mmdrc_issued,400.0
2026-06-16,mmdrc_btc,6.823
2026-06-16,mmdrc_yield,-0.7500
2026-06-16,mmdrc_issued,444.8
2026-06-23,mmdrc_btc,4.776
2026-06-23,mmdrc_yield,-0.0257
2026-06-23,mmdrc_issued,409.1
2026-06-30,mmdrc_btc,4.497
2026-06-30,mmdrc_yield,-0.0710
2026-06-30,mmdrc_issued,314.6
2026-07-07,mmdrc_btc,5.236
2026-07-07,mmdrc_yield,-0.0910
2026-07-07,mmdrc_issued,414.6
2026-07-14,mmdrc_btc,7.593
2026-07-14,mmdrc_yield,-0.0989
2026-07-14,mmdrc_issued,369.4
2026-07-21,mmdrc_btc,5.288
2026-07-21,mmdrc_yield,-0.0750
2026-07-21,mmdrc_issued,431.4
2026-07-28,mmdrc_btc,7.104
2026-07-28,mmdrc_yield,-0.0790
2026-07-28,mmdrc_issued,376.9
2026-08-04,mmdrc_btc,5.298
2026-08-04,mmdrc_yield,-0.0593
2026-08-04,mmdrc_issued,460.6
2026-08-11,mmdrc_btc,9.269
2026-08-11,mmdrc_yield,-0.0870
2026-08-11,mmdrc_issued,397.4
2026-08-18,mmdrc_btc,8.874
2026-08-18,mmdrc_yield,-0.0831
2026-08-18,mmdrc_issued,390.2
2026-08-25,mmdrc_btc,6.347
2026-08-25,mmdrc_yield,-0.0831
2026-08-25,mmdrc_issued,397.4
2026-09-01,mmdrc_btc,5.210
2026-09-01,mmdrc_yield,-0.0870
2026-09-01,mmdrc_issued,335.4
2026-09-08,mmdrc_btc,5.049
2026-09-08,mmdrc_yield,-0.0831
2026-09-08,mmdrc_issued,469.2
2025-01-08,bond_btc,1.470
2025-01-08,bond_yield,0.4829
2025-01-08,bond_issued,346.51
2025-01-08,bond_own_share,0.0000
2025-02-12,bond_btc,1.567
2025-02-12,bond_yield,0.4330
2025-02-12,bond_issued,379.23
2025-02-12,bond_own_share,0.0000
2025-03-12,bond_btc,1.726
2025-03-12,bond_yield,0.7170
2025-03-12,bond_issued,315.87
2025-03-12,bond_own_share,0.0000
2025-04-09,bond_btc,1.657
2025-04-09,bond_yield,0.5445
