date,snbbipo:GFG,snbbipo:D,snbbipo:FRGSF,snbbipo:GSGSF,snbbipo:GD,snbbipo:T0,snbbipo:N,snbbipo:GB,snbbipo:VB,snbbipo:GBI,snbbipo:US,snbbipo:VRGSF,snbbipo:ES
2021-01,55389,913979,500,0,11204,997785,87887,636613,11321,24202,33193,0,0
2021-02,52896,933853,0,0,11200,1012167,87806,640788,12492,19924,31119,0,0
2021-03,53421,951463,0,0,11119,1030533,88644,627723,16522,25113,33090,0,0
2021-04,53838,934078,0,0,11001,1011154,89020,634162,17959,22176,27498,0,0
2021-05,57382,931648,0,0,10847,1012146,88645,632763,29003,21405,28489,0,0
2021-06,54359,963834,0,0,10556,1041421,88396,634461,26832,22550,28999,0,0
2021-07,55281,945944,0,0,10330,1023827,88274,636658,23422,21891,31014,0,0
2021-08,55302,957091,0,0,10210,1042215,87952,637433,23798,24075,30537,0,0
2021-09,54468,965460,0,0,10041,1050021,88032,637447,21445,22752,33392,0,0
2021-10,54143,951173,0,0,9831,1034888,88060,646350,17498,22134,32834,0,0
2021-11,55232,950107,0,0,9574,1034628,88702,645801,15837,25545,33500,0,0
2021-12,55691,966202,3216,0,9202,1056776,90685,651091,12617,28156,35298,0,0
2022-01,55894,976955,574,0,9124,1062887,89912,659563,9973,20543,36316,0,0
2022-02,58728,968739,666,0,8982,1057156,89729,659357,12448,19774,35231,0,0
2022-03,59853,937329,11399,0,8672,1037871,90436,664676,14498,21239,40155,0,0
2022-04,62002,955927,19350,0,8169,1066104,90571,665056,23417,19879,39351,0,0
2022-05,59393,958990,22378,0,8012,1069287,90899,664381,35401,17660,38568,0,0
2022-06,58070,884386,19357,0,7789,990257,90586,641786,33052,36463,41183,0,0
2022-07,56181,869850,14871,0,7568,968265,89165,642825,28657,29099,48643,0,0
2022-08,56207,863779,16570,0,7290,964567,85891,639320,27080,37340,50060,32,48
2022-09,54627,808354,0,0,5488,889467,82550,540569,22407,66303,33001,55281,17845
2022-10,55026,821902,0,0,4727,902116,81046,516009,18656,22474,22599,66065,77009
2022-11,55798,804735,0,0,4471,884966,80191,510849,17511,11048,21991,62926,88519
2022-12,56099,800566,0,0,4430,881377,81697,466923,16668,27584,27804,67145,98169
2023-01,59397,800814,0,0,4374,884573,80010,495241,12057,19072,10104,63020,98095
2023-02,56887,795872,0,0,4312,877098,78850,488350,9482,19763,7942,60611,103563
2023-03,60448,761272,0,0,112422,954598,78158,481296,10627,33279,11619,71016,103579
2023-04,59369,751820,0,0,101731,932484,77558,499140,14394,15948,4471,90460,123459
2023-05,60023,759144,0,0,91991,930724,76642,495626,25675,12207,5778,69273,132571
2023-06,57303,741600,0,0,66699,885593,75932,462502,25032,6055,3608,73948,131384
2023-07,57300,717877,0,0,56312,850667,75350,467872,19918,19805,3205,59965,113568
2023-08,57400,719341,0,0,41401,837249,74723,453560,20907,3617,2189,77028,100834
2023-09,57171,703264,0,0,41578,821809,74438,460394,19014,6700,2380,64012,91147
2023-10,60683,682727,0,0,41249,804017,74276,461972,17598,3973,2220,62483,82679
2023-11,59619,665318,0,0,40866,784769,74570,455267,17374,12428,1796,52675,83147
2023-12,57818,677396,0,0,40306,794644,76321,449439,15398,5945,2143,61668,86700
2024-01,58768,683843,0,0,40346,801789,74691,462835,10503,15142,1937,64726,68726
2024-02,60183,701296,0,0,40561,821686,74147,452739,12470,16254,1871,72993,68940
2024-03,66756,741202,0,0,20865,848603,74164,440553,11568,1818,1860,75962,83779
2024-04,70641,747939,0,0,20667,858817,73824,453845,19600,11185,2197,70685,58838
2024-05,70773,742083,0,0,11373,843750,73492,448469,30547,5604,1768,68235,53466
2024-06,70020,730929,0,0,2012,822529,73215,435625,26524,2307,1615,77740,55885
