date,zikrepro:05Q|MV,zikrepro:05Q|50,zikrepro:05Q|10
2019-01,2.7,1.13,1.55
2019-02,2.7,1.12,1.5
2019-03,2.7,1.1,1.39
2019-04,2.7,1.1,1.4
2019-05,2.7,1.1,1.3
2019-06,2.7,1.08,1.25
2019-07,2.7,1.07,1.2
2019-08,2.7,1.05,1.17
2019-09,2.7,1.07,1.2
2019-10,2.7,1.09,1.25
2019-11,2.7,1.1,1.25
2019-12,2.7,1.1,1.29
2020-01,2.7,1.09,1.2
2020-02,2.7,1.08,1.2
2020-03,2.7,1.14,1.35
2020-04,2.7,1.1,1.3
2020-05,2.7,1.1,1.27
2020-06,2.7,1.11,1.3
2020-07,2.7,1.1,1.24
2020-08,2.7,1.1,1.3
2020-09,2.75,1.09,1.24
2020-10,2.75,1.08,1.23
2020-11,2.75,1.08,1.25
2020-12,2.75,1.08,1.24
2021-01,2.75,1.07,1.25
2021-02,2.75,1.1,1.39
2021-03,2.75,1.08,1.37
2021-04,2.75,1.1,1.36
2021-05,2.75,1.1,1.38
2021-06,2.75,1.08,1.35
2021-07,2.75,1.06,1.28
2021-08,2.75,1.05,1.26
2021-09,2.75,1.09,1.36
2021-10,2.75,1.14,1.45
2021-11,2.75,1.09,1.35
2021-12,2.75,1.1,1.38
2022-01,2.75,1.22,1.55
2022-02,2.75,1.39,1.75
2022-03,2.75,1.67,2.1
2022-04,2.75,1.95,2.45
2022-05,2.75,1.98,2.51
2022-06,2.75,2.5,3.01
2022-07,2.75,2.05,2.55
2022-08,2.75,2.54,2.9
2022-09,2.75,2.92,3.3
2022-10,2.75,2.8,3.18
2022-11,2.75,2.55,2.82
2022-12,2.75,2.95,3.2
2023-01,2.75,2.65,2.9
2023-02,2.75,2.95,3.14
2023-03,2.75,3.05,3.15
2023-04,2.75,3.02,3.18
2023-05,2.75,2.9,3.05
2023-06,2.75,2.95,3
2023-07,2.88,2.93,2.98
2023-08,2.88,2.87,2.93
2023-09,2.88,2.84,2.95
2023-10,2.95,2.56,2.8
2023-11,3,2.38,2.53
2023-12,3,2.24,2.35
2024-01,3,2.29,2.45
2024-02,3,2.31,2.47
2024-03,3,2.25,2.39
2024-04,3,2.3,2.45
2024-05,3,2.45,2.55
2024-06,3,2.13,2.28
2024-07,3,2.02,2.15
2024-08,2.9,1.88,2.02
2024-09,2.9,1.75,1.9
2024-10,2.88,1.7,1.86
2024-11,2.88,1.54,1.71
2024-12,2.88,1.5,1.7
2025-01,2.88,1.6,1.83
2025-02,2.75,1.64,1.86
2025-03,2.75,1.7,2.03
2025-04,2.75,1.5,1.85
2025-05,2.75,1.4,1.79
2025-06,2.75,1.53,1.9
2025-07,2.75,1.55,1.9
2025-08,2.75,1.51,1.87
2025-09,2.75,1.5,1.82
2025-10,2.75,1.49,1.8
2025-11,2.75,1.53,1.86
2025-12,2.75,1.67,2.03
2026-01,2.75,1.59,1.95
2026-02,2.75,1.48,1.82
2026-03,2.75,1.7,1.95
2026-04,2.75,1.7,1.97
2026-05,2.75,1.74,2.03
2026-06,2.75,1.61,1.89
2026-07,2.75,1.78,2.05
