date,zirepo:H6,zirepo:H7,zirepo:H2,zirepo:H4,zirepo:H5
2026-01-05,-0.046,-0.044,-0.034,-0.03,-0.025
2026-01-06,-0.047,-0.044,-0.037,-0.04,-0.04
2026-01-07,-0.049,-0.045,-0.054,-0.034,-0.04
2026-01-08,-0.05,-0.045,-0.049,-0.053,-0.04
2026-01-09,-0.053,-0.046,-0.054,-0.024,-0.04
2026-01-12,-0.054,-0.047,-0.052,-0.016,-0.04
2026-01-13,-0.054,-0.047,-0.059,-0.034,-0.033
2026-01-14,-0.056,-0.047,-0.051,-0.031,-0.04
2026-01-15,-0.056,-0.047,-0.013,-0.045,-0.04
2026-01-16,-0.057,-0.047,-0.032,-0.043,-0.04
2026-01-19,-0.057,-0.047,-0.028,-0.04,-0.04
2026-01-20,-0.056,-0.048,-0.048,-0.037,-0.04
2026-01-21,-0.058,-0.047,-0.043,-0.017,-0.04
2026-01-22,-0.058,-0.047,-0.035,-0.043,-0.04
2026-01-23,-0.057,-0.047,-0.001,-0.028,-0.04
2026-01-26,-0.057,-0.047,-0.039,-0.046,-0.04
2026-01-27,-0.056,-0.047,-0.039,-0.047,-0.04
2026-01-28,-0.059,-0.047,-0.042,-0.042,-0.04
2026-01-29,-0.06,-0.048,-0.04,-0.042,-0.04
2026-01-30,-0.059,-0.048,-0.021,-0.019,-0.04
2026-02-02,-0.058,-0.048,-0.034,-0.023,-0.04
2026-02-03,-0.058,-0.048,-0.027,-0.034,-0.04
2026-02-04,-0.057,-0.048,0.007,-0.043,-0.04
2026-02-05,-0.057,-0.048,-0.017,-0.05,-0.04
2026-02-06,-0.054,-0.048,-0.022,-0.031,-0.04
2026-02-09,-0.053,-0.048,-0.03,-0.032,-0.04
2026-02-10,-0.052,-0.048,-0.027,-0.046,-0.04
2026-02-11,-0.05,-0.048,-0.04,-0.047,-0.04
2026-02-12,-0.049,-0.048,-0.03,-0.045,-0.04
2026-02-13,-0.047,-0.048,-0.033,-0.021,-0.04
2026-02-16,-0.047,-0.048,-0.044,-0.041,-0.04
2026-02-17,-0.047,-0.048,-0.029,-0.035,-0.04
2026-02-18,-0.047,-0.048,-0.04,-0.051,-0.07
2026-02-19,-0.047,-0.048,-0.046,-0.047,-0.04
2026-02-20,-0.048,-0.049,-0.042,-0.047,-0.04
2026-02-23,-0.048,-0.049,-0.035,-0.041,-0.04
2026-02-24,-0.048,-0.049,-0.05,-0.046,-0.04
2026-02-25,-0.049,-0.05,-0.058,-0.048,-0.04
2026-02-26,-0.049,-0.05,-0.07,-0.061,-0.04
2026-02-27,-0.049,-0.051,-0.035,-0.055,-0.08
2026-03-02,-0.05,-0.051,-0.032,-0.049,-0.04
2026-03-03,-0.05,-0.051,-0.038,-0.019,-0.04
2026-03-04,-0.05,-0.051,-0.006,-0.043,-0.04
2026-03-05,-0.051,-0.051,-0.041,-0.045,-0.04
2026-03-06,-0.055,-0.052,-0.037,-0.043,-0.04
2026-03-09,-0.056,-0.053,-0.049,-0.047,-0.04
2026-03-10,-0.056,-0.053,-0.042,-0.049,-0.04
2026-03-11,-0.057,-0.053,-0.05,-0.057,-0.04
2026-03-12,-0.057,-0.053,-0.027,-0.036,-0.04
2026-03-13,-0.057,-0.053,0.007,-0.034,-0.04
2026-03-16,-0.057,-0.053,-0.041,-0.035,-0.04
