date,TB|GA,TB|T,TB|GN,TB|NM,TB|EP,TB|EGP,TB|ZNP,TB|AI
2005-01,7342.96,9343.054,4880.824,4462.232,127.23825269,66.46943467,3.7187,
2005-02,7430.991,9259.775,4765.828,4493.945,124.61023032,64.13448758,3.7157,
2005-03,7503.864,9377.522,4771.112,4606.405,124.96924251,63.58206918,3.7414,
2005-04,7627.364,9548.071,4948.577,4599.493,125.18179282,64.8792558,3.739,
2005-05,7666.401,9157.668,4589.147,4568.52,119.45198275,59.86051343,3.7296,
2005-06,7691.634,9206.013,4530.162,4675.85,119.68865133,58.89726422,3.7298,
2005-07,7647.678,9121.565,4489.956,4631.605,119.27234646,58.71005552,3.736,
2005-08,7652.121,9083.914,4455.042,4628.869,118.71106063,58.21970144,3.7318,
2005-09,7657,9385.122,4866.821,4518.3,122.56917853,63.56041531,3.7428,
2005-10,7763.129,9200.538,4683.189,4517.347,118.51584587,60.32604894,3.7545,
2005-11,7829.819,10123.416,5483.765,4639.65,129.29310371,70.03693189,3.9014,
2005-12,7960.337,9995.098,4959.244,5035.854,125.56124194,62.29942275,3.8987,
2006-01,8032.018,9450.71,4612.029,4838.682,117.66295842,57.4205511,3.9051,
2006-02,8054.708,10041.74,5157.316,4884.423,124.66919968,64.02859048,4.0316,
2006-03,8154.959,9795.301,4858.591,4936.709,120.11465662,59.57836207,4.1576,
2006-04,8225.313,10023.402,5299.516,4723.887,121.86043255,64.42935363,4.2669,
2006-05,8284.974,10472.699,5627.261,4845.437,126.40593682,67.92128738,4.3388,
2006-06,8241.249,9822.178,5085.144,4737.035,119.18312382,61.70355974,4.4188,
2006-07,8179.811,9565.236,4747.326,4817.911,116.93712728,58.03711113,4.427,
2006-08,8142.109,9478.499,4834.148,4644.352,116.41331503,59.37218477,4.5746,
2006-09,8119.179,9765.301,4955.593,4809.707,120.27448834,61.03564166,4.7293,
2006-10,8183.569,9463.825,4820.658,4643.166,115.64422564,58.90654799,4.7427,
2006-11,8313.524,9857.225,5083.298,4773.928,118.56855168,61.14492482,4.8934,
2006-12,8404.401,10550.094,5190.791,5359.303,125.53058808,61.76277167,5.0602,
2007-01,8489.668,9958.237,5226.225,4732.012,117.29830896,61.55982778,5.0761,
2007-02,8541.78,10330.286,5478.852,4851.433,120.93832901,64.14180651,5.1532,
2007-03,8638.944,10321.36,5294.589,5026.772,119.47478766,61.28745597,5.2157,
2007-04,8728.98,10109.978,5199.855,4910.124,115.82084046,59.57001849,6.0917,
2007-05,8726.019,10080.899,5226.996,4853.904,115.5268972,59.90126769,6.0501,
2007-06,8676.243,10191.257,5231.721,4959.535,117.46163633,60.29938304,6.3745,
2007-07,8650.82,10130.624,5349.05,4781.573,117.10593909,61.83286671,6.3096,
2007-08,8654.167,10068.861,5283.278,4785.582,116.34696904,61.04894902,6.1022,
2007-09,8665.331,10098.342,5091.626,5006.715,116.53729096,58.75858637,5.9708,
2007-10,8760.893,10150.367,5257.574,4892.795,115.85995857,60.01185039,6.0023,
2007-11,8865.038,10502.351,5297.413,5204.938,118.46932861,59.75623568,5.9835,
2007-12,9008.528,11082.156,5075.976,6006.181,123.0184998,56.34634204,5.9043,
2008-01,9028.858,10459.56,5011.449,5448.111,115.84587996,55.50479363,6.2715,
2008-02,9067.592,10789.86,5245.354,5544.507,118.99366447,57.84726529,6.1857,
2008-03,9091.089,11548.169,5510.991,6037.178,127.02734513,60.61970134,5.8909,
2008-04,9227.784,10702.077,4940.757,5761.32,115.97667436,53.54218304,5.7436,
2008-05,9373.18,10876.722,5331.811,5544.911,116.04089541,56.88369369,5.8327,
2008-06,9406.694,10822.404,5137.052,5685.352,115.05002714,54.61059964,5.8061,
2008-07,9294.856,10858.387,5183.417,5674.97,116.82146555,55.76651214,5.8743,
2008-08,9096.746,10655.931,5089.32,5566.611,117.14003007,55.94659893,5.8285,
2008-09,8984.035,14043.239,7609.908,6433.331,156.31327126,84.70479022,5.2374,
2008-10,9039.103,14435.404,7834.94,6600.464,159.69951886,86.67829098,4.432,
2008-11,9162.32,31164.083,24605.431,6558.651,340.13309948,268.55022527,4.0464,
2008-12,9238.87,45750.421,38319.082,7431.339,495.19498597,414.75940239,4.0225,
2009-01,9096.097,52505.991,46103.103,6402.887,577.23648945,506.84489183,4.0306,
