DATE,XUDLSFD
04 Jan 2005,1.1667
05 Jan 2005,1.1677
06 Jan 2005,1.1758
07 Jan 2005,1.1871
10 Jan 2005,1.1809
11 Jan 2005,1.1768
12 Jan 2005,1.1633
13 Jan 2005,1.1725
14 Jan 2005,1.1828
17 Jan 2005,1.1812
18 Jan 2005,1.1862
19 Jan 2005,1.1826
20 Jan 2005,1.1923
21 Jan 2005,1.1912
24 Jan 2005,1.1846
25 Jan 2005,1.1954
26 Jan 2005,1.1839
27 Jan 2005,1.1859
28 Jan 2005,1.1902
31 Jan 2005,1.1886
01 Feb 2005,1.1952
02 Feb 2005,1.1918
03 Feb 2005,1.2037
04 Feb 2005,1.2042
07 Feb 2005,1.2163
08 Feb 2005,1.2216
09 Feb 2005,1.2174
10 Feb 2005,1.2074
11 Feb 2005,1.208
14 Feb 2005,1.1991
15 Feb 2005,1.1956
16 Feb 2005,1.1922
17 Feb 2005,1.1845
18 Feb 2005,1.183
21 Feb 2005,1.1821
22 Feb 2005,1.1635
23 Feb 2005,1.1661
24 Feb 2005,1.1678
25 Feb 2005,1.1696
28 Feb 2005,1.1579
01 Mar 2005,1.1658
02 Mar 2005,1.1758
03 Mar 2005,1.1783
04 Mar 2005,1.1677
07 Mar 2005,1.177
08 Mar 2005,1.16
09 Mar 2005,1.1627
10 Mar 2005,1.1547
11 Mar 2005,1.1509
14 Mar 2005,1.1605
15 Mar 2005,1.1659
16 Mar 2005,1.1515
17 Mar 2005,1.1559
18 Mar 2005,1.1674
21 Mar 2005,1.1771
22 Mar 2005,1.1763
23 Mar 2005,1.1948
24 Mar 2005,1.199
29 Mar 2005,1.204
30 Mar 2005,1.1951
31 Mar 2005,1.1917
01 Apr 2005,1.2018
04 Apr 2005,1.2119
05 Apr 2005,1.2088
06 Apr 2005,1.2074
07 Apr 2005,1.2018
08 Apr 2005,1.2053
11 Apr 2005,1.1953
12 Apr 2005,1.2033
13 Apr 2005,1.2025
14 Apr 2005,1.215
15 Apr 2005,1.2006
18 Apr 2005,1.1878
19 Apr 2005,1.1844
20 Apr 2005,1.1801
21 Apr 2005,1.1767
22 Apr 2005,1.1807
25 Apr 2005,1.189
26 Apr 2005,1.1898
27 Apr 2005,1.1889
28 Apr 2005,1.1915
29 Apr 2005,1.1903
03 May 2005,1.197
04 May 2005,1.1897
05 May 2005,1.1963
06 May 2005,1.2047
09 May 2005,1.2063
10 May 2005,1.2005
11 May 2005,1.2052
12 May 2005,1.2151
13 May 2005,1.2212
16 May 2005,1.2235
17 May 2005,1.2211
18 May 2005,1.2212
19 May 2005,1.2241
20 May 2005,1.2348
23 May 2005,1.2304
24 May 2005,1.2293
25 May 2005,1.2271
26 May 2005,1.2354
27 May 2005,1.2341
31 May 2005,1.2451
01 Jun 2005,1.251
02 Jun 2005,1.2495
03 Jun 2005,1.2505
06 Jun 2005,1.2473
07 Jun 2005,1.2477
08 Jun 2005,1.2445
09 Jun 2005,1.2574
10 Jun 2005,1.2675
13 Jun 2005,1.2775
14 Jun 2005,1.2774
15 Jun 2005,1.2712
16 Jun 2005,1.2755
17 Jun 2005,1.263
20 Jun 2005,1.2727
21 Jun 2005,1.2702
22 Jun 2005,1.2709
23 Jun 2005,1.2779
24 Jun 2005,1.2747
27 Jun 2005,1.2685
28 Jun 2005,1.2789
29 Jun 2005,1.2808
30 Jun 2005,1.281
01 Jul 2005,1.2957
04 Jul 2005,1.3022
05 Jul 2005,1.304
06 Jul 2005,1.3025
07 Jul 2005,1.2955
08 Jul 2005,1.3022
11 Jul 2005,1.2882
12 Jul 2005,1.2752
13 Jul 2005,1.2891
14 Jul 2005,1.2886
15 Jul 2005,1.2953
18 Jul 2005,1.2939
19 Jul 2005,1.3047
20 Jul 2005,1.3009
21 Jul 2005,1.2885
22 Jul 2005,1.2908
25 Jul 2005,1.2959
26 Jul 2005,1.2986
27 Jul 2005,1.2982
28 Jul 2005,1.2916
29 Jul 2005,1.2847
01 Aug 2005,1.2765
02 Aug 2005,1.2753
03 Aug 2005,1.2645
04 Aug 2005,1.26
05 Aug 2005,1.2657
08 Aug 2005,1.2606
09 Aug 2005,1.2614
10 Aug 2005,1.2567
11 Aug 2005,1.2489
12 Aug 2005,1.2478
15 Aug 2005,1.2542
16 Aug 2005,1.2587
17 Aug 2005,1.2584
18 Aug 2005,1.2722
19 Aug 2005,1.276
22 Aug 2005,1.2694
23 Aug 2005,1.2734
24 Aug 2005,1.2671
25 Aug 2005,1.2587
26 Aug 2005,1.2531
30 Aug 2005,1.2724
31 Aug 2005,1.2585
01 Sep 2005,1.2387
02 Sep 2005,1.2286
05 Sep 2005,1.2337
06 Sep 2005,1.2361
07 Sep 2005,1.2396
08 Sep 2005,1.2429
09 Sep 2005,1.2424
12 Sep 2005,1.2569
13 Sep 2005,1.2608
14 Sep 2005,1.2556
15 Sep 2005,1.2674
16 Sep 2005,1.2707
19 Sep 2005,1.2776
20 Sep 2005,1.2769
21 Sep 2005,1.2698
22 Sep 2005,1.2791
23 Sep 2005,1.2894
26 Sep 2005,1.294
27 Sep 2005,1.2974
28 Sep 2005,1.2963
29 Sep 2005,1.2967
30 Sep 2005,1.2891
03 Oct 2005,1.3035
04 Oct 2005,1.3007
05 Oct 2005,1.2962
06 Oct 2005,1.2755
07 Oct 2005,1.2796
10 Oct 2005,1.2866
11 Oct 2005,1.2902
12 Oct 2005,1.2864
13 Oct 2005,1.299
14 Oct 2005,1.2851
17 Oct 2005,1.2918
18 Oct 2005,1.3036
19 Oct 2005,1.2958
20 Oct 2005,1.2929
21 Oct 2005,1.2858
24 Oct 2005,1.2875
25 Oct 2005,1.2768
26 Oct 2005,1.2816
27 Oct 2005,1.2743
28 Oct 2005,1.2772
31 Oct 2005,1.291
01 Nov 2005,1.2907
02 Nov 2005,1.2786
03 Nov 2005,1.2851
04 Nov 2005,1.3066
07 Nov 2005,1.3081
08 Nov 2005,1.3109
09 Nov 2005,1.3137
10 Nov 2005,1.3095
11 Nov 2005,1.3141
14 Nov 2005,1.3164
15 Nov 2005,1.3224
16 Nov 2005,1.3255
17 Nov 2005,1.3197
18 Nov 2005,1.3214
21 Nov 2005,1.3182
22 Nov 2005,1.3213
23 Nov 2005,1.315
24 Nov 2005,1.3153
25 Nov 2005,1.319
28 Nov 2005,1.3116
29 Nov 2005,1.3163
30 Nov 2005,1.315
01 Dec 2005,1.3212
02 Dec 2005,1.3204
05 Dec 2005,1.3124
06 Dec 2005,1.3069
07 Dec 2005,1.3131
08 Dec 2005,1.301
09 Dec 2005,1.3015
12 Dec 2005,1.2903
13 Dec 2005,1.2945
14 Dec 2005,1.281
15 Dec 2005,1.2904
16 Dec 2005,1.2904
19 Dec 2005,1.2937
20 Dec 2005,1.3067
21 Dec 2005,1.3155
22 Dec 2005,1.3122
23 Dec 2005,1.3126
28 Dec 2005,1.3088
29 Dec 2005,1.3156
30 Dec 2005,1.3178
03 Jan 2006,1.2948
04 Jan 2006,1.2813
05 Jan 2006,1.2784
06 Jan 2006,1.2697
09 Jan 2006,1.2777
10 Jan 2006,1.2799
11 Jan 2006,1.2789
12 Jan 2006,1.2856
13 Jan 2006,1.2831
16 Jan 2006,1.2803
17 Jan 2006,1.2846
18 Jan 2006,1.2802
19 Jan 2006,1.2816
20 Jan 2006,1.2837
23 Jan 2006,1.2599
24 Jan 2006,1.2608
25 Jan 2006,1.2618
26 Jan 2006,1.2662
27 Jan 2006,1.2783
30 Jan 2006,1.2869
31 Jan 2006,1.2812
01 Feb 2006,1.2841
02 Feb 2006,1.2861
03 Feb 2006,1.2955
06 Feb 2006,1.2991
07 Feb 2006,1.3016
08 Feb 2006,1.3008
09 Feb 2006,1.3024
10 Feb 2006,1.3056
13 Feb 2006,1.307
14 Feb 2006,1.3128
15 Feb 2006,1.3091
16 Feb 2006,1.3116
17 Feb 2006,1.3119
20 Feb 2006,1.3063
21 Feb 2006,1.3097
22 Feb 2006,1.3147
23 Feb 2006,1.3087
24 Feb 2006,1.3175
27 Feb 2006,1.3204
28 Feb 2006,1.3117
01 Mar 2006,1.3111
02 Mar 2006,1.3069
03 Mar 2006,1.3017
06 Mar 2006,1.2995
07 Mar 2006,1.3129
08 Mar 2006,1.3092
09 Mar 2006,1.3128
10 Mar 2006,1.3205
13 Mar 2006,1.3159
14 Mar 2006,1.3027
15 Mar 2006,1.3019
16 Mar 2006,1.2929
17 Mar 2006,1.2926
20 Mar 2006,1.2905
21 Mar 2006,1.3021
22 Mar 2006,1.3028
23 Mar 2006,1.3166
24 Mar 2006,1.3121
27 Mar 2006,1.3083
28 Mar 2006,1.2999
29 Mar 2006,1.3118
30 Mar 2006,1.2975
31 Mar 2006,1.3066
03 Apr 2006,1.306
04 Apr 2006,1.2893
05 Apr 2006,1.2862
06 Apr 2006,1.2895
07 Apr 2006,1.302
10 Apr 2006,1.3024
11 Apr 2006,1.2996
12 Apr 2006,1.2998
13 Apr 2006,1.3003
18 Apr 2006,1.2746
19 Apr 2006,1.2713
20 Apr 2006,1.2796
21 Apr 2006,1.2761
24 Apr 2006,1.2713
25 Apr 2006,1.2693
26 Apr 2006,1.2698
