date,GFG,D,RIWF,IZ,W,IG,FI,WSF,UA,T0,N,GB,VB,GBI,US,UT,SP,RE,T1,FRGSF,VRGSF,VF,GD,FRGUSD,GSGSF,ES,DS,AIWFS
1996-12,11903.9,49328.4,2067.8,290,204.3,1581.7,514.5,4821.5,1813.8,72526.1,32447.6,4927.38326371,1654.8,32.7,204.1,0,2154.9,31104.6,72526.1,,,,,,,,,
1997-01,11903.9,47263.3,2068,315.3,204.3,282.6,364,4818.9,1101.8,68322.2,29656,3493.57405855,1585.6,38.1,230.1,0,2214.2,31104.6,68322.2,,,,,,,,,
1997-02,11903.9,46147.1,1999,414,204.3,1633.9,132.6,4811.7,1104.5,68351.1,29508.4,3456.77372996,1677.5,58.5,197.9,0,2347.4,31104.6,68351.1,,,,,,,,,
1997-03,11903.9,48885,2043.8,358.2,177,1762.8,175.9,4832.1,1122.6,71261.3,29986.4,3853.68187038,1542.8,51.1,208.1,0,4503.8,31115.5,71261.3,,,,,,,,,
1997-04,11903.9,48188.3,2043.9,292.8,177,645.3,352,4831,1472.7,69906.8,29273.2,3185.98895482,1919.1,70.9,182.3,0,4158.9,31116.5,69906.8,,,,,,,,,
1997-05,11903.9,49430.7,2044.1,336,177,1598.7,136.6,4858.6,1130.3,71615.9,29318.6,3772.92251368,2816.5,39.6,191,0,4360.8,31116.5,71615.9,,,,,,,,,
1997-06,11903.9,48304,2028.7,289.9,234.7,1897.6,341.4,4908,1202,71110.4,29437.8,4249.07236167,1864.3,54.6,222.1,0,4166.1,31116.5,71110.4,,,,,,,,,
1997-07,11903.9,47545.3,2028.9,385.5,276.4,1708.8,344.4,4913.6,1169.2,70276.1,29029,3895.57928986,1672.2,29.4,183.3,0,4350.2,31116.5,70276.1,,,,,,,,,
1997-08,11903.9,47643.5,2060.3,486.8,276.4,1148.5,216.4,4945.3,1138.2,69819.3,28907.8,3784.34586296,1248.3,35.4,185.8,0,4541.2,31116.5,69819.3,,,,,,,,,
1997-09,11903.9,48313.6,2104.2,339.3,316.9,1398.1,273.2,4878.4,1148.6,70676.2,28793.1,4227.64534443,1894.5,58.4,194,0,4392.1,31116.5,70676.2,,,,,,,,,
1997-10,11903.9,48107.5,2104.4,284.6,316.9,1273.6,364.1,4925.9,1147.8,70428.8,29142,3740.12922903,1585.1,46.5,188.7,0,4609.9,31116.5,70428.8,,,,,,,,,
