date,RF,G,N0,N1,GB
1990-01,46675,784,29940,26793,3147
1990-02,45579,830,28885,25846,3039
1990-03,45541,814,28830,25818,3012
1990-04,45463,815,28727,25792,2935
1990-05,46176,822,28538,25540,2998
1990-06,47003,766,28598,25555,3043
1990-07,47048,787,28670,25649,3021
1990-08,47678,813,28463,25344,3119
1990-09,48004,741,28314,25320,2994
1990-10,47537,710,28360,25466,2894
1990-11,47707,703,28611,25672,2939
1990-12,49786,724,30844,27768,3076
1991-01,45171,732,30097,26923,3174
1991-02,44955,668,29182,26186,2996
1991-03,45025,673,29377,26362,3015
1991-04,45276,617,29209,26211,2998
1991-05,45463,671,29223,26226,2997
1991-06,45433,629,29050,26161,2889
1991-07,45568,591,29050,26343,2707
1991-08,45536,559,28857,26169,2688
1991-09,45850,533,28744,26126,2618
1991-10,46081,524,28821,26180,2641
1991-11,46500,519,28868,26315,2553
1991-12,48454,552,30805,28096,2709
1992-01,49404,518,29606,27077,2529
1992-02,48858,503,28824,26329,2495
1992-03,49329,470,29057,26466,2591
1992-04,49595,468,29026,26521,2505
1992-05,49407,489,28876,26306,2570
1992-06,49659,464,29051,26412,2639
1992-07,49497,492,28879,26377,2502
1992-08,49567,496,28370,26016,2354
1992-09,49803,797,28613,26006,2607
1992-10,49496,789,28404,25936,2468
1992-11,50988,1330,28696,26047,2649
1992-12,54500,1461,30835,28108,2727
1993-01,54263,1314,29907,27418,2489
1993-02,57035,2135,29336,26689,2647
1993-03,56671,1332,29445,26801,2644
1993-04,55803,487,29498,26873,2625
1993-05,57044,974,29156,26599,2557
1993-06,57254,1583,29289,26616,2673
1993-07,56569,1074,29272,26709,2563
1993-08,56979,1619,29110,26401,2709
1993-09,57114,973,29165,26432,2733
1993-10,55768,784,29233,26566,2667
1993-11,56845,967,29537,26766,2771
1993-12,58016,876,31353,28587,2766
1994-01,56929,1079,30394,27731,2663
1994-02,57283,1789,29943,27141,2802
1994-03,57005,1848,30163,27353,2810
1994-04,56047,1933,29942,27213,2729
1994-05,57820,2314,30031,27280,2751
1994-06,58958,1148,30055,27268,2787
1994-07,58225,1293,29933,27314,2619
1994-08,59773,1201,29624,27065,2559
1994-09,58665,1417,29634,27014,2620
1994-10,56858,1330,29480,26970,2510
1994-11,57834,1387,29684,27068,2616
1994-12,59202,1036,31723,29015,2708
1995-01,53935,2096,30817,28319,2498
1995-02,53171,1776,29984,27549,2435
1995-03,53024,2452,30118,27512,2606
1995-04,52700,2816,30031,27471,2560
1995-05,53190,2121,29818,27293,2525
1995-06,53951,2222,29969,27353,2616
1995-07,54234,1547,29762,27364,2398
