# ILM.W.U2.C.L050100.U2.EUR UNIT=EUR UNIT_MULT=6 n=37
TIME_PERIOD,OBS_VALUE
2025-W45,101532
2026-W01,91077
2026-W02,86644
2026-W03,96496
2026-W04,111509
2026-W05,122301
2026-W06,113022
2026-W07,104186
2026-W08,108614
2026-W09,112787
2026-W10,106667
2026-W11,100442
2026-W12,100542
2026-W13,107366
2026-W14,99246
2026-W15,97336
2026-W16,105578
2026-W17,96953
2026-W18,110722
2026-W19,108015
2026-W20,97257
2026-W21,93656
2026-W22,102611
2026-W23,91119
2026-W24,94614
2026-W25,88562
2026-W26,93787
2026-W27,90266
2026-W28,90080
2026-W29,103055
2026-W30,95687
2026-W31,98537
2026-W32,91230
2026-W33,92729
2026-W34,86605
2026-W35,91497
2026-W36,89275
