# TGB.M.DE.N.A094T.U2.EUR.E UNIT=EUR UNIT_MULT=6 n=139
TIME_PERIOD,OBS_VALUE
2015-01,515266.07
2015-02,513365.58
2015-03,531700.66
2015-04,532192.59
2015-05,526190.8
2015-06,531074.03
2015-07,542584.75
2015-08,561283.87
2015-09,555174.55
2015-10,562818.3
2015-11,592517.64
2015-12,584210.03
2016-01,586999.79
2016-02,605006.29
2016-03,609189.86
2016-04,625773.74
2016-05,655544.35
2016-06,681070.57
2016-07,660319.96
2016-08,677478.97
2016-09,715737.92
2016-10,708028.77
2016-11,754057.23
2016-12,754262.91
2017-01,795621.29
2017-02,814375.28
2017-03,829751.01
2017-04,843439.16
2017-05,857272.35
2017-06,860763.85
2017-07,856510.39
2017-08,852511.36
2017-09,878887.95
2017-10,848443.48
2017-11,855548.28
2017-12,906941.42
2018-01,882051.84
2018-02,913989.05
2018-03,923466.08
2018-04,902364.26
2018-05,956150.39
2018-06,976266.42
2018-07,913270.21
2018-08,912448.14
2018-09,956487.58
2018-10,927555.16
2018-11,941129.69
2018-12,966190.14
2019-01,868142.12
2019-02,872697.82
2019-03,941310.6
2019-04,919696.13
2019-05,934640.6
2019-06,942319.07
2019-07,870903.37
2019-08,897900.93
2019-09,915341.9
2019-10,837376.73
2019-11,870519.92
2019-12,895218.65
2020-01,811434.9
2020-02,821562.58
2020-03,935126.03
2020-04,918813.83
2020-05,916144.66
2020-06,995082.75
2020-07,1019214.08
2020-08,1056231.35
2020-09,1115189.25
2020-10,1047327.28
2020-11,1060263.48
2020-12,1136001.7
2021-01,1054993.8
2021-02,1043746.05
2021-03,1081989.47
2021-04,1024734.32
2021-05,1076918.53
2021-06,1101896.87
2021-07,1024970.29
2021-08,1037258.77
2021-09,1115126.08
2021-10,1066604.27
2021-11,1127545.13
2021-12,1260672.98
2022-01,1149867.81
2022-02,1149754.28
2022-03,1169952.3
2022-04,1135418.46
2022-05,1159715.72
2022-06,1216530.28
2022-07,1166154.83
2022-08,1245013.84
2022-09,1266646.73
2022-10,1230005.44
2022-11,1233980.45
2022-12,1269075.98
2023-01,1162354.32
2023-02,1114888.57
2023-03,1170619.97
2023-04,1069841.78
2023-05,1081900.21
2023-06,1068747.14
2023-07,1052218.46
2023-08,1056420.21
2023-09,1048058.71
2023-10,1058984.8
2023-11,1060074.12
2023-12,1093370.93
2024-01,1041902.5
2024-02,1075510.35
2024-03,1065759.03
2024-04,1047932.13
2024-05,1061110.5
2024-06,1090443.81
2024-07,1048437.6
2024-08,1075239.4
2024-09,1073511.59
2024-10,1064456.06
2024-11,1066511.37
2024-12,1046318.05
2025-01,1068023.46
2025-02,1080832.64
2025-03,1069171.97
2025-04,1075271.97
2025-05,1066843.03
2025-06,1051249.75
2025-07,1043875.52
2025-08,1060791.16
2025-09,1049600.16
2025-10,1046545.99
2025-11,1040700.31
2025-12,1023481.61
2026-01,1033412.13
2026-02,1017130.43
2026-03,1030779.71
2026-04,1059476.87
2026-05,1065689.64
2026-06,1043208.02
2026-07,1037116.1
