isin;line;outstanding_eur
FR001400FYQ4;OAT 2.50% 24 September 2026;24,030,000,000.00
FR0013200813;OAT 0.25% 25 November 2026;36,708,000,000.00
FR0014003513;OAT 0.00% 25 February 2027;38,448,000,000.00
FR0013250560;OAT 1.00% 25 May 2027;40,908,000,000.00
FR001400NBC6;OAT 2.50 % 24 September 2027;40,397,000,000.00
FR0011317783;OAT 2.75% 25 October 2027;61,013,000,000.00
FR001400AIN5;OAT 0.75% 25 February 2028;51,178,000,000.00
FR0000571226;OAT zero coupon 28 March 2028;46,232,603.00
FR0013286192;OAT 0.75% 25 May 2028;67,202,000,000.00
FR001400XLW2;OAT 2.40% 24 September 2028;48,096,000,000.00
FR0013341682;OAT 0.75% 25 November 2028;62,095,000,000.00
FR001400HI98;OAT 2.75% 25 FEBRUARY 2029;63,538,000,000.00
FR0000571218;OAT 5.50% 25 April 2029;44,514,880,462.00
FR0013407236;OAT 0.50% 25 May 2029;58,805,000,000.00
FR0014016G71;OAT 2.40% 24 September 2029;30,313,000,000.00
FR0013451507;OAT 0.00% 25 NOVEMBER 2029;49,931,000,000.00
FR001400PM68;OAT 2.75% 25 FEBRUARY 2030;60,789,000,000.00
FR0011883966;OAT 2.50% 25 May 2030;73,381,000,000.00
FR0013516549;OAT 0.00% 25 November 2030;58,857,000,000.00
FR001400Z2L7;OAT 2.70% 25 February 2031;60,070,000,000.00
FR0012993103;OAT 1.50% 25 May 2031;71,282,000,000.00
FR0014002WK3;OAT 0.00% 25 November 2031;59,865,000,000.00
FR0014018OI0;OAT 3.25% 25 February 2032;24,260,000,000.00
FR0014007L00;OAT 0.00% 25 May 2032;50,484,000,000.00
FR0000187635;OAT 5.75% 25 October 2032;35,192,322,600.00
FR001400BKZ3;OAT 2.00% 25 November 2032;61,439,000,000.00
FR001400H7V7;OAT 3.00% 25 May 2033;50,596,000,000.00
FR001400L834;OAT 3.50 % 25 november 2033;63,249,000,000.00
FR0013313582;OAT 1.25% 25 May 2034;65,035,000,000.00
FR001400QMF9;OAT 3.00 % 25 November 2034;52,348,000,000.00
FR0010070060;OAT 4.75% 25 April 2035;37,723,000,000.00
FR001400X8V5;OAT 3.20% 25 May 2035;54,712,000,000.00
FR0014012II5;OAT 3.50% 25 November 2035;59,064,000,000.00
FR0013154044;OAT 1.25% 25 May 2036;71,354,000,000.00
FR0014018YR0;OAT 3.70% 25 November 2036;33,304,000,000.00
FR0014017Z10;Green OAT 3.80% 25 June 2037;12,119,000,000.00
FR0014009O62;OAT 1.25% 25 May 2038;33,712,000,000.00
FR0010371401;OAT 4.00% 25 October 2038;29,884,000,000.00
FR0013234333;GREEN OAT 1.75% 25 June 2039;36,304,000,000.00
FR0013515806;OAT 0.50% 25 May 2040;40,551,000,000.00
FR0010773192;OAT 4.50% 25 April 2041;43,447,000,000.00
FR001400WYO4;OAT 3.60% 25 May 2042;26,187,000,000.00
FR001400CMX2;OAT 2.50% 25 May 2043;27,954,000,000.00
FR0014002JM6;Green OAT 0.50% 25 June 2044;29,953,000,000.00
FR0011461037;OAT 3.25% 25 May 2045;31,657,000,000.00
FR0014015MU5;OAT 4.10% 25 May 2046;18,682,000,000.00
FR0013257524;OAT 2.00% 25 May 2048;31,992,000,000.00
FR001400NEF3;Green OAT 3.00% 25 June 2049;17,612,000,000.00
FR0013404969;OAT 1.50% 25 May 2050;34,348,000,000.00
FR0013480613;OAT 0.75% 25 May 2052;33,622,000,000.00
FR0014004J31;OAT 0.75% 25 May 2053;33,416,000,000.00
FR001400FTH3;OAT 3.00 % 25 May 2054;25,978,000,000.00
FR0010171975;OAT 4.00% 25 April 2055;23,988,000,000.00
FR001400OHF4;OAT 3.25% 25 May 2055;25,005,000,000.00
FR001400XJJ3;OAT 3.75% 25 May 2056;20,676,000,000.00
FR0014016CV2;OAT 4.40 % 25 May 2057;11,001,000,000.00
FR0010870956;OAT 4.00% 25 April 2060;22,843,000,000.00
FR0013154028;OAT 1.75% 25 May 2066;18,394,000,000.00
FR0014001NN8;OAT 0.50% 25 May 2072;14,472,000,000.00
