# FM.B.U2.EUR.4F.KR.DFR.LEV UNIT= provided by ECB" UNIT_MULT= n=68
TIME_PERIOD,OBS_VALUE
1999-01-01,2
1999-01-04,2.75
1999-01-22,2
1999-04-09,1.5
1999-11-05,2
2000-02-04,2.25
2000-03-17,2.5
2000-04-28,2.75
2000-06-09,3.25
2000-06-28,3.25
2000-09-01,3.5
2000-10-06,3.75
2001-05-11,3.5
2001-08-31,3.25
2001-09-18,2.75
2001-11-09,2.25
2002-12-06,1.75
2003-03-07,1.5
2003-06-06,1
2005-12-06,1.25
2006-03-08,1.5
2006-06-15,1.75
2006-08-09,2
2006-10-11,2.25
2006-12-13,2.5
2007-03-14,2.75
2007-06-13,3
2008-07-09,3.25
2008-10-08,2.75
2008-10-09,3.25
2008-10-15,3.25
2008-11-12,2.75
2008-12-10,2
2009-01-21,1
2009-03-11,0.5
2009-04-08,0.25
2009-05-13,0.25
2011-04-13,0.5
2011-07-13,0.75
2011-11-09,0.5
2011-12-14,0.25
2012-07-11,0
2013-05-08,0
2013-11-13,0
2014-06-11,-0.1
2014-09-10,-0.2
2015-12-09,-0.3
2016-03-16,-0.4
2019-09-18,-0.5
2022-07-27,0
2022-09-14,0.75
2022-11-02,1.5
2022-12-21,2
2023-02-08,2.5
2023-03-22,3
2023-05-10,3.25
2023-06-21,3.5
2023-08-02,3.75
2023-09-20,4
2024-06-12,3.75
2024-09-18,3.5
2024-10-23,3.25
2024-12-18,3
2025-02-05,2.75
2025-03-12,2.5
2025-04-23,2.25
2025-06-11,2
2026-06-17,2.25
