# FM.B.U2.EUR.4F.KR.MRR_FR.LEV UNIT= provided by ECB" UNIT_MULT= n=47
TIME_PERIOD,OBS_VALUE
1999-01-01,3
1999-01-04,3
1999-01-22,3
1999-04-09,2.5
1999-11-05,3
2000-02-04,3.25
2000-03-17,3.5
2000-04-28,3.75
2000-06-09,4.25
2008-10-15,3.75
2008-11-12,3.25
2008-12-10,2.5
2009-01-21,2
2009-03-11,1.5
2009-04-08,1.25
2009-05-13,1
2011-04-13,1.25
2011-07-13,1.5
2011-11-09,1.25
2011-12-14,1
2012-07-11,0.75
2013-05-08,0.5
2013-11-13,0.25
2014-06-11,0.15
2014-09-10,0.05
2015-12-09,0.05
2016-03-16,0
2019-09-18,0
2022-07-27,0.5
2022-09-14,1.25
2022-11-02,2
2022-12-21,2.5
2023-02-08,3
2023-03-22,3.5
2023-05-10,3.75
2023-06-21,4
2023-08-02,4.25
2023-09-20,4.5
2024-06-12,4.25
2024-09-18,3.65
2024-10-23,3.4
2024-12-18,3.15
2025-02-05,2.9
2025-03-12,2.65
2025-04-23,2.4
2025-06-11,2.15
2026-06-17,2.4
