# GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T UNIT=undefined UNIT_MULT=0 n=45
TIME_PERIOD,OBS_VALUE
2015-Q1,-2.4202
2015-Q2,-2.3347
2015-Q3,-2.0872
2015-Q4,-2.0085
2016-Q1,-1.8483
2016-Q2,-1.671
2016-Q3,-1.6823
2016-Q4,-1.4726
2017-Q1,-1.3287
2017-Q2,-1.3257
2017-Q3,-1.149
2017-Q4,-1.0027
2018-Q1,-0.8032
2018-Q2,-0.4606
2018-Q3,-0.3439
2018-Q4,-0.4477
2019-Q1,-0.4952
2019-Q2,-0.5901
2019-Q3,-0.7009
2019-Q4,-0.5386
2020-Q1,-1.144
2020-Q2,-3.8434
2020-Q3,-5.1991
2020-Q4,-6.9984
2021-Q1,-8.0085
2021-Q2,-6.696
2021-Q3,-6.0292
2021-Q4,-5.0988
2022-Q1,-4.0401
2022-Q2,-3.0178
2022-Q3,-3.01
2022-Q4,-3.3855
2023-Q1,-3.5375
2023-Q2,-3.7754
2023-Q3,-3.6768
2023-Q4,-3.4998
2024-Q1,-3.4557
2024-Q2,-3.4053
2024-Q3,-3.2193
2024-Q4,-3.0289
2025-Q1,-2.9823
2025-Q2,-2.9188
2025-Q3,-3.0002
2025-Q4,-2.9606
2026-Q1,-3.0627
