# ILM.D.U2.C.A050500.U2.EUR UNIT= Eurosystem reporting sector - Marginal lending facility UNIT_MULT= n=5653
TIME_PERIOD,OBS_VALUE
2005-01-03,236
2005-01-04,3
2005-01-05,70
2005-01-06,120
2005-01-07,12
2005-01-10,256
2005-01-11,5
2005-01-12,4
2005-01-13,6
2005-01-14,27
2005-01-17,105
2005-01-18,3252
2005-01-19,4
2005-01-20,8
2005-01-21,27
2005-01-24,9
2005-01-25,6
2005-01-26,13
2005-01-27,88
2005-01-28,4
2005-01-31,0
2005-02-01,1184
2005-02-02,12
2005-02-03,28
2005-02-04,0
2005-02-07,798
2005-02-08,10
2005-02-09,13
2005-02-10,5
2005-02-11,0
2005-02-14,10
2005-02-15,1
2005-02-16,92
2005-02-17,0
2005-02-18,201
2005-02-21,20
2005-02-22,8
2005-02-23,2
2005-02-24,4
2005-02-25,1
2005-02-28,24
2005-03-01,63
2005-03-02,155
2005-03-03,0
2005-03-04,13
2005-03-07,31
2005-03-08,1415
2005-03-09,4
2005-03-10,5
2005-03-11,0
2005-03-14,79
2005-03-15,43
2005-03-16,1
2005-03-17,9
2005-03-18,31
2005-03-21,7
2005-03-22,18
2005-03-23,118
2005-03-24,79
2005-03-25,79
2005-03-28,79
2005-03-29,332
2005-03-30,61
2005-03-31,2387
2005-04-01,743
2005-04-04,342
2005-04-05,29
2005-04-06,29
2005-04-07,11
2005-04-08,11
2005-04-11,8
2005-04-12,1905
2005-04-13,2
2005-04-14,9
2005-04-15,1
2005-04-18,2
2005-04-19,0
2005-04-20,4
2005-04-21,76
2005-04-22,2
2005-04-25,3
2005-04-26,42
2005-04-27,16
2005-04-28,957
2005-04-29,3
2005-05-02,19
2005-05-03,0
2005-05-04,11
2005-05-05,57
2005-05-06,205
2005-05-09,89
2005-05-10,901
2005-05-11,3
2005-05-12,0
2005-05-13,9
2005-05-16,88
2005-05-17,15
2005-05-18,10
2005-05-19,0
2005-05-20,1
2005-05-23,15
2005-05-24,6
2005-05-25,172
2005-05-26,166
2005-05-27,196
2005-05-30,3
2005-05-31,74
2005-06-01,755
2005-06-02,4
2005-06-03,469
2005-06-06,112
2005-06-07,154
2005-06-08,59
2005-06-09,3
2005-06-10,14
2005-06-13,8
2005-06-14,6
2005-06-15,36
2005-06-16,2
2005-06-17,77
2005-06-20,3
2005-06-21,97
2005-06-22,14
2005-06-23,2
2005-06-24,7
2005-06-27,4
2005-06-28,54
2005-06-29,35
2005-06-30,1271
2005-07-01,184
2005-07-04,4
2005-07-05,1
2005-07-06,132
2005-07-07,7
2005-07-08,3
2005-07-11,100
2005-07-12,412
2005-07-13,41
2005-07-14,1
2005-07-15,3
2005-07-18,434
2005-07-19,2
2005-07-20,16
2005-07-21,1
2005-07-22,2
2005-07-25,5
2005-07-26,26
2005-07-27,13
2005-07-28,22
2005-07-29,7
2005-08-01,18
2005-08-02,7
2005-08-03,5
2005-08-04,3
2005-08-05,3
2005-08-08,65
2005-08-09,29
2005-08-10,5
2005-08-11,2
2005-08-12,5
2005-08-15,5
2005-08-16,0
2005-08-17,215
2005-08-18,13
2005-08-19,4
2005-08-22,8
2005-08-23,0
2005-08-24,3
2005-08-25,0
2005-08-26,0
2005-08-29,8
2005-08-30,0
2005-08-31,14
2005-09-01,160
2005-09-02,2
2005-09-05,11
2005-09-06,449
2005-09-07,0
2005-09-08,2
2005-09-09,3
2005-09-12,1
2005-09-13,0
2005-09-14,3
2005-09-15,2
2005-09-16,1
2005-09-19,134
2005-09-20,0
2005-09-21,1
2005-09-22,25
2005-09-23,6
2005-09-26,317
2005-09-27,2
2005-09-28,15
2005-09-29,17
2005-09-30,512
2005-10-03,19
2005-10-04,145
2005-10-05,65
2005-10-06,2
2005-10-07,12
2005-10-10,270
2005-10-11,119
2005-10-12,71
2005-10-13,2
2005-10-14,2
2005-10-17,1
2005-10-18,0
2005-10-19,2
2005-10-20,356
2005-10-21,5
2005-10-24,2
2005-10-25,11
2005-10-26,3
2005-10-27,0
2005-10-28,7
2005-10-31,180
2005-11-01,771
2005-11-02,14
2005-11-03,17
2005-11-04,466
2005-11-07,18
2005-11-08,51
2005-11-09,2
2005-11-10,2
2005-11-11,3
2005-11-14,271
2005-11-15,4
2005-11-16,15
2005-11-17,5
2005-11-18,0
2005-11-21,1
2005-11-22,19
2005-11-23,29
2005-11-24,0
2005-11-25,1
2005-11-28,0
2005-11-29,49
2005-11-30,23
2005-12-01,96
2005-12-02,5
2005-12-05,395
2005-12-06,17
2005-12-07,2
2005-12-08,1
2005-12-09,2
2005-12-12,12
2005-12-13,57
2005-12-14,168
2005-12-15,1396
2005-12-16,0
2005-12-19,48
2005-12-20,26
2005-12-21,0
2005-12-22,4
2005-12-23,0
2005-12-26,0
2005-12-27,7
2005-12-28,2
2005-12-29,4
2005-12-30,949
2006-01-02,422
2006-01-03,14
