# ILM.D.U2.C.L020100.U2.EUR UNIT= Eurosystem reporting sector - Current accounts (covering the minimum reserves system) UNIT_MULT= n=5653
TIME_PERIOD,OBS_VALUE
2005-01-03,133426
2005-01-04,136720
2005-01-05,129823
2005-01-06,128842
2005-01-07,132394
2005-01-10,134948
2005-01-11,137354
2005-01-12,143927
2005-01-13,144318
2005-01-14,143648
2005-01-17,135937
2005-01-18,146136
2005-01-19,154184
2005-01-20,140968
2005-01-21,141048
2005-01-24,139404
2005-01-25,139820
2005-01-26,135705
2005-01-27,140124
2005-01-28,139610
2005-01-31,133000
2005-02-01,137077
2005-02-02,138897
2005-02-03,139529
2005-02-04,138556
2005-02-07,144032
2005-02-08,138333
2005-02-09,139450
2005-02-10,140175
2005-02-11,142198
2005-02-14,144186
2005-02-15,144556
2005-02-16,147813
2005-02-17,140119
2005-02-18,145064
2005-02-21,133366
2005-02-22,134362
2005-02-23,137632
2005-02-24,141484
2005-02-25,140814
2005-02-28,135392
2005-03-01,149744
2005-03-02,141178
2005-03-03,140692
2005-03-04,142296
2005-03-07,141436
2005-03-08,138105
2005-03-09,139477
2005-03-10,141257
2005-03-11,144501
2005-03-14,145445
2005-03-15,144043
2005-03-16,149393
2005-03-17,145532
2005-03-18,146733
2005-03-21,136786
2005-03-22,137049
2005-03-23,146365
2005-03-24,144055
2005-03-25,143968
2005-03-28,144118
2005-03-29,146443
2005-03-30,133790
2005-03-31,137325
2005-04-01,142146
2005-04-04,141597
2005-04-05,142722
2005-04-06,144668
2005-04-07,144309
2005-04-08,142084
2005-04-11,144647
2005-04-12,147584
2005-04-13,145431
2005-04-14,143998
2005-04-15,143345
2005-04-18,140001
2005-04-19,144364
2005-04-20,155469
2005-04-21,141419
2005-04-22,143647
2005-04-25,142917
2005-04-26,139056
2005-04-27,138298
2005-04-28,137567
2005-04-29,138874
2005-05-02,151597
2005-05-03,151803
2005-05-04,145492
2005-05-05,146064
2005-05-06,146125
2005-05-09,145705
2005-05-10,147431
2005-05-11,144466
2005-05-12,144339
2005-05-13,141820
2005-05-16,150710
2005-05-17,152949
2005-05-18,161894
2005-05-19,147741
2005-05-20,147939
2005-05-23,141930
2005-05-24,142879
2005-05-25,143255
2005-05-26,140373
2005-05-27,144238
2005-05-30,143698
2005-05-31,138676
2005-06-01,149320
2005-06-02,145206
2005-06-03,145890
2005-06-06,145596
2005-06-07,140069
2005-06-08,146413
2005-06-09,145555
2005-06-10,144926
2005-06-13,148047
2005-06-14,149133
2005-06-15,153545
2005-06-16,151642
2005-06-17,147467
2005-06-20,148029
2005-06-21,137910
2005-06-22,165066
2005-06-23,146369
2005-06-24,146608
2005-06-27,143432
2005-06-28,142856
2005-06-29,138761
2005-06-30,134718
2005-07-01,153958
2005-07-04,152781
2005-07-05,152913
2005-07-06,153780
2005-07-07,149470
2005-07-08,147901
2005-07-11,150221
2005-07-12,142988
2005-07-13,145010
2005-07-14,143202
2005-07-15,149646
2005-07-18,151875
2005-07-19,154882
2005-07-20,166882
2005-07-21,152580
2005-07-22,150796
2005-07-25,139007
2005-07-26,139919
2005-07-27,150027
2005-07-28,148093
2005-07-29,144954
2005-08-01,152480
2005-08-02,154054
2005-08-03,153067
2005-08-04,152141
2005-08-05,152355
2005-08-08,151157
2005-08-09,146528
2005-08-10,150769
