# ILM.D.U2.C.L020200.U2.EUR UNIT= Eurosystem reporting sector - Deposit facility UNIT_MULT= n=5653
TIME_PERIOD,OBS_VALUE
2005-01-03,94
2005-01-04,67
2005-01-05,52
2005-01-06,76
2005-01-07,79
2005-01-10,108
2005-01-11,137
2005-01-12,77
2005-01-13,73
2005-01-14,43
2005-01-17,141
2005-01-18,746
2005-01-19,45
2005-01-20,46
2005-01-21,43
2005-01-24,41
2005-01-25,40
2005-01-26,40
2005-01-27,48
2005-01-28,46
2005-01-31,34
2005-02-01,28
2005-02-02,42
2005-02-03,60
2005-02-04,89
2005-02-07,588
2005-02-08,70
2005-02-09,42
2005-02-10,56
2005-02-11,48
2005-02-14,11
2005-02-15,10
2005-02-16,53
2005-02-17,10
2005-02-18,10
2005-02-21,41
2005-02-22,132
2005-02-23,89
2005-02-24,91
2005-02-25,59
2005-02-28,30
2005-03-01,80
2005-03-02,87
2005-03-03,53
2005-03-04,106
2005-03-07,151
2005-03-08,416
2005-03-09,42
2005-03-10,30
2005-03-11,35
2005-03-14,40
2005-03-15,31
2005-03-16,22
2005-03-17,41
2005-03-18,391
2005-03-21,30
2005-03-22,33
2005-03-23,40
2005-03-24,31
2005-03-25,31
2005-03-28,31
2005-03-29,172
2005-03-30,46
2005-03-31,64
2005-04-01,55
2005-04-04,78
2005-04-05,45
2005-04-06,39
2005-04-07,48
2005-04-08,135
2005-04-11,64
2005-04-12,986
2005-04-13,38
2005-04-14,35
2005-04-15,33
2005-04-18,30
2005-04-19,27
2005-04-20,44
2005-04-21,32
2005-04-22,28
2005-04-25,36
2005-04-26,30
2005-04-27,32
2005-04-28,30
2005-04-29,420
2005-05-02,58
2005-05-03,69
2005-05-04,53
2005-05-05,24
2005-05-06,348
2005-05-09,62
2005-05-10,596
2005-05-11,29
2005-05-12,37
2005-05-13,27
2005-05-16,8
2005-05-17,36
2005-05-18,38
2005-05-19,43
2005-05-20,33
2005-05-23,19
2005-05-24,20
2005-05-25,73
2005-05-26,21
2005-05-27,69
2005-05-30,66
2005-05-31,49
2005-06-01,41
2005-06-02,43
2005-06-03,113
2005-06-06,118
2005-06-07,3543
2005-06-08,10
2005-06-09,12
2005-06-10,13
2005-06-13,17
2005-06-14,10
2005-06-15,19
2005-06-16,12
2005-06-17,13
2005-06-20,8
2005-06-21,1636
2005-06-22,13
2005-06-23,18
2005-06-24,18
2005-06-27,83
2005-06-28,70
2005-06-29,71
2005-06-30,826
2005-07-01,12
2005-07-04,25
2005-07-05,34
2005-07-06,34
2005-07-07,102
2005-07-08,223
2005-07-11,116
2005-07-12,1779
2005-07-13,32
2005-07-14,19
2005-07-15,21
2005-07-18,28
2005-07-19,21
2005-07-20,15
2005-07-21,25
2005-07-22,17
2005-07-25,1016
2005-07-26,17
2005-07-27,70
2005-07-28,46
2005-07-29,230
2005-08-01,31
2005-08-02,82
2005-08-03,49
2005-08-04,18
2005-08-05,31
2005-08-08,57
2005-08-09,5446
2005-08-10,19
2005-08-11,14
2005-08-12,21
2005-08-15,18
2005-08-16,29
2005-08-17,26
2005-08-18,26
2005-08-19,14
2005-08-22,38
2005-08-23,22
2005-08-24,27
2005-08-25,26
2005-08-26,27
2005-08-29,46
2005-08-30,31
2005-08-31,24
2005-09-01,51
2005-09-02,33
2005-09-05,510
2005-09-06,709
2005-09-07,9
2005-09-08,13
2005-09-09,10
2005-09-12,11
2005-09-13,21
2005-09-14,18
2005-09-15,17
2005-09-16,20
2005-09-19,19
2005-09-20,51
2005-09-21,13
2005-09-22,14
2005-09-23,16
2005-09-26,61
2005-09-27,64
2005-09-28,62
2005-09-29,74
2005-09-30,71
2005-10-03,38
2005-10-04,39
2005-10-05,32
2005-10-06,81
2005-10-07,162
2005-10-10,165
2005-10-11,1411
2005-10-12,13
2005-10-13,7
2005-10-14,14
2005-10-17,7
2005-10-18,18
2005-10-19,14
2005-10-20,11
2005-10-21,82
2005-10-24,74
2005-10-25,72
2005-10-26,183
2005-10-27,103
2005-10-28,71
2005-10-31,83
2005-11-01,16
2005-11-02,54
2005-11-03,53
2005-11-04,127
2005-11-07,66
2005-11-08,1405
2005-11-09,16
2005-11-10,19
2005-11-11,10
2005-11-14,28
2005-11-15,13
2005-11-16,8
2005-11-17,7
2005-11-18,11
2005-11-21,14
2005-11-22,55
2005-11-23,68
2005-11-24,53
2005-11-25,63
2005-11-28,63
2005-11-29,89
2005-11-30,240
2005-12-01,112
2005-12-02,324
2005-12-05,1166
2005-12-06,15
2005-12-07,20
2005-12-08,15
2005-12-09,32
2005-12-12,12
2005-12-13,51
2005-12-14,67
2005-12-15,59
2005-12-16,107
2005-12-19,13
2005-12-20,16
2005-12-21,17
2005-12-22,17
2005-12-23,18
2005-12-26,18
2005-12-27,14
2005-12-28,27
2005-12-29,24
2005-12-30,252
2006-01-02,37
2006-01-03,37
2006-01-04,36
2006-01-05,36
2006-01-06,29
2006-01-09,20
2006-01-10,44
2006-01-11,31
2006-01-12,39
2006-01-13,38
2006-01-16,140
2006-01-17,930
2006-01-18,23
2006-01-19,19
2006-01-20,5
2006-01-23,12
2006-01-24,18
2006-01-25,23
2006-01-26,18
2006-01-27,79
2006-01-30,35
2006-01-31,143
2006-02-01,34
2006-02-02,34
2006-02-03,17
2006-02-06,31
2006-02-07,1246
2006-02-08,29
2006-02-09,15
2006-02-10,25
2006-02-13,21
2006-02-14,8
2006-02-15,33
2006-02-16,21
2006-02-17,13
2006-02-20,22
2006-02-21,29
2006-02-22,32
2006-02-23,22
2006-02-24,615
2006-02-27,22
2006-02-28,16
2006-03-01,44
2006-03-02,35
2006-03-03,17
2006-03-06,57
2006-03-07,2034
2006-03-08,27
2006-03-09,18
2006-03-10,32
2006-03-13,37
2006-03-14,19
2006-03-15,32
2006-03-16,15
2006-03-17,12
2006-03-20,22
2006-03-21,15
2006-03-22,11
2006-03-23,12
2006-03-24,11
2006-03-27,20
2006-03-28,24
2006-03-29,23
2006-03-30,25
2006-03-31,355
2006-04-03,23
2006-04-04,41
2006-04-05,21
2006-04-06,25
2006-04-07,147
2006-04-10,6437
2006-04-11,2936
2006-04-12,242
2006-04-13,13
2006-04-14,13
