# ILM.W.U2.C.A050100.U2.EUR UNIT= Eurosystem reporting sector - Main refinancing operation UNIT_MULT= n=1131
TIME_PERIOD,OBS_VALUE
2005-W01,259000
2005-W02,265001
2005-W03,279499
2005-W04,272999
2005-W05,277500
2005-W06,275501
2005-W07,276500
2005-W08,284501
2005-W09,275000
2005-W10,272500
2005-W11,276500
2005-W12,291000
2005-W13,275999
2005-W14,274999
2005-W15,270499
2005-W16,281999
2005-W17,280500
2005-W18,273000
2005-W19,267500
2005-W20,272503
2005-W21,271001
2005-W22,281501
2005-W23,279001
2005-W24,283501
2005-W25,309999
2005-W26,308001
2005-W27,307500
2005-W28,298501
2005-W29,308502
2005-W30,317001
2005-W31,313999
2005-W32,308000
2005-W33,303001
2005-W34,310002
2005-W35,293002
2005-W36,294499
2005-W37,279501
2005-W38,287499
2005-W39,293500
2005-W40,288000
2005-W41,280999
2005-W42,296000
2005-W43,301466
2005-W44,294000
2005-W45,295000
2005-W46,293500
2005-W47,311000
2005-W48,306499
2005-W49,333500
2005-W50,308500
2005-W51,314002
2005-W52,315001
2006-W01,316000
2006-W02,308998
2006-W03,324000
2006-W04,316000
2006-W05,290000
2006-W06,293499
2006-W07,295001
2006-W08,308001
2006-W09,301499
2006-W10,298000
2006-W11,290501
2006-W12,298001
2006-W13,284000
2006-W14,279999
2006-W15,288501
2006-W16,297998
2006-W17,291000
2006-W18,286000
2006-W19,284000
2006-W20,282999
2006-W21,291501
2006-W22,290500
2006-W23,286000
2006-W24,292002
2006-W25,315999
2006-W26,328500
2006-W27,326000
2006-W28,321500
2006-W29,335001
2006-W30,338001
2006-W31,323999
2006-W32,318000
2006-W33,311002
2006-W34,317500
2006-W35,310500
2006-W36,306999
2006-W37,300499
2006-W38,310997
2006-W39,313001
2006-W40,311999
2006-W41,308002
2006-W42,318500
2006-W43,314000
2006-W44,307000
2006-W45,303003
2006-W46,303999
2006-W47,321501
2006-W48,307999
2006-W49,329000
2006-W50,320001
2006-W51,321498
2006-W52,330452
2007-W01,330499
2007-W02,310500
2007-W03,312500
2007-W04,317502
2007-W05,292503
2007-W06,279500
2007-W07,286499
2007-W08,301500
2007-W09,288999
2007-W10,280001
2007-W11,271501
2007-W12,281999
2007-W13,283500
2007-W14,291500
2007-W15,280001
2007-W16,281502
2007-W17,288500
2007-W18,279499
2007-W19,276001
2007-W20,281000
2007-W21,295503
2007-W22,284501
2007-W23,279000
