# ILM.W.U2.C.A080000.U2.EUR UNIT= Eurosystem reporting sector - General government debt denominated in euro UNIT_MULT= n=1131
TIME_PERIOD,OBS_VALUE
2005-W01,41317
2005-W02,41317
2005-W03,41319
2005-W04,41319
2005-W05,41260
2005-W06,41260
2005-W07,41260
2005-W08,41260
2005-W09,41261
2005-W10,41279
2005-W11,41279
2005-W12,41279
2005-W13,41172
2005-W14,41177
2005-W15,41177
2005-W16,41184
2005-W17,41184
2005-W18,41184
2005-W19,41184
2005-W20,41184
2005-W21,41181
2005-W22,41181
2005-W23,41182
2005-W24,41198
2005-W25,41198
2005-W26,40731
2005-W27,40747
2005-W28,40747
2005-W29,40747
2005-W30,40752
2005-W31,40752
2005-W32,40752
2005-W33,40753
2005-W34,40750
2005-W35,40750
2005-W36,40750
2005-W37,40750
2005-W38,40750
2005-W39,40723
2005-W40,40753
2005-W41,40753
2005-W42,40753
2005-W43,40757
2005-W44,40757
2005-W45,40757
2005-W46,40758
2005-W47,40758
2005-W48,40758
2005-W49,40764
2005-W50,40662
2005-W51,40274
2005-W52,40113
2006-W01,40113
2006-W02,40113
2006-W03,40113
2006-W04,40113
2006-W05,40597
2006-W06,40597
2006-W07,40597
2006-W08,40598
2006-W09,40598
2006-W10,40587
2006-W11,40587
2006-W12,40587
2006-W13,40570
2006-W14,40570
2006-W15,40570
2006-W16,40559
2006-W17,40568
2006-W18,40568
2006-W19,40568
2006-W20,40568
2006-W21,40568
2006-W22,40551
2006-W23,40551
2006-W24,40551
2006-W25,40551
2006-W26,40048
2006-W27,40048
2006-W28,40049
2006-W29,40049
2006-W30,40050
2006-W31,40050
2006-W32,40050
2006-W33,40050
2006-W34,40049
2006-W35,40049
2006-W36,40049
2006-W37,40049
2006-W38,40049
2006-W39,40021
2006-W40,40021
2006-W41,40022
2006-W42,40022
2006-W43,40022
2006-W44,40027
2006-W45,40027
2006-W46,40027
2006-W47,40027
2006-W48,40027
2006-W49,40035
2006-W50,39927
2006-W51,39912
2006-W52,39359
2007-W01,39359
2007-W02,39359
2007-W03,39359
2007-W04,39359
2007-W05,39309
2007-W06,39311
2007-W07,39311
2007-W08,39311
2007-W09,39317
2007-W10,39317
2007-W11,39317
2007-W12,39317
2007-W13,39283
2007-W14,39283
2007-W15,39283
2007-W16,39283
2007-W17,39240
2007-W18,38657
2007-W19,37656
2007-W20,37657
2007-W21,37657
2007-W22,37643
2007-W23,37643
2007-W24,37643
2007-W25,37643
2007-W26,37147
2007-W27,37149
2007-W28,37149
2007-W29,37149
2007-W30,37148
2007-W31,37148
2007-W32,37148
2007-W33,37148
2007-W34,37148
2007-W35,37145
2007-W36,37145
2007-W37,37148
2007-W38,37148
2007-W39,37122
2007-W40,37122
2007-W41,37122
