# TGB.M.ES.N.A094T.U2.EUR.E UNIT=EUR UNIT_MULT=6 n=139
TIME_PERIOD,OBS_VALUE
2015-01,-191917.18
2015-02,-192416.95
2015-03,-212376.86
2015-04,-207439.46
2015-05,-212014.91
2015-06,-227486.96
2015-07,-227689.13
2015-08,-229663.07
2015-09,-228278.5
2015-10,-227156.38
2015-11,-241015.23
2015-12,-254114.63
2016-01,-248257.92
2016-02,-263163.67
2016-03,-266549.18
2016-04,-254892.81
2016-05,-294739.82
2016-06,-307102.43
2016-07,-293106.54
2016-08,-313579.48
2016-09,-319654.16
2016-10,-313834.37
2016-11,-330396
2016-12,-328074.53
2017-01,-350191.1
2017-02,-361726.22
2017-03,-374567.91
2017-04,-366445.14
2017-05,-375626.48
2017-06,-371069.27
2017-07,-383174.25
2017-08,-384426.12
2017-09,-373439.78
2017-10,-361912.05
2017-11,-367314.69
2017-12,-373736.29
2018-01,-399041.84
2018-02,-398736.31
2018-03,-381423.18
2018-04,-389287.32
2018-05,-393607.38
2018-06,-398326.22
2018-07,-402808.52
2018-08,-389065.73
2018-09,-396189.09
2018-10,-397474.87
2018-11,-401723.01
2018-12,-401892.49
2019-01,-400762.05
2019-02,-397597.54
2019-03,-401535.27
2019-04,-403099.78
2019-05,-404985.71
2019-06,-407039.08
2019-07,-405856.57
2019-08,-400813.5
2019-09,-383526.1
2019-10,-379036.92
2019-11,-382751.27
2019-12,-392384.09
2020-01,-390316.04
2020-02,-377991.25
2020-03,-407429.04
2020-04,-431474.17
2020-05,-451798.02
2020-06,-462417.36
2020-07,-460562.87
2020-08,-458539.08
2020-09,-464694.74
2020-10,-457167.36
2020-11,-480416.44
2020-12,-499990.43
2021-01,-499800.28
2021-02,-513366.76
2021-03,-487731.91
2021-04,-498694.67
2021-05,-502760.42
2021-06,-503948.26
2021-07,-506352.77
2021-08,-498814.31
2021-09,-487178.36
2021-10,-487320.43
2021-11,-494158.16
2021-12,-512779.01
2022-01,-512382.61
2022-02,-516813.66
2022-03,-536135.41
2022-04,-505287.48
2022-05,-525983.31
2022-06,-516052.52
2022-07,-494878.54
2022-08,-501095.17
2022-09,-488187.38
2022-10,-484204.24
2022-11,-467828.9
2022-12,-502244.77
2023-01,-478610.86
2023-02,-452351.89
2023-03,-446082.77
2023-04,-437242.58
2023-05,-422276.74
2023-06,-415015.43
2023-07,-412179.96
2023-08,-409427.84
2023-09,-395421.55
2023-10,-374776.34
2023-11,-354874.82
2023-12,-394431.72
2024-01,-357141.77
2024-02,-390799.48
2024-03,-424199.1
2024-04,-432949.73
2024-05,-441188.31
2024-06,-462509.91
2024-07,-433682.84
2024-08,-424814.56
2024-09,-446633.97
2024-10,-418977.87
2024-11,-434963.99
2024-12,-446667.61
2025-01,-422613.33
2025-02,-439969.5
2025-03,-444409.44
2025-04,-429153.4
2025-05,-430034.2
2025-06,-423321.98
2025-07,-391845.57
2025-08,-390181.96
2025-09,-389564.76
2025-10,-391727.22
2025-11,-388412.71
2025-12,-414491.16
2026-01,-394880.12
2026-02,-428605.17
2026-03,-454608.3
2026-04,-444638.09
2026-05,-448787.57
2026-06,-445663.15
2026-07,-430474.26
