"nid","list_date","title","plazo","denominacion","auction","maturity","settlement","nominal_bid","nominal_alloc","nominal_2nd","cash_alloc","cash_2nd","btc","avg_yield","marginal_yield"
"30467","2022-01-05","Subasta de Bonos a 3 años","3 AÑOS","B 0,00%","2022-01-05","2024-05-31","2022-01-11","2975.01","1390.00","0.00","1402.98","0.00","2.14","-0.392","-0.383"
"30468","2022-01-05","Subasta de Bonos a 5 años","5 AÑOS","O 0,00% (7A)","2022-01-05","2028-01-31","2022-01-11","2817.03","1700.03","0.00","1687.21","0.00","1.66","0.122","0.129"
"30471","2022-01-05","Subasta de Obligaciones a 15 años","15 AÑOS","O 0,85%","2022-01-05","2037-07-30","2022-01-11","2597.12","2032.12","0.00","1983.14","0.00","1.28","1.042","1.047"
"30475","2022-01-05","Subasta de Obligaciones €i a 10 años","","O€i 0,65%","2022-01-05","2027-11-30","2022-01-11","1109.01","558.00","0.00","695.32","0.00","1.99","-1.704","-1.695"
"30538","2022-01-11","Subasta de Letras a 6 meses","6 MESES","","2022-01-11","2022-07-08","2022-01-14","2737.99","1141.50","139.35","1144.68","139.74","2.40","-0.574","-0.566"
"30539","2022-01-11","Subasta de Letras a 12 meses","12 MESES","","2022-01-11","2023-01-13","2022-01-14","5927.52","4375.59","637.00","4399.20","640.33","1.35","-0.534","-0.515"
"30628","2022-01-18","Subasta de Letras a 3 meses","3 MESES","","2022-01-18","2022-04-08","2022-01-21","1716.79","540.30","0.00","541.02","0.00","3.18","-0.627","-0.600"
"30629","2022-01-18","Subasta de Letras a 9 meses","9 MESES","","2022-01-18","2022-10-07","2022-01-21","3646.49","1540.00","0.00","1546.22","0.00","2.37","-0.562","-0.557"
"30632","2022-01-20","Subasta de Bonos a 5 años","5 AÑOS","B 0,00%","2022-01-20","2027-01-31","2022-01-25","3517.02","2157.02","457.24","2147.26","455.09","1.63","0.088","0.093"
"30635","2022-01-20","Subasta de Obligaciones a 15 años","15 AÑOS","O 1,20% (VR 18a 9m)","2022-01-20","2040-10-31","2022-01-25","2042.26","1177.26","241.11","1178.03","241.04","1.73","1.210","1.218"
"30787","2022-02-03","Subasta de Bonos a 3 años","3 AÑOS","B 0,00%","2022-02-03","2025-05-31","2022-02-08","3678.01","2763.00","0.00","2763.04","0.00","1.33","-0.003","0.009"
"30789","2022-02-03","Subasta de Obligaciones a 10 años","10 AÑOS","O 0,70%","2022-02-03","2032-04-30","2022-02-08","3485.43","2240.43","0.00","2207.33","0.00","1.56","0.852","0.858"
"30790","2022-02-03","Subasta de Obligaciones a 15 años","15 AÑOS","O 4,20% (VR 15a)","2022-02-03","2037-01-31","2022-02-08","1427.24","571.24","0.00","820.41","0.00","2.50","1.043","1.046"
"30793","2022-02-03","Subasta de Obligaciones €i a 10 años","","O€i 0,65%","2022-02-03","2027-11-30","2022-02-08","1054.00","525.00","0.00","650.78","0.00","2.01","-1.567","-1.550"
"30917","2022-02-08","Subasta de Letras a 6 meses","6 MESES","","2022-02-08","2022-08-12","2022-02-11","4721.49","950.59","178.69","952.84","179.11","4.97","-0.470","-0.464"
"30918","2022-02-08","Subasta de Letras a 12 meses","12 MESES","","2022-02-08","2023-02-10","2022-02-11","7646.80","4896.35","742.63","4913.11","745.11","1.56","-0.341","-0.330"
"30946","2022-02-15","Subasta de Letras a 3 meses","3 MESES","","2022-02-15","2022-05-06","2022-02-18","3416.50","500.00","29.13","500.66","29.16","6.83","-0.619","-0.614"
"30947","2022-02-15","Subasta de Letras a 9 meses","9 MESES","","2022-02-15","2022-11-11","2022-02-18","4778.50","1400.30","214.17","1405.41","214.95","3.41","-0.495","-0.491"
"31015","2022-02-17","Subasta de Bonos a 5 años","5 AÑOS","B 0,00%","2022-02-17","2027-01-31","2022-02-22","3612.05","2391.05","433.69","2323.02","421.12","1.51","0.581","0.597"
"31017","2022-02-17","Subasta de Obligaciones a 10 años","10 AÑOS","O 0,70%","2022-02-17","2032-04-30","2022-02-22","3244.33","2138.33","446.01","2030.86","423.18","1.52","1.232","1.245"
"31159","2022-03-01","Subasta de Letras a 6 meses","6 MESES","","2022-03-01","2022-09-09","2022-03-04","2829.12","897.63","81.42","900.31","81.66","3.15","-0.572","-0.560"
"31160","2022-03-01","Subasta de Letras a 12 meses","12 MESES","","2022-03-01","2023-03-10","2022-03-04","6957.42","4350.91","721.75","4372.17","725.23","1.60","-0.478","-0.465"
"31163","2022-03-03","Subasta de Bonos a 3 años","3 AÑOS","B 0,00%","2022-03-03","2025-05-31","2022-03-08","2616.00","1996.00","397.52","1991.26","396.32","1.31","0.065","0.092"
"31164","2022-03-03","Subasta de Bonos a 5 años","5 AÑOS","O 0,80% (7A)","2022-03-03","2029-07-30","2022-03-08","2773.16","2068.16","435.58","2087.42","439.28","1.34","0.664","0.681"
"31167","2022-03-03","Subasta de Obligaciones a 15 años","15 AÑOS","O 1,00% (20A)","2022-03-03","2042-07-30","2022-03-08","1411.75","1001.73","214.38","922.97","196.95","1.41","1.471","1.492"
"31169","2022-03-03","Subasta de Obligaciones €i a 15 años","","O€i 0,70%","2022-03-03","2033-11-30","2022-03-08","968.00","553.00","107.26","727.03","140.85","1.75","-1.036","-1.020"
"31246","2022-03-08","Subasta de Letras a 3 meses","3 MESES","","2022-03-08","2022-06-10","2022-03-11","2137.64","629.14","0.00","630.23","0.00","3.40","-0.692","-0.678"
"31247","2022-03-08","Subasta de Letras a 9 meses","9 MESES","","2022-03-08","2022-12-09","2022-03-11","4626.58","1315.08","0.00","1320.59","0.00","3.52","-0.557","-0.544"
"31275","2022-03-17","Subasta de Bonos a 3 años","3 AÑOS","B 0,00%","2022-03-17","2025-05-31","2022-03-22","3523.23","2083.23","426.58","2060.37","421.84","1.69","0.342","0.349"
"31276","2022-03-17","Subasta de Bonos a 5 años","5 AÑOS","O 1,40% (VR 6a 4m)","2022-03-17","2028-07-30","2022-03-22","2401.78","1028.75","8.27","1078.30","8.67","2.33","0.764","0.770"
"31279","2022-03-17","Subasta de Obligaciones a 10 años","10 AÑOS","O 0,70%","2022-03-17","2032-04-30","2022-03-22","3754.72","2489.72","0.00","2349.83","0.00","1.51","1.307","1.313"
"31430","2022-04-05","Subasta de Letras a 6 meses","6 MESES","","2022-04-05","2022-10-07","2022-04-08","2931.28","938.40","31.11","940.99","31.19","3.12","-0.550","-0.542"
"31431","2022-04-05","Subasta de Letras a 12 meses","12 MESES","","2022-04-05","2023-04-14","2022-04-08","7287.17","4161.71","616.08","4173.86","617.85","1.75","-0.288","-0.277"
"31439","2022-04-07","Subasta de Obligaciones €i a 15 años","","O€i 0,70%","2022-04-07","2033-11-30","2022-04-12","945.03","530.00","0.00","685.28","0.00","1.78","-0.852","-0.829"
"31441","2022-04-07","Subasta de Obligaciones a 10 años","10 AÑOS","O 0,70%","2022-04-07","2032-04-30","2022-04-12","5325.98","2325.98","0.00","2135.97","0.00","2.29","1.601","1.607"
"31443","2022-04-07","Subasta de Bonos a 5 años","5 AÑOS","O 1,50% (VR 5a)","2022-04-07","2027-04-30","2022-04-12","2557.40","1507.40","0.00","1568.19","0.00","1.70","0.965","0.977"
"31444","2022-04-07","Subasta de Bonos a 5 años","5 AÑOS","O 0,80% (7A)","2022-04-07","2029-07-30","2022-04-12","2211.12","1205.12","0.00","1169.89","0.00","1.83","1.227","1.245"
"31527","2022-04-19","Subasta de Letras a 3 meses","3 MESES","","2022-04-19","2022-07-08","2022-04-22","1845.49","459.00","0.00","459.64","0.00","4.02","-0.657","-0.652"
"31528","2022-04-19","Subasta de Letras a 9 meses","9 MESES","","2022-04-19","2023-01-13","2022-04-22","4071.50","1500.00","0.00","1504.45","0.00","2.71","-0.412","-0.385"
"31532","2022-04-21","Subasta de Bonos a 3 años","3 AÑOS","B 0,00%","2022-04-21","2025-05-31","2022-04-26","3246.13","2381.13","0.00","2319.41","0.00","1.36","0.845","0.863"
"31534","2022-04-21","Subasta de Obligaciones a 10 años","10 AÑOS","O 5,75% (VR 10a 3m)","2022-04-21","2032-07-30","2022-04-26","1904.60","1459.60","0.00","2066.55","0.00","1.30","1.737","1.757"
"31535","2022-04-21","Subasta de Obligaciones a 30 años","30 AÑOS","O 2,70% (VR 26a 6m)","2022-04-21","2048-10-31","2022-04-26","2315.11","1700.11","58.48","1858.14","63.82","1.36","2.289","2.302"
"31803","2022-05-03","Subasta de Letras a 6 meses","6 MESES","","2022-05-03","2022-11-11","2022-05-06","2013.60","1183.60","58.94","1185.72","59.03","1.70","-0.351","-0.310"
"31804","2022-05-03","Subasta de Letras a 12 meses","12 MESES","","2022-05-03","2023-05-12","2022-05-06","6043.09","3828.09","735.59","3824.69","734.81","1.58","0.078","0.103"
"31807","2022-05-05","Subasta de Bonos a 5 años","5 AÑOS","B 0,00%","2022-05-05","2027-01-31","2022-05-10","3788.16","2740.16","0.00","2566.65","0.00","1.38","1.387","1.407"
"31808","2022-05-05","Subasta de Bonos a 5 años","5 AÑOS","O 0,80% (7A)","2022-05-05","2029-07-30","2022-05-10","1829.60","1049.60","0.00","987.51","0.00","1.74","1.694","1.706"
"31811","2022-05-05","Subasta de Obligaciones a 50 años","50 AÑOS","O 1,45%","2022-05-05","2071-10-31","2022-05-10","1974.89","1242.29","0.001","790.21","0.0006","1.59","2.851","2.889"
"31813","2022-05-05","Subasta de Obligaciones €i a 15 años","","O€i 0,70%","2022-05-05","2033-11-30","2022-05-10","939.08","574.00","0.00","719.33","0.00","1.64","-0.456","-0.437"
"31889","2022-05-10","Subasta de Letras a 3 meses","3 MESES","","2022-05-10","2022-08-12","2022-05-13","1646.53","405.60","0.00","406.10","0.00","4.06","-0.491","-0.478"
"31890","2022-05-10","Subasta de Letras a 9 meses","9 MESES","","2022-05-10","2023-02-10","2022-05-13","3766.80","1470.00","155.82","1470.96","155.92","2.56","-0.094","-0.081"
"31913","2022-05-19","Subasta de Bonos a 3 años","3 AÑOS","B 0,00%","2022-05-19","2025-05-31","2022-05-24","2517.34","1352.34","0.00","1310.88","0.00","1.86","1.030","1.043"
"31914","2022-05-19","Subasta de Bonos a 5 años","5 AÑOS","O 0,80% (VR 5a 2m)","2022-05-19","2027-07-30","2022-05-24","1526.80","1116.80","0.00","1091.29","0.00","1.37","1.383","1.404"
"31917","2022-05-19","Subasta de Obligaciones a 10 años","10 AÑOS","O 0,70%","2022-05-19","2032-04-30","2022-05-24","2517.82","1987.82","0.00","1749.66","0.00","1.27","2.046","2.067"
"31918","2022-05-19","Subasta de Obligaciones a 15 años","15 AÑOS","O 1,00% (20A)","2022-05-19","2042-07-30","2022-05-24","1420.09","1020.09","0.00","799.68","0.00","1.39","2.403","2.418"
"32050","2022-06-02","Subasta de Bonos a 3 años","3 AÑOS","O 4,65% (VR 3a 2m)","2022-06-02","2025-07-30","2022-06-07","1971.36","1286.36","0.00","1474.12","0.00","1.53","1.182","1.202"
"32051","2022-06-02","Subasta de Bonos a 5 años","5 AÑOS","O 0,80% (7A)","2022-06-02","2029-07-30","2022-06-07","2364.85","1564.85","0.00","1452.14","0.00","1.51","1.913","1.930"
"32054","2022-06-02","Subasta de Obligaciones a 10 años","10 AÑOS","O 0,10% (VR 8a 11m)","2022-06-02","2031-04-30","2022-06-07","2465.63","1240.63","0.00","1036.58","0.00","1.99","2.149","2.159"
"32056","2022-06-02","Subasta de Obligaciones €i a 10 años","","O€i 0,65%","2022-06-02","2027-11-30","2022-06-07","1338.04","670.00","0.00","833.18","0.00","2.00","-0.958","-0.945"
"32122","2022-06-07","Subasta de Letras a 6 meses","6 MESES","","2022-06-07","2022-12-09","2022-06-10","2382.63","872.63","24.88","872.92","24.89","2.73","-0.078","-0.055"
"32123","2022-06-07","Subasta de Letras a 12 meses","12 MESES","","2022-06-07","2023-06-09","2022-06-10","5339.93","4054.93","693.04","4035.11","689.52","1.32","0.479","0.504"
"32213","2022-06-14","Subasta de Letras a 3 meses","3 MESES","","2022-06-14","2022-09-09","2022-06-17","1649.11","364.10","9.00","364.42","9.01","4.53","-0.387","-0.350"
"32214","2022-06-14","Subasta de Letras a 9 meses","9 MESES","","2022-06-14","2023-03-10","2022-06-17","2481.51","1431.51","234.16","1424.82","233.02","1.73","0.623","0.660"
"32217","2022-06-16","Subasta de Bonos a 5 años","5 AÑOS","B 0,00%","2022-06-16","2027-01-31","2022-06-21","3331.60","2206.55","455.18","1982.14","408.57","1.51","2.345","2.367"
"32219","2022-06-16","Subasta de Obligaciones a 10 años","10 AÑOS","O 1,95% (VR 8a 1m)","2022-06-16","2030-07-30","2022-06-21","1648.50","1013.49","203.81","977.10","196.39","1.63","2.684","2.697"
"32220","2022-06-16","Subasta de Obligaciones a 15 años","15 AÑOS","O 0,85%","2022-06-16","2037-07-30","2022-06-21","1986.45","1291.45","278.65","933.61","201.27","1.54","3.260","3.273"
"32373","2022-07-05","Subasta de Letras a 6 meses","6 MESES","","2022-07-05","2023-01-13","2022-07-08","3184.04","1149.04","129.77","1148.27","129.68","2.77","0.117","0.134"
"32374","2022-07-05","Subasta de Letras a 12 meses","12 MESES","","2022-07-05","2023-07-07","2022-07-08","7770.95","4184.94","696.44","4155.85","691.53","1.86","0.687","0.702"
"32377","2022-07-07","Subasta de Bonos a 3 años","3 AÑOS","O 5,90% (VR 4a 1m)","2022-07-07","2026-07-30","2022-07-12","3122.07","1174.06","59.11","1451.24","73.02","2.66","1.299","1.327"
"32379","2022-07-07","Subasta de Obligaciones a 10 años","10 AÑOS","O 2,55%","2022-07-07","2032-10-31","2022-07-12","3283.43","2263.23","36.47","2286.50","36.80","1.45","2.454","2.468"
"32380","2022-07-07","Subasta de Obligaciones a 30 años","30 AÑOS","O 1,90%","2022-07-07","2052-10-31","2022-07-12","1858.63","1293.63","240.66","980.15","181.70","1.44","3.192","3.217"
"32383","2022-07-07","Subasta de Obligaciones €i a 10 años","","O€i 1,00% (VR 8a 5m)","2022-07-07","2030-11-30","2022-07-12","1120.07","470.07","43.09","587.48","53.80","2.38","0.002","0.020"
"32460","2022-07-12","Subasta de Letras a 3 meses","3 MESES","","2022-07-12","2022-10-07","2022-07-15","2161.50","355.00","0.00","355.17","0.00","6.09","-0.210","-0.198"
"32461","2022-07-12","Subasta de Letras a 9 meses","9 MESES","","2022-07-12","2023-04-14","2022-07-15","4278.90","1478.84","0.00","1473.53","0.00","2.89","0.468","0.484"
"32481","2022-07-21","Subasta de Bonos a 3 años","3 AÑOS","B 0,00%","2022-07-21","2025-05-31","2022-07-26","2175.90","1130.86","233.02","1086.23","223.73","1.92","1.416","1.437"
"32482","2022-07-21","Subasta de Bonos a 5 años","5 AÑOS","B 0,00%","2022-07-21","2027-01-31","2022-07-26","2685.24","1535.01","324.70","1418.48","299.79","1.75","1.754","1.780"
"32485","2022-07-21","Subasta de Obligaciones a 10 años","10 AÑOS","O 2,55%","2022-07-21","2032-10-31","2022-07-26","3791.74","2394.72","504.81","2403.79","506.27","1.58","2.535","2.550"
"32625","2022-08-04","Subasta de Bonos a 3 años","3 AÑOS","O 1,30% (VR 4a 3m)","2022-08-04","2026-10-31","2022-08-09","2077.97","1025.88","207.22","1046.00","211.19","2.03","1.061","1.075"
"32626","2022-08-04","Subasta de Bonos a 5 años","5 AÑOS","O 0,80% (7A)","2022-08-04","2029-07-30","2022-08-09","2800.14","1755.14","373.11","1668.45","354.49","1.60","1.552","1.564"
"32629","2022-08-04","Subasta de Obligaciones a 10 años","10 AÑOS","O 2,55%","2022-08-04","2032-10-31","2022-08-09","3057.77","1786.69","47.16","1886.21","49.76","1.71","1.982","1.991"
"32631","2022-08-04","Subasta de Obligaciones €i a 15 años","","O€i 0,70%","2022-08-04","2033-11-30","2022-08-09","1027.16","582.00","120.77","725.66","150.39","1.76","-0.112","-0.096"
"32697","2022-08-09","Subasta de Letras a 6 meses","6 MESES","","2022-08-09","2023-02-10","2022-08-12","3694.60","814.60","168.80","812.73","168.40","4.54","0.449","0.465"
"32698","2022-08-09","Subasta de Letras a 12 meses","12 MESES","","2022-08-09","2023-08-11","2022-08-12","6284.08","4000.00","754.30","3968.47","748.29","1.57","0.781","0.795"
"32713","2022-08-16","Subasta de Letras a 3 meses","3 MESES","","2022-08-16","2022-11-11","2022-08-19","1935.03","365.03","0.00","364.91","0.00","5.30","0.138","0.145"
"32714","2022-08-16","Subasta de Letras a 9 meses","9 MESES","","2022-08-16","2023-05-12","2022-08-19","4457.88","1337.87","0.00","1331.96","0.00","3.33","0.597","0.618"
"32796","2022-09-01","Subasta de Bonos a 3 años","3 AÑOS","B 0,00%","2022-09-01","2025-05-31","2022-09-06","3301.98","1700.98","334.00","1619.37","317.93","1.94","1.808","1.817"
"32798","2022-09-01","Subasta de Obligaciones a 10 años","10 AÑOS","O 2,55%","2022-09-01","2032-10-31","2022-09-06","2933.13","1667.13","341.53","1638.03","335.42","1.76","2.813","2.822"
"32799","2022-09-01","Subasta de Obligaciones a 30 años","30 AÑOS","O 1,90%","2022-09-01","2052-10-31","2022-09-06","2432.08","1587.08","118.40","1174.21","87.44","1.53","3.334","3.346"
