Issuer,"ISIN code",Instrument,Type,Pricing/Auction,"Amount bn",Currency,Tenor,Maturity,"Coupon %","Weighted average yield %","Average Price %",Bid/Cover
ESM,EU000A4DMLZ7,Bill,New,01/09/2026,1.59995,EUR,"3 month",03/12/2026,,2.502,99.37152,2.3
ESM,XS3486686333,Bond,New,25/08/2026,2.0,USD,"5 year",02/09/2031,4.375,,,
ESM,EU000A4DMLY0,Bill,New,04/08/2026,1.5980,EUR,"3 month",05/11/2026,,2.421,99.39175,2.3
EFSF,EU000A2SCAJ7,Bond,Tap,08/07/2026,2.5,EUR,"7 year",10/07/2030,3.0,,,
ESM,EU000A4DMLX2,Bill,New,07/07/2026,1.59970,EUR,"3 month",08/10/2026,,2.331,99.41423,2.1
ESM,EU000A1Z99Z8,Bond,New,26/05/2026,2.0,EUR,"5 year",02/06/2031,2.75,,,
EFSF,EU000A2SCAZ3,Bond,New,28/04/2026,3.0,EUR,"7 year",06/09/2033,3.125,,,
ESM,EU000A4DMLT0,Bill,New,17/03/2026,1.09389,EUR,"6 month",17/09/2026,,2.171,98.91435,2.3
EFSF,EU000A2SCAY6,Bond,New,24/02/2026,4.0,EUR,"5 year",03/03/2031,2.50,,,
ESM,EU000A1Z99Y1,Bond,New,03/02/2026,2.5,EUR,"10 year",25/02/2036,3.00,,,
EFSF,EU000A2SCAW0,Bond,New,12/01/2026,3.0,EUR,"3 year",02/02/2029,2.375,,,
EFSF,EU000A2SCAX8,Bond,New,12/01/2026,4.0,EUR,"10 year",01/02/2036,3.125,,,
EFSF,EU000A2SCAV2,Bond,New,04/11/2025,3.0,EUR,"5 year",11/11/2030,2.500,,,
EFSF,EU000A2SCAS8,Bond,Tap,04/11/2025,1.5,EUR,"10 year",29/01/2035,2.875,,,
ESM,EU000A1Z99W5,Bond,Tap,14/10/2025,1.0,EUR,"10 year",26/02/2035,2.750,,,
EFSF,EU000A2SCAL3,Bond,Tap,01/09/2025,1.0,EUR,"5 year",11/04/2029,3.5,,,
EFSF,EU000A2SCAN9,Bond,Tap,01/09/2025,1.0,EUR,"10 year",13/02/2034,2.875,,,
ESM,XS3171756128,Bond,New,27/08/2025,2.0,USD,"5 year",04/09/2030,3.75,,,
ESM,EU000A1Z99X3,Bond,New,10/06/2025,2.0,EUR,"3 year",17/11/2028,2.125,,,
EFSF,EU000A2SCAU4,Bond,New,19/05/2025,3.0,EUR,"7 year",27/09/2032,2.750,,,
EFSF,EU000A2SCAT6,Bond,New,31/03/2025,5.0,EUR,"5 year",07/05/2030,2.625,,,
ESM,EU000A1Z99W5,Bond,New,17/02/2025,2.0,EUR,"10 year",26/02/2035,2.750,,,
EFSF,EU000A2SCAR0,Bond,New,20/01/2025,3.0,EUR,"3 year",27/07/2028,2.5,,,
EFSF,EU000A2SCAS8,Bond,New,20/01/2025,4.0,EUR,"10 year",29/01/2035,2.875,,,
ESM,EU000A1Z99V7,Bond,New,23/09/2024,2.0,EUR,"3 year",30/09/2027,2.375,,,
ESM,EU000A1Z99U9,Bond,New,02/09/2024,2.0,EUR,"10 year",15/09/2034,2.75,,,
EFSF,EU000A2SCAQ2,Bond,New,27/08/2024,3.0,EUR,"3 year",15/12/2027,2.50,,,
EFSF,EU000A2SCAP4,Bond,Tap,27/08/2024,2.0,EUR,"7 year",28/05/2031,2.875,,,
EFSF,EU000A2SCAE8,Bond,Tap,21/05/2024,1.50,EUR,"6 year",11/04/2028,2.375,,,
EFSF,EU000A2SCAP4,Bond,New,21/05/2024,2.50,EUR,"7 year",28/05/2031,2.875,,,
ESM,EU000A1Z99T1,Bond,New,11/03/2024,2.0,EUR,"5 year",18/09/2029,2.625,,,
EFSF,EU000A2SCAN9,Bond,New,05/02/2024,4.0,EUR,"10 year",13/02/2034,2.875,,,
EFSF,EU000A2SCAM1,Bond,New,08/01/2024,5.0,EUR,"5 year",16/07/2029,2.625,,,
EFSF,EU000A2SCAK5,Bond,Tap,08/01/2024,2.0,EUR,"15 year",30/08/2038,3.375,,,
EFSF,EU000A2SCAL3,Bond,New,04/10/2023,2.5,EUR,"5 year",11/04/2029,3.5,,,
EFSF,EU000A1G0BJ5,Bond,Tap,04/10/2023,1.5,EUR,"21 year",04/09/2034,3.0,,,
ESM,XS2682061754,Bond,New,07/09/2023,3.0,USD,"3 year",14/09/2026,4.75,,,
EFSF,EU000A2SCAK5,Bond,New,23/08/2023,2,EUR,"15 year",30/08/2038,3.38,,,
EFSF,EU000A2SCAJ7,Bond,New,03/07/2023,3.0,EUR,"7 year",10/07/2030,3.0,,,
ESM,EU000A1Z99S3,Bond,New,15/05/2023,2.0,EUR,"10 year",23/08/2033,3.0,,,
EFSF,EU000A2SCAH1,Bond,New,17/04/2023,4.0,EUR,"5 year",15/12/2028,3.0,,,
ESM,EU000A1Z99R5,Bond,New,20/02/2023,3.0,EUR,"5 year",15/03/2028,3.0,,,
EFSF,EU000A2SCAG3,Bond,New,09/01/2023,4.0,EUR,"10 year",16/02/2033,2.875,,,
ESM,EU000A1Z99Q7,Bond,Tap,17/10/2022,2,EUR,"5 year",23/06/2027,1.00,,,
EFSF,EU000A2SCAE8,Bond,New,04/10/2022,3.5,EUR,6Y,11/04/2028,2.375,,,
EFSF,EU000A2SCAC2,Bond,Tap,22/08/2022,1.5,EUR,"10 year",21/06/2032,2.375,,,
EFSF,EU000A2SCAC2,Bond,New,14/06/2022,2.0,EUR,"10 year",21/06/2032,2.375,,,
ESM,EU000A1Z99Q7,Bond,New,16/05/2022,2,EUR,"5 year",23/06/2027,1,,,
EFSF,EU000A2SCAB4,Bond,New,29/03/2022,3,EUR,"6 year",05/09/2028,0.875,,,
ESM,EU000A1Z99N4,Bond,Tap,16/02/2022,2,EUR,"5 year",15/12/2026,0.00,,,
EFSF,EU000A1G0EP6,Bond,New,10/01/2022,3,EUR,"8 year",18/03/2030,0.125,,,
EFSF,EU000A2SCAA6,Bond,New,10/01/2022,2.5,EUR,"31 year",17/01/2053,0.70,,,
,EU000A1G0EL5,,Tap,05/07/2021,2.0,EUR,"10 year",20/01/2031,0.0,,,
,EU000A1Z99P9,,New,26/04/2021,2.0,EUR,"10 year",15/10/2031,0.01,,,
,EU000A1Z99N4,,New,08/03/2021,2.0,EUR,"5 year",15/12/2026,0.0,,,
,EU000A1G0EK7,,Tap,01/02/2021,2.0,EUR,"7 year",13/10/2027,0.0,,,
,EU000A1G0EL5,,New,11/01/2021,3.0,EUR,"10 year",20/01/2031,0,,,
,EU000A1G0EM3,,New,11/01/2021,2.0,EUR,"31 year",18/01/2052,0.05,,,
,EU000A1G0ED2,,Tap,09/11/2020,1.0,EUR,"16 year",10/04/2035,0.875,,,
,EU000A1G0EK7,,New,06/10/2020,3.0,EUR,"7 year",13/10/2027,0.0,,,
,EU000A1G0EG5,,Tap,06/10/2020,1.0,EUR,"30 year",20/01/2050,0.7,,,
,EU000A1G0D88,,Tap,29/07/2020,0.99980,EUR,"8 year",16/10/2026,0.625,-0.48,106.98,5.8
,EU000A1Z99F0,,Tap,11/05/2020,1.5,EUR,"10 year",05/09/2028,0.75,,,
,EU000A1G0EE0,,Tap,20/04/2020,1.5,EUR,"10 year",17/10/2029,0.05,,,
,EU000A1Z99L8,,New,25/02/2020,2,EUR,"10 year",04/03/2030,0.01,,,
,EU000A1G0EG5,,New,13/01/2020,3.0,EUR,"30 year",20/01/2050,0.70,,,
,EU000A1G0EE0,,Tap,12/11/2019,1.5,EUR,"10 year",17/10/2029,0.05,,,
EFSF,EU000A1G0EE0,Bond,New,09/07/2019,2,EUR,"10 year",17/10/2029,0.05,,,
EFSF,EU000A1G0D96,Bond,Tap,09/07/2019,1,EUR,"35 year",17/07/2053,1.75,,,
ESM,EU000A1Z99H6,Bond,Tap,07/05/2019,1,EUR,"10 year",05/03/2029,0.50,,,
,EU000A1G0ED2,,New,03/04/2019,3,EUR,"16 year",10/04/2035,0.875,,,
,EU000A1Z99H6,,New,25/02/2019,2,EUR,"10 year",05/03/2029,0.5,,,
,EU000A1G0DL7,,Tap,12/02/2019,1.5,EUR,"26 year",13/02/2043,1.7,,,
,EU000A1Z99F0,,New,29/08/2018,3.25,EUR,"10 year",05/09/2028,0.75,,,
,EU000A1U9936,,Tap,29/08/2018,0.75,EUR,"40 year",01/12/2055,1.85,,,
,EU000A1G0D70,,Tap,10/07/2018,2,EUR,"10 year",14/02/2028,0.95,,,
,EU000A1G0D96,,New,10/07/2018,2,EUR,"35 year",17/07/2053,1.75,,,
,EU000A1Z99B9,,Tap,12/06/2018,1.5,EUR,"10 year",15/03/2027,0.75,,,
,EU000A1Z99D5,,New,15/05/2018,2,EUR,"15 year",23/05/2033,1.20,,,
,EU000A1G0DJ1,,Tap,24/04/2018,1.5,EUR,"31 year",31/05/2047,1.375,,,
,EU000A1G0D88,,New,10/04/2018,3,EUR,"8 year",16/10/2026,0.625,,,
EFSF,EU000A1G0D70,Bond,New,07/02/2018,3,EUR,"10 year",14/02/2028,0.95,,,
EFSF,EU000A1G0D05,Bond,Tap,24/01/2018,2.5,EUR,"23 year",05/09/2040,1.45,,,
,EU000A1G0DY0,,Tap,07/11/2017,1.5,EUR,"10 year",26/07/2027,0.875,,,
,EU000A1G0DW4,,Tap,07/11/2017,1.3,EUR,"31 year",10/07/2048,1.8,,,
,EU000A1G0D05,,New,29/08/2017,2,EUR,"23 year",05/09/2040,1.45,,,
,EU000A1G0DY0,,New,18/07/2017,3,EUR,"10 year",26/07/2027,0.875,,,
