Ministero dell'Economia e delle Finanze;;;;;;
Direzione Debito Pubblico;;;;;;
Scadenze suddivise per anno;;;;;;
(Aggiornato al 31/12/2022);;;;;;
Codice ISIN;Tipo titolo;Emissione;Scadenza;Cedola/Spread;Valuta;Circolante Euro
IT0005452260;BOT 6m;30/07/2021;31/01/2022;-; EUR;7.071.532.000,00
IT0005433146;BOT 12m;14/01/2021;14/01/2022;-; EUR;7.000.000.000,00
IT0005434953;BOT 12m;12/02/2021;14/02/2022;-; EUR;7.000.000.000,00
IT0005454878;BOT 6m;31/08/2021;28/02/2022;-; EUR;6.500.000.000,00
IT0005437311;BOT 12m;12/03/2021;14/03/2022;-; EUR;6.042.720.000,00
IT0005456667;BOT 6m;30/09/2021;31/03/2022;-; EUR;5.500.000.000,00
IT0005441719;BOT 12m;14/04/2021;14/04/2022;-; EUR;7.000.000.000,00
IT0005460313;BOT 6m;29/10/2021;29/04/2022;-; EUR;6.000.000.000,00
IT0005444507;BOT 12m;14/05/2021;13/05/2022;-; EUR;7.500.000.000,00
IT0005466617;BOT 6m;30/11/2021;31/05/2022;-; EUR;5.125.700.000,00
IT0005447187;BOT 12m;14/06/2021;14/06/2022;-; EUR;7.501.500.000,00
IT0005452252;BOT 12m;14/07/2021;14/07/2022;-; EUR;8.250.000.000,00
IT0005480352;BOT 6m;31/01/2022;29/07/2022;-;EUR;6.384.952.000,00
IT0005454860;BOT 12m;13/08/2021;12/08/2022;-; EUR;7.700.000.000,00
IT0005482937;BOT 6m;28/02/2022;31/08/2022;-;EUR;6.050.000.000,00
IT0005456659;BOT 12m;14/09/2021;14/09/2022;-; EUR;7.700.000.000,00
IT0005486755;BOT 6m;31/03/2022;30/09/2022;-; EUR;5.000.000.000,00
IT0005460305;BOT 12m;14/10/2021;14/10/2022;-; EUR;6.000.000.000,00
IT0005492423;BOT 6m;29/04/2022;31/10/2022;-; EUR;5.500.000.000,00
IT0005466609;BOT 12m;12/11/2021;14/11/2022;-; EUR;5.000.000.000,00
IT0005494510;BOT 6m;31/05/2022;30/11/2022;-; EUR;5.258.930.000,00
IT0005472953;BOT 12m;14/12/2021;14/12/2022;-; EUR;6.600.000.000,00
 IT0004759673   ; BTP 10;01/09/2011;01/03/2022;5,000; EUR;20.635.579.000,00
 IT0005244782   ; BTP 5;01/03/2017;01/04/2022;1,200; EUR;16.650.500.000,00
 IT0005086886   ; BTP 7;16/02/2015;15/04/2022;1,350; EUR;17.784.500.000,00
 IT0005366007; BTP 3;15/03/2019;15/07/2022;1,000; EUR;13.425.891.000,00
 IT0005277444; BTP 5;01/08/2017;01/08/2022;0,900; EUR;18.627.621.000,00
 IT0004801541   ; BTP 10;01/03/2012;01/09/2022;5,500; EUR;19.586.032.000,00
 IT0005135840 ; BTP 7;15/09/2015;15/09/2022;1,450; EUR;16.524.194.000,00
 IT0004848831; BTP 10;01/05/2012;01/11/2022;5,500; EUR;19.337.388.000,00
IT0005440679;BTP Short  2;29/11/2020;29/11/2022;0,000; EUR;16.095.000.000,00
 IT0005351660; BTP Italia 4;26/11/2018;26/11/2022; 1,450  Cedola reale; EUR;2.238.378.197,37
 IT0005188120; BTP€i 5;15/05/2016;15/05/2022; 0,100  Cedola reale; EUR;11.519.740.150,20
 IT0005104473; CCTeu;15/12/2014;15/06/2022;0,550; EUR;14.057.910.000,00
 IT0005137614; CCTeu;15/06/2015;15/12/2022;0,700; EUR;12.507.868.000,00
 IT0005412348; CTZ 24;28/05/2020;30/05/2022;  - ; EUR;15.788.810.000,00
IT0005422487;CTZ 24;28/09/2020;28/09/2022;  - ; EUR;12.450.957.000,00
 XS0573950101   ; EMTN;04/01/2011;01/09/2022; 2,850  Cedola reale; EUR;622.450.000,00
IT0005480345;BOT 12m;14/01/2022;13/01/2023;-;EUR;7.150.000.000,00
IT0005500035;BOT 6m;29/07/2022;31/01/2023;-;EUR;6.600.000.000,00
IT0005482929;BOT 12m;14/02/2022;14/02/2023;-;EUR;7.150.000.000,00
IT0005505083;BOT 6m;31/08/2022;28/02/2023;-;EUR;6.000.000.000,00
IT0005486748;BOT 12m;14/03/2022;14/03/2023;-;EUR;6.000.000.000,00
IT0005508244;BOT 6m;30/09/2022;31/03/2023;-;EUR;5.500.000.000,00
IT0005492415;BOT 12m;14/04/2022;14/04/2023;-;EUR;7.150.000.000,00
IT0005512857;BOT 6m;31/10/2022;28/04/2023;-;EUR;6.037.950.000,00
IT0005494502;BOT 12m;13/05/2022;12/05/2023;-;EUR;6.796.153.000,00
IT0005518524;BOT 6m;30/11/2022;31/05/2023;-;EUR;5.423.000.000,00
IT0005497323;BOT 12m;14/06/2022;14/06/2023;-;EUR;6.500.000.000,00
IT0005500027;BOT 12m;14/07/2022;14/07/2023;-;EUR;7.000.000.000,00
IT0005505075;BOT 12m;12/08/2022;14/08/2023;-;EUR;7.700.000.000,00
IT0005508236;BOT 12m;14/09/2022;14/09/2023;-;EUR;7.700.000.000,00
IT0005512030;BOT 12m;14/10/2022;13/10/2023;-;EUR;6.000.000.000,00
IT0005518516;BOT 12m;14/11/2022;14/11/2023;-;EUR;6.050.000.000,00
IT0005523854;BOT 12m;14/12/2022;14/12/2023;-;EUR;6.418.850.000,00
 IT0005384497   ; BTP 3;16/09/2019;15/01/2023;0,050; EUR;15.217.000.000,00
 IT0005325946 ; BTP 5;01/03/2018;01/03/2023;0,950; EUR;15.523.500.000,00
 IT0005172322; BTP 7;15/03/2016;15/03/2023;0,950; EUR;15.374.343.000,00
 IT0004898034; BTP 10;01/03/2013;01/05/2023;4,500; EUR;17.664.920.000,00
 IT0005405318  ; BTP 3;16/03/2020;15/06/2023;0,600; EUR;12.278.046.000,00
 IT0004356843; BTP 15;01/02/2008;01/08/2023;4,750; EUR;21.827.662.000,00
 IT0005413684 ; BTP 3;15/06/2020;15/08/2023;0,300; EUR;16.293.113.000,00
 IT0005344335; BTP 5;01/08/2018;01/10/2023;2,450; EUR;15.503.845.000,00
 IT0005215246 ; BTP 7;15/09/2016;15/10/2023;0,650; EUR;16.233.201.000,00
 IT0000366655; BTP 30;01/11/1993;01/11/2023;9,000; EUR;11.976.155.008,68
IT0005482309;BTP Short 2;28/01/2022;29/11/2023;0,000;EUR;13.108.117.000,00
 IT0000366721; BTP 30;22/12/1993;22/12/2023;8,500; EUR;3.098.736.000,00
 IT0005105835; BTP Italia 8;20/04/2015;20/04/2023; 0,500  Cedola reale; EUR;9.667.219.120,37
 IT0005253668; BTP Italia 6;22/05/2017;22/05/2023; 0,450  Cedola reale; EUR;8.743.674.232,92
 IT0005312134; BTP Italia 6;20/11/2017;20/11/2023; 0,250  Cedola reale;EUR;6.412.298.642,90
 IT0005329344   ; BTP€i 5;28/03/2018;15/05/2023; 0,100  Cedola reale; EUR;11.924.507.423,28
 IT0004243512; BTP€i 15;15/03/2007;15/09/2023; 2,600  Cedola reale; EUR;24.281.935.374,84
 IT0005185456; CCTeu;15/01/2016;15/07/2023;0,700; EUR;11.764.111.000,00
 IT0005399230   ; CCTeu;15/12/2019;15/12/2023;0,550; EUR;9.064.912.000,00
