operation_date,term_days,maturity_date,allocated_m,clearing_spread_bp
2025-06-05,7,2025-06-12,68106,0
2025-06-12,7,2025-06-19,68929,0
2025-06-19,7,2025-06-26,69870,0
2025-06-26,7,2025-07-03,72782,0
2025-07-03,7,2025-07-10,74225,0
2025-07-10,7,2025-07-17,73056,0
2025-07-17,7,2025-07-24,72776,0
2025-07-24,7,2025-07-31,69902,0
2025-07-31,7,2025-08-07,71221,0
2025-08-07,7,2025-08-14,71248,0
2025-08-14,7,2025-08-21,68884,0
2025-08-21,7,2025-08-28,68402,0
2025-08-28,7,2025-09-04,75652,0
2025-09-04,7,2025-09-11,77991,0
2025-09-11,7,2025-09-18,83085,0
2025-09-18,7,2025-09-25,80602,0
2025-09-25,7,2025-10-02,87149,0
2025-10-02,7,2025-10-09,80584,0
2025-10-09,7,2025-10-16,80462,0
2025-10-16,7,2025-10-23,81837,0
2025-10-23,7,2025-10-30,83681,0
2025-10-30,7,2025-11-06,97882,0
2025-11-06,7,2025-11-13,85687,0
2025-11-13,7,2025-11-20,92003,0
2025-11-20,7,2025-11-27,96634,0
2025-11-27,7,2025-12-04,97103,0
2025-12-04,7,2025-12-11,97208,0
2025-12-11,7,2025-12-18,93143,0
2025-12-18,5,2025-12-23,97289,0
2025-12-23,16,2026-01-08,98162,0
2026-01-08,7,2026-01-15,97014,0
2026-01-15,7,2026-01-22,99300,0
2026-01-22,7,2026-01-29,97876,0
2026-01-29,7,2026-02-05,100885,0
2026-02-05,7,2026-02-12,96395,0
2026-02-12,7,2026-02-19,93686,0
2026-02-19,7,2026-02-26,97002,0
2026-02-26,7,2026-03-05,98252,0
2026-03-05,7,2026-03-12,99359,0
2026-03-12,7,2026-03-19,96967,0
2026-03-19,7,2026-03-26,98071,0
2026-03-26,7,2026-04-02,97441,0
2026-04-02,7,2026-04-09,100301,0
2026-04-09,7,2026-04-16,99223,0
2026-04-16,7,2026-04-23,97854,0
2026-04-23,7,2026-04-30,97815,0
2026-04-30,7,2026-05-07,103901,0
2026-05-07,7,2026-05-14,108634,0
2026-05-14,7,2026-05-21,110765,0
2026-05-21,7,2026-05-28,114888,0
2026-05-28,7,2026-06-04,109591,0
2026-06-04,7,2026-06-11,122918,0
2026-06-11,7,2026-06-18,126453,0
2026-06-18,7,2026-06-25,134384,0
2026-06-25,7,2026-07-02,139912,0
2026-07-02,7,2026-07-09,136184,0
2026-07-09,7,2026-07-16,132245,0
2026-07-16,7,2026-07-23,124475,0
2026-07-23,7,2026-07-30,129273,0
2026-07-30,7,2026-08-06,123853,0
2026-08-06,7,2026-08-13,130916,0
2026-08-13,7,2026-08-20,126869,0
2026-08-20,7,2026-08-27,126073,0
2026-08-27,7,2026-09-03,124825,0
2026-09-03,7,2026-09-10,123656,0
