DATE,YWMB84C,YWMB85C
09 Oct 2008,0,1061
06 Nov 2008,0,5306
04 Dec 2008,0,5368
08 Jan 2009,0,1311
05 Feb 2009,43,886
05 Mar 2009,43,0
09 Apr 2009,0,0
07 May 2009,0,0
04 Jun 2009,0,0
09 Jul 2009,0,0
06 Aug 2009,0,0
10 Sep 2009,0,0
08 Oct 2009,0,0
05 Nov 2009,0,0
10 Dec 2009,0,0
07 Jan 2010,0,0
04 Feb 2010,0,0
04 Mar 2010,0,0
08 Apr 2010,0,0
10 May 2010,0,0
10 Jun 2010,0,0
08 Jul 2010,0,0
05 Aug 2010,0,0
09 Sep 2010,0,0
07 Oct 2010,0,0
04 Nov 2010,0,0
09 Dec 2010,0,0
13 Jan 2011,0,0
10 Feb 2011,0,0
10 Mar 2011,0,0
07 Apr 2011,0,0
05 May 2011,0,0
09 Jun 2011,3,0
07 Jul 2011,13,0
04 Aug 2011,0,0
08 Sep 2011,0,0
06 Oct 2011,0,0
10 Nov 2011,0,0
08 Dec 2011,0,0
12 Jan 2012,0,0
09 Feb 2012,0,0
08 Mar 2012,0,0
05 Apr 2012,0,0
10 May 2012,0,0
07 Jun 2012,0,0
05 Jul 2012,0,0
02 Aug 2012,0,0
06 Sep 2012,0,0
04 Oct 2012,0,0
08 Nov 2012,0,0
06 Dec 2012,0,0
10 Jan 2013,0,0
07 Feb 2013,0,0
07 Mar 2013,0,0
04 Apr 2013,0,0
09 May 2013,0,0
06 Jun 2013,0,0
04 Jul 2013,0,0
01 Aug 2013,0,0
05 Sep 2013,0,0
10 Oct 2013,0,0
07 Nov 2013,0,0
05 Dec 2013,0,0
09 Jan 2014,0,0
06 Feb 2014,0,0
06 Mar 2014,0,0
10 Apr 2014,0,0
08 May 2014,0,0
05 Jun 2014,0,0
10 Jul 2014,0,0
07 Aug 2014,0,0
04 Sep 2014,0,0
09 Oct 2014,0,0
06 Nov 2014,0,0
04 Dec 2014,0,0
08 Jan 2015,0,0
05 Feb 2015,0,0
05 Mar 2015,0,0
09 Apr 2015,0,0
08 May 2015,0,0
04 Jun 2015,0,0
09 Jul 2015,0,0
06 Aug 2015,0,0
10 Sep 2015,0,0
08 Oct 2015,0,0
05 Nov 2015,0,0
10 Dec 2015,0,0
14 Jan 2016,0,0
04 Feb 2016,0,0
17 Mar 2016,0,0
14 Apr 2016,0,0
12 May 2016,0,0
16 Jun 2016,0,0
14 Jul 2016,0,0
04 Aug 2016,0,0
15 Sep 2016,0,0
03 Nov 2016,0,0
15 Dec 2016,0,0
02 Feb 2017,0,0
16 Mar 2017,0,0
11 May 2017,0,0
15 Jun 2017,0,0
03 Aug 2017,0,0
14 Sep 2017,0,0
02 Nov 2017,0,0
01 Dec 2017,0,0
08 Feb 2018,0,0
22 Mar 2018,0,0
10 May 2018,0,0
21 Jun 2018,5,5
02 Aug 2018,0,0
13 Sep 2018,0,0
01 Nov 2018,0,0
20 Dec 2018,0,0
07 Feb 2019,0,0
21 Mar 2019,0,0
02 May 2019,0,0
20 Jun 2019,0,0
01 Aug 2019,0,0
19 Sep 2019,0,0
07 Nov 2019,0,0
19 Dec 2019,0,0
30 Jan 2020,0,0
26 Mar 2020,0,0
07 May 2020,0,0
18 Jun 2020,0,0
06 Aug 2020,3003,406
17 Sep 2020,0,0
05 Nov 2020,0,0
17 Dec 2020,0,104
04 Feb 2021,0,0
18 Mar 2021,0,53
06 May 2021,0,0
24 Jun 2021,0,8
05 Aug 2021,0,0
23 Sep 2021,0,184
04 Nov 2021,0,510
16 Dec 2021,0,1638
03 Feb 2022,0,3
17 Mar 2022,0,1
05 May 2022,0,0
16 Jun 2022,1460,315
04 Aug 2022,0,481
22 Sep 2022,0,6512
03 Nov 2022,0,2240
15 Dec 2022,0,0
02 Feb 2023,0,214
23 Mar 2023,0,0
11 May 2023,0,5
01 Jun 2023,0,1
03 Aug 2023,0,0
21 Sep 2023,0,1
02 Nov 2023,0,0
14 Dec 2023,0,0
01 Feb 2024,0,0
21 Mar 2024,0,0
09 May 2024,0,0
20 Jun 2024,0,0
01 Aug 2024,0,1
19 Sep 2024,0,0
07 Nov 2024,0,0
19 Dec 2024,0,0
06 Feb 2025,0,0
20 Mar 2025,0,0
08 May 2025,0,0
19 Jun 2025,0,0
07 Aug 2025,0,0
18 Sep 2025,0,0
06 Nov 2025,29,0
18 Dec 2025,0,0
05 Feb 2026,71,0
19 Mar 2026,0,0
30 Apr 2026,1,0
18 Jun 2026,0,13
