date,on_t0,on,1w,2w,3w,1m,3m,6m,1y
2025-06-02,0.497,0.494,0.478,0.474,0.472,0.474,0.483,0.5,0.573
2025-06-03,0.497,0.494,0.479,0.477,0.474,0.475,0.484,0.5,0.572
2025-06-04,0.495,0.492,0.479,0.477,0.475,0.475,0.484,0.5,0.572
2025-06-05,0.487,0.48,0.478,0.478,0.475,0.475,0.483,0.5,0.572
2025-06-06,0.491,0.485,0.479,0.478,0.477,0.477,0.485,0.5,0.572
2025-06-09,0.493,0.49,0.479,0.478,0.477,0.477,0.487,0.5,0.572
2025-06-10,0.488,0.489,0.48,0.478,0.477,0.477,0.486,0.5,0.572
2025-06-11,0.494,0.489,0.48,0.478,0.477,0.477,0.487,0.5,0.572
2025-06-12,0.493,0.489,0.48,0.478,0.477,0.478,0.486,0.5,0.572
2025-06-13,0.493,0.49,0.48,0.478,0.477,0.477,0.485,0.5,0.572
2025-06-16,0.485,0.485,0.481,0.478,0.477,0.478,0.487,0.5,0.57
2025-06-17,0.493,0.483,0.481,0.479,0.477,0.478,0.487,0.5,0.57
2025-06-18,0.492,0.48,0.478,0.477,0.477,0.478,0.487,0.5,0.569
2025-06-19,0.482,0.487,0.481,0.478,0.478,0.478,0.485,0.5,0.569
2025-06-20,0.496,0.493,0.481,0.477,0.478,0.478,0.484,0.5,0.57
2025-06-23,0.491,0.492,0.478,0.476,0.476,0.477,0.485,0.5,0.571
2025-06-24,0.47,0.487,0.477,0.476,0.476,0.476,0.484,0.5,0.571
2025-06-25,0.49,0.485,0.476,0.476,0.476,0.477,0.484,0.5,0.571
2025-06-26,0.49,0.485,0.473,0.476,0.476,0.478,0.484,0.5,0.571
2025-06-27,0.491,0.483,0.475,0.475,0.476,0.477,0.484,0.5,0.571
2025-06-30,0.491,0.488,0.478,0.477,0.477,0.478,0.485,0.5,0.57
2025-07-01,0.482,0.491,0.479,0.479,0.479,0.48,0.485,0.5,0.57
2025-07-02,0.492,0.487,0.479,0.48,0.479,0.48,0.487,0.5,0.57
2025-07-03,0.494,0.49,0.481,0.48,0.48,0.48,0.486,0.5,0.57
2025-07-04,0.499,0.494,0.481,0.48,0.48,0.481,0.486,0.5,0.57
2025-07-07,0.486,0.491,0.481,0.48,0.481,0.481,0.486,0.5,0.571
2025-07-08,0.489,0.492,0.481,0.481,0.481,0.48,0.485,0.5,0.571
2025-07-09,0.489,0.489,0.48,0.48,0.481,0.48,0.485,0.5,0.571
2025-07-10,0.499,0.491,0.48,0.481,0.481,0.481,0.486,0.5,0.571
2025-07-11,0.492,0.492,0.481,0.481,0.481,0.481,0.486,0.5,0.571
2025-07-14,0.491,0.493,0.481,0.481,0.481,0.481,0.486,0.5,0.57
2025-07-15,0.489,0.489,0.481,0.481,0.481,0.481,0.487,0.5,0.57
2025-07-16,0.486,0.486,0.481,0.481,0.481,0.482,0.488,0.5,0.57
2025-07-17,0.486,0.483,0.48,0.48,0.48,0.48,0.487,0.5,0.571
2025-07-18,0.482,0.49,0.481,0.481,0.481,0.481,0.488,0.502,0.576
2025-07-22,0.491,0.49,0.482,0.481,0.481,0.481,0.487,0.502,0.58
2025-07-23,0.486,0.488,0.482,0.482,0.481,0.481,0.487,0.505,0.582
2025-07-24,0.487,0.485,0.481,0.481,0.481,0.481,0.49,0.511,0.595
2025-07-25,0.488,0.491,0.482,0.482,0.481,0.482,0.493,0.521,0.605
2025-07-28,0.487,0.488,0.481,0.481,0.481,0.481,0.496,0.526,0.608
2025-07-29,0.486,0.486,0.482,0.481,0.481,0.482,0.497,0.53,0.611
2025-07-30,0.488,0.451,0.479,0.481,0.481,0.481,0.497,0.531,0.611
2025-07-31,0.364,0.487,0.482,0.481,0.481,0.482,0.497,0.532,0.612
2025-08-01,0.496,0.492,0.482,0.482,0.481,0.483,0.499,0.531,0.611
2025-08-04,0.496,0.493,0.482,0.482,0.481,0.482,0.497,0.529,0.611
2025-08-05,0.49,0.492,0.482,0.482,0.481,0.483,0.497,0.529,0.609
2025-08-06,0.492,0.489,0.482,0.482,0.481,0.483,0.496,0.529,0.609
2025-08-07,0.491,0.484,0.482,0.482,0.481,0.483,0.496,0.529,0.609
2025-08-08,0.491,0.491,0.482,0.482,0.481,0.483,0.497,0.529,0.609
2025-08-12,0.49,0.49,0.482,0.482,0.482,0.484,0.497,0.53,0.609
2025-08-13,0.487,0.49,0.482,0.482,0.481,0.484,0.498,0.53,0.609
2025-08-14,0.487,0.488,0.482,0.482,0.482,0.484,0.499,0.53,0.609
2025-08-15,0.491,0.491,0.482,0.482,0.482,0.484,0.5,0.53,0.609
2025-08-18,0.487,0.49,0.482,0.482,0.482,0.484,0.503,0.532,0.612
2025-08-19,0.493,0.491,0.482,0.482,0.482,0.484,0.503,0.533,0.612
2025-08-20,0.492,0.491,0.483,0.482,0.482,0.485,0.506,0.535,0.618
2025-08-21,0.493,0.491,0.483,0.482,0.483,0.485,0.506,0.539,0.633
2025-08-22,0.491,0.495,0.483,0.483,0.483,0.486,0.511,0.543,0.644
2025-08-25,0.493,0.493,0.483,0.482,0.483,0.486,0.518,0.548,0.653
2025-08-26,0.488,0.49,0.483,0.483,0.483,0.487,0.52,0.549,0.656
2025-08-27,0.488,0.489,0.483,0.482,0.483,0.486,0.524,0.553,0.661
2025-08-28,0.486,0.432,0.468,0.478,0.481,0.485,0.528,0.564,0.667
2025-08-29,0.455,0.49,0.482,0.482,0.482,0.485,0.529,0.568,0.671
2025-09-01,0.489,0.491,0.482,0.482,0.482,0.485,0.531,0.568,0.672
2025-09-02,0.489,0.492,0.482,0.482,0.482,0.484,0.532,0.568,0.672
2025-09-03,0.488,0.488,0.482,0.482,0.482,0.484,0.531,0.568,0.671
2025-09-04,0.487,0.485,0.482,0.482,0.481,0.484,0.531,0.568,0.671
2025-09-05,0.49,0.491,0.482,0.482,0.481,0.484,0.53,0.568,0.672
2025-09-08,0.492,0.49,0.482,0.482,0.481,0.485,0.528,0.568,0.67
2025-09-09,0.486,0.489,0.482,0.482,0.481,0.485,0.526,0.568,0.669
2025-09-10,0.489,0.491,0.482,0.482,0.481,0.484,0.525,0.569,0.67
2025-09-11,0.489,0.489,0.482,0.482,0.481,0.483,0.524,0.571,0.673
2025-09-12,0.498,0.494,0.482,0.482,0.48,0.484,0.525,0.571,0.674
2025-09-16,0.492,0.495,0.482,0.482,0.48,0.482,0.524,0.57,0.675
2025-09-17,0.492,0.494,0.483,0.481,0.481,0.483,0.523,0.571,0.684
