date,key,value
2024-01-25,btc_40y,2.148
2024-01-25,hy_40y,1.925
2024-03-27,btc_40y,2.487
2024-03-27,hy_40y,1.905
2024-05-22,btc_40y,2.205
2024-05-22,hy_40y,2.27
2024-07-24,btc_40y,2.200
2024-07-24,hy_40y,2.42
2024-09-26,btc_40y,2.580
2024-09-26,hy_40y,2.34
2024-11-27,btc_40y,2.236
2024-11-27,hy_40y,2.55
2025-01-21,btc_40y,2.752
2025-01-21,hy_40y,2.57
2025-03-27,btc_40y,2.920
2025-03-27,hy_40y,2.71
2025-05-28,btc_40y,2.214
2025-05-28,hy_40y,3.135
2025-07-23,btc_40y,2.127
2025-07-23,hy_40y,3.375
2025-09-25,btc_40y,2.604
2025-09-25,hy_40y,3.3
2025-11-26,btc_40y,2.585
2025-11-26,hy_40y,3.555
2026-01-28,btc_40y,2.760
2026-01-28,hy_40y,3.72
2026-03-24,btc_40y,2.541
2026-03-24,hy_40y,3.6
2026-05-27,btc_40y,2.702
2026-05-27,hy_40y,3.84
2026-07-22,btc_40y,2.824
2026-07-22,hy_40y,3.865
2024-01-12,btc_30y,3.003
2024-01-12,hy_30y,1.629
2024-02-07,btc_30y,3.181
2024-02-07,hy_30y,1.791
2024-03-07,btc_30y,2.934
2024-03-07,hy_30y,1.77
2024-04-04,btc_30y,3.467
2024-04-04,hy_30y,1.808
2024-05-10,btc_30y,3.245
2024-05-10,hy_30y,1.992
2024-06-06,btc_30y,3.591
2024-06-06,hy_30y,2.156
2024-07-04,btc_30y,2.972
2024-07-04,hy_30y,2.19
2024-08-08,btc_30y,3.468
2024-08-08,hy_30y,2.229
2024-09-05,btc_30y,3.398
2024-09-05,hy_30y,2.043
2024-10-08,btc_30y,3.344
2024-10-08,hy_30y,2.152
2024-11-13,btc_30y,3.435
2024-11-13,hy_30y,2.271
2024-12-05,btc_30y,3.456
2024-12-05,hy_30y,2.287
2025-01-09,btc_30y,3.723
2025-01-09,hy_30y,2.304
2025-02-06,btc_30y,3.742
2025-02-06,hy_30y,2.29
2025-03-06,btc_30y,3.500
2025-03-06,hy_30y,2.5
2025-04-08,btc_30y,2.958
2025-04-08,hy_30y,2.414
2025-05-13,btc_30y,3.074
2025-05-13,hy_30y,2.941
2025-06-05,btc_30y,2.921
2025-06-05,hy_30y,2.904
2025-07-03,btc_30y,3.580
2025-07-03,hy_30y,2.808
2025-08-07,btc_30y,3.430
2025-08-07,hy_30y,3.089
2025-09-04,btc_30y,3.308
2025-09-04,hy_30y,3.264
2025-10-07,btc_30y,3.411
2025-10-07,hy_30y,3.248
2025-11-11,btc_30y,3.125
2025-11-11,hy_30y,3.166
2025-12-04,btc_30y,4.045
2025-12-04,hy_30y,3.427
2026-01-08,btc_30y,3.138
2026-01-08,hy_30y,3.447
2026-02-05,btc_30y,3.635
2026-02-05,hy_30y,3.615
2026-03-05,btc_30y,3.656
2026-03-05,hy_30y,3.398
2026-04-07,btc_30y,3.115
2026-04-07,hy_30y,3.697
2026-05-14,btc_30y,3.494
2026-05-14,hy_30y,3.842
2026-06-10,btc_30y,2.936
2026-06-10,hy_30y,3.86
2026-07-07,btc_30y,4.550
2026-07-07,hy_30y,3.993
2024-01-18,btc_20y,3.126
2024-01-18,hy_20y,1.383
2024-02-20,btc_20y,3.852
2024-02-20,hy_20y,1.51
2024-03-14,btc_20y,3.007
2024-03-14,hy_20y,1.559
2024-04-11,btc_20y,3.046
2024-04-11,hy_20y,1.63
2024-05-16,btc_20y,3.647
2024-05-16,hy_20y,1.734
2024-06-25,btc_20y,3.273
2024-06-25,hy_20y,1.843
2024-07-11,btc_20y,3.802
2024-07-11,hy_20y,1.913
2024-08-20,btc_20y,3.422
2024-08-20,hy_20y,1.706
2024-09-12,btc_20y,3.475
2024-09-12,hy_20y,1.69
2024-10-24,btc_20y,3.037
2024-10-24,hy_20y,1.8
2024-11-21,btc_20y,3.523
2024-11-21,hy_20y,1.898
2024-12-17,btc_20y,3.379
2024-12-17,hy_20y,1.879
2025-01-16,btc_20y,3.789
2025-01-16,hy_20y,1.983
2025-02-18,btc_20y,3.056
2025-02-18,hy_20y,2.028
2025-03-12,btc_20y,3.459
2025-03-12,hy_20y,2.278
2025-04-15,btc_20y,2.964
2025-04-15,hy_20y,2.349
2025-05-20,btc_20y,2.501
2025-05-20,hy_20y,2.453
2025-06-24,btc_20y,3.107
2025-06-24,hy_20y,2.364
2025-07-10,btc_20y,3.146
2025-07-10,hy_20y,2.482
2025-08-19,btc_20y,3.085
2025-08-19,hy_20y,2.581
2025-09-17,btc_20y,3.997
2025-09-17,hy_20y,2.654
2025-10-15,btc_20y,3.560
2025-10-15,hy_20y,2.674
2025-11-19,btc_20y,3.283
2025-11-19,hy_20y,2.809
2025-12-11,btc_20y,4.096
2025-12-11,hy_20y,2.916
2026-01-20,btc_20y,3.192
2026-01-20,hy_20y,3.253
2026-02-19,btc_20y,3.077
2026-02-19,hy_20y,2.968
2026-03-17,btc_20y,3.247
2026-03-17,hy_20y,3.141
2026-04-14,btc_20y,4.820
2026-04-14,hy_20y,3.327
2026-05-20,btc_20y,4.011
2026-05-20,hy_20y,3.711
2026-06-25,btc_20y,2.967
2026-06-25,hy_20y,3.542
2026-07-14,btc_20y,4.522
2026-07-14,hy_20y,3.626
2024-01-10,btc_10y,2.904
2024-01-10,hy_10y,0.596
2024-02-01,btc_10y,3.648
2024-02-01,hy_10y,0.741
2024-03-05,btc_10y,3.239
2024-03-05,hy_10y,0.718
2024-04-02,btc_10y,3.799
2024-04-02,hy_10y,0.753
2024-05-08,btc_10y,3.151
2024-05-08,hy_10y,0.857
2024-06-04,btc_10y,3.662
2024-06-04,hy_10y,1.048
2024-07-02,btc_10y,3.232
2024-07-02,hy_10y,1.091
2024-08-06,btc_10y,2.975
2024-08-06,hy_10y,0.926
2024-09-03,btc_10y,3.171
2024-09-03,hy_10y,0.915
2024-10-03,btc_10y,3.529
2024-10-03,hy_10y,0.871
2024-11-07,btc_10y,3.133
2024-11-07,hy_10y,0.997
2024-12-03,btc_10y,3.116
2024-12-03,hy_10y,1.084
2025-01-07,btc_10y,3.357
2025-01-07,hy_10y,1.14
2025-02-04,btc_10y,3.181
2025-02-04,hy_10y,1.26
2025-03-04,btc_10y,2.657
2025-03-04,hy_10y,1.404
2025-04-03,btc_10y,3.147
2025-04-03,hy_10y,1.405
2025-05-08,btc_10y,2.544
2025-05-08,hy_10y,1.274
2025-06-03,btc_10y,3.663
2025-06-03,hy_10y,1.512
2025-07-01,btc_10y,3.507
2025-07-01,hy_10y,1.442
2025-08-05,btc_10y,3.059
2025-08-05,hy_10y,1.462
2025-09-02,btc_10y,3.916
2025-09-02,hy_10y,1.612
2025-10-02,btc_10y,3.336
2025-10-02,hy_10y,1.635
2025-11-05,btc_10y,2.973
2025-11-05,hy_10y,1.658
2025-12-02,btc_10y,3.591
2025-12-02,hy_10y,1.872
2026-01-06,btc_10y,3.304
2026-01-06,hy_10y,2.095
2026-02-03,btc_10y,3.020
2026-02-03,hy_10y,2.249
2026-03-03,btc_10y,3.304
2026-03-03,hy_10y,2.122
2026-04-02,btc_10y,2.565
