date,MASDM@01,MASDM253,MASDM254,MASDM255,MASDM273,MASDM26,MASDM58,MASDM5F,MASDM51,MASDM@03,MASDM@07,MABCLE16
2020-01,-30385,-82252,-103075,20823,-13542,5389,52222,1001,0,27427,4032898,0
2020-02,5114,-87512,-104232,16720,-18839,5001,51961,23,0,-14488,4018410,0
2020-03,97460,-93,-101687,101594,-39184,-8583,76807,5249,0,-65850,3952560,0
2020-04,123865,-86335,-98749,12414,-44957,359,63471,1101,0,169419,4121979,0
2020-05,120702,-80471,-99114,18643,-143242,3312,55236,-9410,0,149416,4271395,0
2020-06,125102,-8652,-88715,80063,-271541,-2395,76930,-2061,0,198801,4470196,0
2020-07,19830,-106234,-126936,20702,-172592,132,70815,1161,0,104293,4574489,0
2020-08,52146,-113295,-120652,7357,-127294,-4200,72560,-259,0,67709,4642198,0
2020-09,22771,-25878,-121026,95148,-92999,-3243,79454,999,0,232402,4874600,0
2020-10,69752,-118498,-123973,5475,-132950,-941,67391,-1000,0,18587,4893187,0
2020-11,38982,-115588,-128337,12749,-139436,-994,82052,-1397,0,-25265,4867922,0
2020-12,87984,-32707,-119800,87093,-112516,-1067,81358,3247,0,74351,4942273,0
2021-01,-9417,-102338,-121790,19452,-97612,184,63173,-700,0,16733,4959006,0
2021-02,26389,-117627,-122999,5372,-58620,-383,75890,0,0,-20311,4938695,0
2021-03,156005,-37290,-125126,87836,-35135,-1744,61247,900,0,287008,5225703,0
2021-04,129737,-115325,-121655,6330,-45154,334,66243,-1420,0,104913,5330616,0
2021-05,-2538,-111684,-125646,13962,-34758,-391,60883,-80,0,-30961,5299655,0
2021-06,45603,-50030,-117854,67824,-40935,-422,60933,400,0,79451,5379106,0
2021-07,-23443,-105472,-125384,19912,13278,-77,58389,200,0,9691,5388797,0
2021-08,13229,-109832,-122832,13000,22617,129,58062,-599,0,4258,5393055,0
2021-09,-19078,-33494,-123976,90482,-1049,-278,57843,599,0,23565,5416620,0
2021-10,53736,-105783,-118363,12580,-43205,-851,58099,-1590,0,-448,5416172,0
2021-11,9100,-105984,-127520,21536,-5350,2059,57817,240,0,-38818,5377354,0
2021-12,48529,-35418,-118125,82707,-5275,3496,57860,2949,0,53064,5430418,0
2022-01,-9590,-114796,-125082,10286,-33125,-110,57883,-2599,0,-39675,5390743,0
2022-02,84411,-108363,-120879,12516,-70159,756,57420,-400,0,6332,5397075,0
2022-03,187274,-45549,-125636,80087,-79467,-2075,77237,2550,0,234710,5631785,0
2022-04,102058,-110635,-117930,7295,-47206,-1131,87058,-651,0,-10052,5621733,0
2022-05,-12881,-110088,-125827,15739,-45830,-10,70232,800,0,-133851,5487882,0
2022-06,45591,-44057,-122935,78878,-8975,-1745,162038,-800,0,35167,5523049,0
