date,tenor,offered_100m,competitive_bids,accepted,bid_to_cover,highest_accepted_yield
1979-08-27,2y,2000.0,1817.0,1139.0,1.595,7.206
1979-11-19,2y,1500.0,1883.0,1625.0,1.159,7.295
1981-02-03,2y,1500.0,2925.0,1576.0,1.856,8.409
1981-02-16,2y,1000.0,1650.0,1173.0,1.407,8.455
1981-07-15,2y,2000.0,4065.0,2162.0,1.88,8.023
1981-10-16,2y,1000.0,2491.0,1034.0,2.409,7.999
1981-10-28,2y,800.0,2353.0,854.0,2.755,7.951
1982-02-24,2y,1300.0,2986.0,1304.0,2.29,6.975
1982-06-29,2y,1500.0,2092.0,1012.0,2.067,7.998
1982-07-14,2y,2000.0,3532.0,2004.0,1.762,7.914
1982-10-27,2y,2500.0,5228.0,2516.0,2.078,7.901
1983-02-04,2y,2200.0,3548.0,2284.0,1.553,6.921
1983-06-23,2y,3000.0,4988.0,3043.0,1.639,7.039
1983-07-14,2y,2000.0,3380.0,2136.0,1.582,7.048
1984-01-19,2y,4100.0,9353.0,4093.0,2.285,6.267
1984-04-24,2y,7000.0,8947.0,7296.0,1.226,6.155
1985-01-09,2y,2400.0,4806.0,2422.0,1.984,5.875
1985-05-09,2y,3500.0,4665.0,3560.0,1.31,6.457
1985-07-05,2y,2000.0,2822.0,2261.0,1.248,6.242
1985-09-06,2y,1500.0,2264.0,1704.0,1.329,6.119
1985-12-05,2y,2500.0,2973.0,2545.0,1.168,6.415
1986-02-07,2y,2900.0,4828.0,2946.0,1.639,5.609
1986-06-05,2y,3000.0,3588.0,3009.0,1.192,4.475
1986-07-31,2y,2500.0,3138.0,2606.0,1.204,4.656
1986-10-07,2y,2000.0,2677.0,2004.0,1.336,4.736
1986-11-11,2y,1500.0,2668.0,1649.0,1.618,4.6
1987-01-06,2y,2000.0,5458.0,2316.0,2.357,4.443
1987-02-03,2y,1000.0,3521.0,1109.0,3.175,3.937
1987-07-07,2y,3000.0,4497.0,3004.0,1.497,3.441
1987-07-27,2y,2500.0,2756.0,2542.0,1.084,3.876
1987-08-25,2y,2500.0,3979.0,2543.0,1.565,3.945
1987-09-01,20y,5000.0,7131.0,4564.0,1.562,5.934
1987-09-24,2y,2000.0,2756.0,2020.0,1.364,4.281
1987-11-18,2y,2500.0,5310.0,2661.0,1.995,4.359
1987-12-01,20y,5000.0,5836.0,4329.0,1.348,6.077
1988-02-03,2y,730.0,3702.0,729.0,5.078,3.855
1988-02-18,20y,5000.0,14919.0,5346.0,2.791,5.296
1988-04-19,20y,5000.0,14243.0,5167.0,2.757,4.993
1988-06-01,2y,2000.0,4907.0,2072.0,2.368,3.809
1988-07-07,2y,2000.0,4194.0,2116.0,1.982,4.154
