date,1Y,2Y,5Y,10Y,20Y,30Y,40Y
2025-06-02,0.592,0.755,1.043,1.523,2.406,2.821,3.085
2025-06-03,0.583,0.755,1.035,1.499,2.406,2.825,3.102
2025-06-04,0.575,0.765,1.055,1.518,2.431,2.833,3.137
2025-06-05,0.567,0.755,1.02,1.481,2.371,2.787,3.081
2025-06-06,0.569,0.76,1.023,1.477,2.35,2.78,3.053
2025-06-09,0.574,0.775,1.043,1.491,2.376,2.805,3.088
2025-06-10,0.573,0.771,1.045,1.498,2.402,2.809,3.091
2025-06-11,0.564,0.756,1.029,1.48,2.394,2.808,3.101
2025-06-12,0.565,0.756,1.024,1.48,2.406,2.804,3.089
2025-06-13,0.553,0.736,0.979,1.429,2.363,2.781,3.066
2025-06-16,0.576,0.758,1.025,1.477,2.393,2.799,3.07
2025-06-17,0.578,0.769,1.047,1.498,2.411,2.823,3.094
2025-06-18,0.563,0.755,1.022,1.479,2.399,2.819,3.097
2025-06-19,0.544,0.728,0.973,1.439,2.379,2.808,3.09
2025-06-20,0.544,0.728,0.965,1.424,2.375,2.798,3.102
2025-06-23,0.554,0.738,0.981,1.437,2.361,2.808,3.129
2025-06-24,0.554,0.738,0.981,1.445,2.361,2.811,3.125
2025-06-25,0.548,0.724,0.967,1.426,2.34,2.796,3.109
2025-06-26,0.557,0.735,0.986,1.445,2.339,2.792,3.102
2025-06-27,0.568,0.74,0.994,1.459,2.353,2.8,3.094
2025-06-30,0.581,0.746,0.999,1.462,2.371,2.803,3.093
2025-07-01,0.581,0.735,0.986,1.419,2.345,2.789,3.082
2025-07-02,0.582,0.741,0.992,1.434,2.352,2.785,3.074
2025-07-03,0.592,0.746,1.009,1.448,2.383,2.844,3.13
2025-07-04,0.583,0.736,0.992,1.444,2.391,2.852,3.129
2025-07-07,0.575,0.732,0.993,1.463,2.44,2.932,3.218
2025-07-08,0.576,0.733,1.009,1.492,2.505,3.007,3.31
2025-07-09,0.587,0.754,1.029,1.507,2.511,3.003,3.297
2025-07-10,0.587,0.76,1.025,1.498,2.508,3.008,3.301
2025-07-11,0.591,0.764,1.035,1.507,2.503,2.992,3.278
2025-07-14,0.614,0.781,1.074,1.574,2.593,3.083,3.403
2025-07-15,0.615,0.792,1.085,1.588,2.61,3.087,3.398
2025-07-16,0.616,0.793,1.085,1.575,2.564,3.011,3.32
2025-07-17,0.618,0.788,1.081,1.561,2.564,3.029,3.317
2025-07-18,0.608,0.772,1.046,1.528,2.526,3.014,3.302
2025-07-22,0.596,0.76,1.027,1.51,2.531,3.022,3.319
2025-07-23,0.654,0.838,1.125,1.596,2.59,3.062,3.379
2025-07-24,0.665,0.854,1.14,1.605,2.574,3.034,3.338
2025-07-25,0.684,0.863,1.155,1.605,2.553,3.006,3.301
2025-07-28,0.678,0.849,1.122,1.571,2.515,2.975,3.267
2025-07-29,0.669,0.835,1.108,1.564,2.532,2.999,3.28
2025-07-30,0.66,0.826,1.097,1.565,2.541,3.019,3.3
2025-07-31,0.662,0.826,1.097,1.559,2.542,3.026,3.308
2025-08-01,0.661,0.814,1.089,1.56,2.55,3.037,3.311
2025-08-04,0.623,0.764,1.035,1.52,2.55,3.046,3.329
2025-08-05,0.615,0.754,1.016,1.487,2.505,3.019,3.308
2025-08-06,0.626,0.774,1.034,1.509,2.517,3.015,3.288
2025-08-07,0.625,0.77,1.034,1.5,2.521,3.006,3.265
2025-08-08,0.627,0.77,1.045,1.502,2.519,3.014,3.251
2025-08-12,0.632,0.775,1.051,1.516,2.527,3.029,3.262
2025-08-13,0.636,0.785,1.074,1.53,2.531,3.025,3.255
2025-08-14,0.647,0.822,1.114,1.563,2.552,3.024,3.255
2025-08-15,0.653,0.826,1.12,1.574,2.56,3.032,3.277
2025-08-18,0.662,0.833,1.124,1.584,2.571,3.049,3.308
2025-08-19,0.674,0.849,1.144,1.603,2.594,3.068,3.323
2025-08-20,0.68,0.858,1.155,1.617,2.624,3.095,3.356
