date,STRDCLUCV
2017-01-04,47804
2017-01-05,50313
2017-01-06,52659
2017-01-10,52544
2017-01-11,51773
2017-01-12,51438
2017-01-13,56240
2017-01-16,52145
2017-01-17,50953
2017-01-18,52560
2017-01-19,50704
2017-01-20,53209
2017-01-23,52656
2017-01-24,52551
2017-01-25,52936
2017-01-26,50823
2017-01-27,53261
2017-01-30,50914
2017-01-31,49746
2017-02-01,58675
2017-02-02,52032
2017-02-03,64125
2017-02-06,52981
2017-02-07,53021
2017-02-08,54906
2017-02-09,51428
2017-02-10,52433
2017-02-13,52953
2017-02-14,54709
2017-02-15,55621
2017-02-16,50392
2017-02-17,52551
2017-02-20,51046
2017-02-21,50161
2017-02-22,52364
2017-02-23,51690
2017-02-24,49997
2017-02-27,51553
2017-02-28,44814
2017-03-01,56997
2017-03-02,55085
2017-03-03,56585
2017-03-06,55747
2017-03-07,55648
2017-03-08,54142
2017-03-09,53927
2017-03-10,56317
2017-03-13,48178
2017-03-14,51034
2017-03-15,52948
2017-03-16,46849
2017-03-17,58819
2017-03-21,52576
2017-03-22,47740
2017-03-23,51986
2017-03-24,59350
2017-03-27,49453
2017-03-28,53299
2017-03-29,52548
2017-03-30,54991
2017-03-31,33420
2017-04-03,48306
2017-04-04,49560
2017-04-05,51457
2017-04-06,56309
2017-04-07,52958
2017-04-10,42196
2017-04-11,40087
2017-04-12,42270
2017-04-13,45901
2017-04-14,49957
2017-04-17,50657
2017-04-18,51005
2017-04-19,46815
2017-04-20,49475
2017-04-21,45045
2017-04-24,41050
2017-04-25,37517
2017-04-26,37132
2017-04-27,33320
2017-04-28,34084
2017-05-01,40633
2017-05-02,38121
2017-05-08,40660
2017-05-09,41919
2017-05-10,48359
2017-05-11,45789
2017-05-12,49497
2017-05-15,45568
2017-05-16,47029
2017-05-17,46415
2017-05-18,45148
2017-05-19,47067
2017-05-22,43211
2017-05-23,46221
2017-05-24,38412
2017-05-25,41465
2017-05-26,41627
2017-05-29,38303
2017-05-30,42114
2017-05-31,42639
2017-06-01,38289
2017-06-02,40324
2017-06-05,46537
2017-06-06,48685
2017-06-07,44692
2017-06-08,48357
2017-06-09,42714
2017-06-12,44824
2017-06-13,51771
2017-06-14,50977
2017-06-15,50812
2017-06-16,51523
2017-06-19,43747
2017-06-20,44630
2017-06-21,43104
2017-06-22,46092
2017-06-23,45772
2017-06-26,40674
2017-06-27,44838
2017-06-28,40703
2017-06-29,43390
2017-06-30,45204
2017-07-03,39230
2017-07-04,38539
2017-07-05,40189
2017-07-06,40866
2017-07-07,48070
2017-07-10,45824
2017-07-11,45355
2017-07-12,39809
2017-07-13,39567
2017-07-14,42908
2017-07-18,43249
2017-07-19,39518
2017-07-20,41235
2017-07-21,39870
2017-07-24,39368
2017-07-25,41619
2017-07-26,40833
2017-07-27,41366
2017-07-28,45710
2017-07-31,42685
2017-08-01,46696
2017-08-02,46086
2017-08-03,40280
2017-08-04,46181
2017-08-07,42690
2017-08-08,42854
2017-08-09,44835
2017-08-10,44056
2017-08-14,40824
2017-08-15,41198
2017-08-16,46488
2017-08-17,43113
2017-08-18,46855
2017-08-21,42826
2017-08-22,47028
2017-08-23,57687
2017-08-24,46122
2017-08-25,50869
2017-08-28,47807
2017-08-29,46968
2017-08-30,42753
2017-08-31,40451
2017-09-01,47616
2017-09-04,48825
2017-09-05,51563
2017-09-06,50654
2017-09-07,48624
2017-09-08,44902
2017-09-11,47800
2017-09-12,41873
2017-09-13,46060
2017-09-14,46006
2017-09-15,41535
2017-09-19,48460
2017-09-20,43925
2017-09-21,46721
2017-09-22,45283
2017-09-25,46526
2017-09-26,43234
2017-09-27,44181
2017-09-28,44879
2017-09-29,37825
2017-10-02,49721
2017-10-03,51340
2017-10-04,49336
2017-10-05,50099
2017-10-06,55221
2017-10-10,46775
2017-10-11,48369
2017-10-12,49292
2017-10-13,49757
2017-10-16,45871
2017-10-17,43674
2017-10-18,43884
2017-10-19,44895
2017-10-20,44993
2017-10-23,40279
2017-10-24,41105
2017-10-25,42726
2017-10-26,44033
2017-10-27,43144
2017-10-30,40234
2017-10-31,39667
2017-11-01,44972
2017-11-02,56270
2017-11-06,45236
2017-11-07,44140
2017-11-08,43793
2017-11-09,47965
2017-11-10,53417
2017-11-13,45184
2017-11-14,49959
2017-11-15,56489
2017-11-16,44557
2017-11-17,48334
2017-11-20,44586
2017-11-21,43129
2017-11-22,41566
2017-11-24,42718
2017-11-27,43191
2017-11-28,45413
2017-11-29,44281
2017-11-30,37776
2017-12-01,47767
2017-12-04,43242
2017-12-05,49650
2017-12-06,52412
2017-12-07,42709
2017-12-08,43724
2017-12-11,41528
2017-12-12,40762
2017-12-13,43109
2017-12-14,43690
2017-12-15,48279
2017-12-18,51416
2017-12-19,50625
2017-12-20,52097
2017-12-21,50699
2017-12-22,52939
2017-12-25,47586
2017-12-26,49252
2017-12-27,54057
2017-12-28,44332
2017-12-29,43575
2018-01-04,43905
2018-01-05,48641
2018-01-09,44671
2018-01-10,54079
2018-01-11,49739
2018-01-12,48537
2018-01-15,52152
2018-01-16,44822
2018-01-17,43506
2018-01-18,43227
2018-01-19,48261
2018-01-22,46898
2018-01-23,48363
2018-01-24,54559
2018-01-25,48581
2018-01-26,48433
2018-01-29,46263
2018-01-30,46654
2018-01-31,46068
2018-02-01,55156
2018-02-02,60130
2018-02-05,51987
2018-02-06,50836
2018-02-07,50615
2018-02-08,52789
2018-02-09,63896
2018-02-13,59122
2018-02-14,60187
2018-02-15,60213
2018-02-16,60079
2018-02-19,53343
2018-02-20,57219
2018-02-21,57033
2018-02-22,54924
2018-02-23,58168
2018-02-26,51432
2018-02-27,54265
2018-02-28,49572
2018-03-01,59847
2018-03-02,64922
2018-03-05,52987
2018-03-06,59439
2018-03-07,59030
2018-03-08,60183
2018-03-09,51215
2018-03-12,45631
2018-03-13,45688
2018-03-14,52663
2018-03-15,60081
2018-03-16,63499
2018-03-19,61845
2018-03-20,59293
2018-03-22,57154
2018-03-23,66337
2018-03-26,61052
2018-03-27,63606
2018-03-28,61012
2018-03-29,67539
2018-03-30,33311
2018-04-02,60217
2018-04-03,61560
2018-04-04,59050
2018-04-05,57947
2018-04-06,60526
2018-04-09,54594
2018-04-10,60884
2018-04-11,58463
2018-04-12,66499
2018-04-13,67314
2018-04-16,56151
2018-04-17,51398
2018-04-18,53392
2018-04-19,52101
2018-04-20,46937
2018-04-23,43325
2018-04-24,39337
2018-04-25,35000
2018-04-26,31197
2018-04-27,27495
2018-05-01,40833
2018-05-02,43531
2018-05-07,50672
2018-05-08,47626
2018-05-09,51520
2018-05-10,48585
2018-05-11,56794
2018-05-14,53626
2018-05-15,55762
2018-05-16,43757
2018-05-17,43895
2018-05-18,47151
2018-05-21,42744
2018-05-22,41432
2018-05-23,40842
2018-05-24,40059
2018-05-25,41774
2018-05-28,32504
2018-05-29,34645
2018-05-30,34936
2018-05-31,30270
2018-06-01,37603
2018-06-04,33490
2018-06-05,33796
2018-06-06,29020
2018-06-07,32045
2018-06-08,32958
2018-06-11,36100
2018-06-12,37470
