date,settlement,bond_maturity,face_value,yield,total_to_date
2024-01-15,2024-01-17,2035-09-20,155000000,0.025575,7645000000
2024-01-15,2024-01-17,2033-04-14,260000000,0.045075,7905000000
2024-02-15,2024-02-19,2033-04-14,415000000,0.047675,8320000000
2024-03-15,2024-03-19,2033-04-14,415000000,0.046475,8735000000
2024-04-15,2024-04-17,2033-04-14,415000000,0.0477,9150000000
2024-05-15,2024-05-17,2033-04-14,415000000,0.0462,9565000000
2024-06-17,2024-06-19,2033-04-14,435000000,0.0455,10000000000
2024-07-15,2024-07-17,2033-04-14,415000000,0.0441,10415000000
2024-08-15,2024-08-19,2033-04-14,415000000,0.040825,10830000000
2024-09-16,2024-09-18,2033-04-14,415000000,0.04025,11245000000
2024-10-15,2024-10-17,2033-04-14,180000000,0.043725,11425000000
2024-10-15,2024-10-17,2031-05-15,235000000,0.042025,11660000000
2024-11-15,2024-11-19,2031-05-15,415000000,0.0449,12075000000
2024-12-16,2024-12-18,2031-05-15,415000000,0.042025,12490000000
2025-01-15,2025-01-17,2031-05-15,415000000,0.044275,12905000000
2025-02-17,2025-02-19,2031-05-15,415000000,0.042625,13320000000
2025-03-17,2025-03-19,2031-05-15,415000000,0.042875,13735000000
2025-04-15,2025-04-17,2031-05-15,415000000,0.0405,14150000000
2025-05-15,2025-05-19,2031-05-15,415000000,0.041475,14565000000
2025-06-16,2025-06-18,2031-05-15,435000000,0.041675,15000000000
2025-07-15,2025-07-17,2031-05-15,415000000,0.040775,15415000000
2025-08-15,2025-08-19,2031-05-15,415000000,0.03925,15830000000
2025-09-15,2025-09-17,2031-05-15,415000000,0.0378,16245000000
2025-10-15,2025-10-17,2031-05-15,396000000,0.0346,16641000000
2025-10-15,2025-10-17,2030-09-20,19000000,0.0142,16660000000
2025-11-17,2025-11-19,2030-09-20,415000000,0.0135,17075000000
2025-12-15,2025-12-17,2030-09-20,136000000,0.0174,17211000000
2025-12-15,2025-12-17,2028-05-15,279000000,0.0329,17490000000
2026-01-15,2026-01-19,2028-05-15,415000000,0.03065,17905000000
2026-02-16,2026-02-18,2028-05-15,236000000,0.032175,18141000000
2026-02-16,2026-02-18,2029-04-20,179000000,0.034725,18320000000
2026-03-16,2026-03-18,2029-04-20,415000000,0.03785,18735000000
2026-04-15,2026-04-17,2029-04-20,415000000,0.03785,19150000000
2026-05-15,2026-05-19,2029-04-20,415000000,0.039025,19565000000
2026-06-15,2026-06-17,2029-04-20,435000000,0.0353,20000000000
2026-07-15,2026-07-17,2029-04-20,415000000,0.0383,20415000000
2026-08-17,2026-08-19,2029-04-20,415000000,0.037625,20830000000
