date,L2:LIQ.MBA8,L2:LIQ.MBA5.ZZZZZR4,L2:LIQ.MBA7.ZZZZZR4
2019-01-31,427681,371861,86.9
2019-02-28,428782,373986,87.2
2019-03-31,430815,378284,87.8
2019-04-30,432414,380591,88
2019-05-31,435036,378870,87.1
2019-06-30,435788,380236,87.3
2019-07-31,438753,383803,87.5
2019-08-31,440899,381998,86.6
2019-09-30,443347,387308,87.4
2019-10-31,445613,388282,87.1
2019-11-30,446327,389615,87.3
2019-12-31,448572,389298,86.8
2020-01-31,450844,388303,86.1
2020-02-29,451619,393029,87
2020-03-31,454628,401277,88.3
2020-04-30,455563,404533,88.8
2020-05-31,456699,403477,88.3
2020-06-30,454642,401393,88.3
2020-07-31,455395,402860,88.5
2020-08-31,455440,403738,88.6
2020-09-30,456356,404489,88.6
2020-10-31,459743,406109,88.3
2020-11-30,456962,404304,88.5
2020-12-31,459512,407593,88.7
2021-01-31,462233,402677,87.1
2021-02-28,465398,402542,86.5
2021-03-31,468569,406783,86.8
2021-04-30,470448,406940,86.5
2021-05-31,474383,406378,85.7
2021-06-30,477980,413933,86.6
2021-07-31,481470,419246,87.1
2021-08-31,484714,418282,86.3
2021-09-30,488040,426214,87.3
2021-10-31,488840,429157,87.8
2021-11-30,490763,431554,87.9
2021-12-31,493159,439305,89.1
2022-01-31,496893,440023,88.6
2022-02-28,499047,443243,88.8
2022-03-31,501788,449321,89.5
2022-04-30,503502,451121,89.6
2022-05-31,505035,449127,88.9
2022-06-30,507023,455898,89.9
2022-07-31,509100,458777,90.1
2022-08-31,510979,460190,90.1
2022-09-30,512495,464139,90.6
2022-10-31,513950,464701,90.4
2022-11-30,514844,468681,91
2022-12-31,515978,470526,91.2
2023-01-31,518850,465000,89.6
2023-02-28,518548,469177,90.5
2023-03-31,520256,470083,90.4
2023-04-30,521504,470507,90.2
2023-05-31,521878,468163,89.7
2023-06-30,522438,471799,90.3
2023-07-31,523709,475219,90.7
2023-08-31,526027,475816,90.5
2023-09-30,526564,475624,90.3
2023-10-31,527374,476884,90.4
2023-11-30,528588,479052,90.6
2023-12-31,530186,481816,90.9
2024-01-31,532411,479587,90.1
2024-02-29,533030,478005,89.7
2024-03-31,534406,479336,89.7
2024-04-30,535787,480069,89.6
2024-05-31,536713,478485,89.2
2024-06-30,536924,478146,89.1
2024-07-31,539681,482177,89.3
2024-08-31,541411,478334,88.3
2024-09-30,541912,479532,88.5
2024-10-31,544573,484103,88.9
2024-11-30,545747,486455,89.1
2024-12-31,546794,492601,90.1
2025-01-31,549310,489997,89.2
2025-02-28,550649,491785,89.3
2025-03-31,552304,494546,89.5
2025-04-30,553132,496765,89.8
2025-05-31,554797,494593,89.1
2025-06-30,555797,496644,89.4
2025-07-31,559598,502146,89.7
2025-08-31,562690,499828,88.8
2025-09-30,564203,505068,89.5
2025-10-31,567931,509979,89.8
2025-11-30,570688,510823,89.5
2025-12-31,573826,515031,89.8
2026-01-31,575626,513776,89.3
2026-02-28,578332,515716,89.2
2026-03-31,580806,519655,89.5
2026-04-30,581863,524248,90.1
2026-05-31,585452,522566,89.3
2026-06-30,585467,524898,89.7
2026-07-31,588845,525269,89.2
