tender_date,maturity,coupon,tender_no,offered,bids_n,success_n,bid,accepted,coverage,over_under,low_acc,high_acc,wavg,low_unacc,high_unacc,wavg_unacc
2026-09-03,2030-05-15,0.045,1007,275,48,18,1115,275,4.0545,0,4.015,4.0275,4.0227,4.0275,4.0775,4.0457
2026-09-03,2037-04-15,0.0275,1007,175,50,13,767,175,4.3829,0,4.8725,4.8875,4.8797,4.8875,4.94,4.9117
2026-08-27,2031-05-15,0.015,1006,225,42,15,939,225,4.1733,0,4.1575,4.1675,4.1633,4.1675,4.2075,4.1879
2026-08-27,2034-05-15,0.0425,1006,175,36,16,687,175,3.9257,0,4.5275,4.5375,4.5344,4.5375,4.6125,4.5613
2026-08-27,2041-05-15,0.0175,1006,50,21,10,158,50,3.16,0,5.12,5.135,5.1287,5.135,5.1925,5.1599
2026-08-20,2032-05-15,0.02,1005,250,40,15,1055,250,4.22,0,4.24,4.2575,4.253,4.2575,4.3075,4.2788
2026-08-20,2035-05-15,0.045,1005,200,54,15,1086,200,5.43,0,4.58,4.59,4.5867,4.59,4.6475,4.6103
2026-08-13,2032-05-15,0.02,1004,250,35,13,985,250,3.94,0,4.245,4.26,4.2546,4.26,4.3125,4.2788
2026-08-13,2036-05-15,0.0425,1004,200,44,16,734,200,3.67,0,4.67,4.685,4.6758,4.685,4.7475,4.7085
2026-08-06,2031-05-15,0.015,1003,225,40,9,1392,225,6.1867,0,4.1025,4.115,4.1103,4.115,4.17,4.1336
2026-08-06,2036-05-15,0.0425,1003,175,53,15,780,175,4.4571,0,4.67,4.68,4.6754,4.68,4.7275,4.7026
2026-08-06,2054-05-15,0.05,1003,50,49,14,194,50,3.88,0,5.2775,5.295,5.285,5.295,5.3625,5.3282
2026-07-30,2033-04-14,0.035,1002,225,50,17,922,225,4.0978,0,4.4075,4.4175,4.4126,4.4175,4.46,4.4317
2026-07-30,2035-05-15,0.045,1002,175,53,14,730,175,4.1714,0,4.61,4.62,4.6168,4.62,4.69,4.6393
2026-07-30,2041-05-15,0.0175,1002,50,50,9,259,50,5.18,0,5.065,5.08,5.0718,5.08,5.155,5.1035
2026-07-23,2033-04-14,0.035,1001,250,42,15,934,250,3.736,0,4.4,4.415,4.4088,4.415,4.5,4.4352
2026-07-23,2036-05-15,0.0425,1001,150,40,20,567,150,3.78,0,4.695,4.715,4.7085,4.715,4.77,4.7391
2026-07-23,2054-05-15,0.05,1001,50,32,12,187,50,3.74,0,5.31,5.3175,5.314,5.3175,5.4075,5.351
2026-07-09,2031-05-15,0.015,1000,275,47,16,1001,275,3.64,0,4.01,4.0175,4.0127,4.0175,4.12,4.0506
2026-07-09,2035-05-15,0.045,1000,175,53,9,915,175,5.2286,0,4.4675,4.4725,4.4708,4.4725,4.5475,4.4995
2026-07-02,2030-05-15,0.045,999,250,44,15,1115,250,4.46,0,3.735,3.745,3.741,3.745,3.785,3.7601
2026-07-02,2036-05-15,0.0425,999,150,41,13,649,150,4.3267,0,4.44,4.45,4.4459,4.45,4.48,4.4677
2026-07-02,2054-05-15,0.05,999,50,33,11,203,50,4.06,0,5.09,5.105,5.0981,5.105,5.15,5.1217
2026-06-25,2032-05-15,0.02,998,225,35,19,785,225,3.489,0,3.94,3.9525,3.9464,3.9525,3.995,3.9719
2026-06-25,2034-05-15,0.0425,998,175,32,15,580,175,3.314,0,4.1425,4.15,4.1466,4.15,4.19,4.17
2026-06-25,2051-05-15,0.0275,998,50,27,7,199,50,3.98,0,4.9575,4.965,4.9615,4.965,5.005,4.9909
2026-06-18,2032-05-15,0.02,997,250,28,11,845,250,3.38,0,4.01,4.0175,4.0125,4.0175,4.0725,4.0336
2026-06-18,2034-05-15,0.0425,997,200,29,7,735,200,3.675,0,4.215,4.2225,4.2184,4.2225,4.29,4.2456
2026-06-11,2029-04-20,0.03,996,225,47,6,1315,225,5.8444,0,3.665,3.6725,3.6718,3.6725,3.735,3.6982
2026-06-11,2033-04-14,0.035,996,225,55,19,1045,225,4.6444,0,4.25,4.2675,4.2618,4.2675,4.335,4.2969
2026-06-04,2031-05-15,0.015,995,225,49,13,1400,225,6.2222,0,4.0275,4.035,4.0316,4.035,4.0875,4.0538
2026-06-04,2037-04-15,0.0275,995,225,41,17,856,225,3.8044,0,4.63,4.645,4.6404,4.645,4.6925,4.6691
2026-05-29,2029-04-20,0.03,994,225,30,14,600,225,2.6667,0,3.715,3.73,3.723,3.73,3.765,3.7399
2026-05-29,2036-05-15,0.0425,994,175,43,11,670,175,3.8286,0,4.52,4.5325,4.5274,4.5325,4.5875,4.5461
2026-05-29,2054-05-15,0.05,994,50,26,12,119,50,2.38,0,5.12,5.1375,5.1271,5.1375,5.1775,5.1569
2026-05-21,2031-05-15,0.015,993,250,39,17,641,250,2.564,0,4.195,4.2125,4.2052,4.2125,4.2625,4.231
2026-05-21,2036-05-15,0.0425,993,200,38,18,465,200,2.325,0,4.705,4.7175,4.7114,4.7175,4.765,4.7386
2026-05-14,2030-05-15,0.045,992,225,43,14,880,225,3.9111,0,4.0375,4.05,4.0449,4.05,4.11,4.0707
2026-05-14,2036-05-15,0.0425,992,175,48,12,691,175,3.9486,0,4.705,4.715,4.7121,4.715,4.7975,4.7445
2026-05-14,2051-05-15,0.0275,992,50,36,4,214,50,4.28,0,5.2825,5.29,5.2856,5.29,5.37,5.3157
2026-05-07,2031-05-15,0.015,991,225,57,12,972,225,4.32,0,4.11,4.12,4.1153,4.12,4.2025,4.1521
2026-05-07,2036-05-15,0.0425,991,175,56,12,702,175,4.0114,0,4.605,4.615,4.6102,4.615,4.695,4.6454
2026-05-07,2054-05-15,0.05,991,50,31,17,221,50,4.42,0,5.16,5.1825,5.173,5.1825,5.2325,5.2055
2026-04-30,2030-05-15,0.045,990,250,53,11,946,250,3.784,0,4.0275,4.0375,4.0322,4.0375,4.125,4.0637
2026-04-30,2035-05-15,0.045,990,150,47,8,467,150,3.1133,0,4.6325,4.645,4.638,4.645,4.7375,4.6756
2026-04-30,2041-05-15,0.0175,990,50,35,8,180,50,3.6,0,5.04,5.06,5.0494,5.06,5.145,5.094
2026-04-23,2030-05-15,0.045,989,250,40,9,1043,250,4.172,0,4,4.0075,4.0039,4.0075,4.0825,4.0369
2026-04-23,2034-05-15,0.0425,989,150,35,11,444,150,2.96,0,4.53,4.555,4.5453,4.555,4.6275,4.5774
2026-04-23,2054-05-15,0.05,989,50,28,11,169,50,3.38,0,5.28,5.3075,5.2955,5.3075,5.385,5.3321
2026-04-16,2031-05-15,0.015,988,225,47,10,1314,225,5.84,0,4.1525,4.1575,4.1548,4.1575,4.215,4.1723
2026-04-16,2036-05-15,0.0425,988,175,44,22,566,175,3.2343,0,4.645,4.675,4.6666,4.675,4.77,4.7087
2026-04-16,2054-05-15,0.05,988,50,41,9,207,50,4.14,0,5.2425,5.255,5.249,5.255,5.325,5.2845
2026-04-09,2031-05-15,0.015,987,275,51,16,803,275,2.92,0,4.2225,4.24,4.2318,4.24,4.34,4.2781
2026-04-09,2034-05-15,0.0425,987,175,47,19,486,175,2.7771,0,4.5325,4.56,4.5478,4.56,4.66,4.5972
2026-04-02,2030-05-15,0.045,986,225,59,21,747,225,3.32,0,3.98,4,3.9927,4,4.085,4.0268
2026-04-02,2036-05-15,0.0425,986,225,53,29,617,225,2.7422,0,4.68,4.7125,4.6981,4.7125,4.78,4.7387
2026-03-26,2031-05-15,0.015,985,200,47,16,656,200,3.28,0,4.2325,4.2575,4.2452,4.2575,4.315,4.2743
2026-03-26,2033-04-14,0.035,985,200,60,13,756,200,3.78,0,4.44,4.4575,4.4517,4.4575,4.545,4.4862
2026-03-26,2051-05-15,0.0275,985,50,40,9,207,50,4.14,0,5.3075,5.3225,5.3127,5.3225,5.395,5.3545
2026-03-19,2031-05-15,0.015,984,250,43,8,694,250,2.776,0,4.16,4.17,4.1644,4.17,4.28,4.1992
2026-03-19,2033-04-14,0.035,984,150,40,7,521,150,3.4733,0,4.3925,4.4025,4.3953,4.4025,4.53,4.442
2026-03-19,2041-05-15,0.0175,984,50,42,11,185,50,3.7,0,4.9975,5.0175,5.0071,5.0175,5.0675,5.0435
2026-03-12,2031-05-15,0.015,983,250,36,16,950,250,3.8,0,4.1075,4.1175,4.1118,4.1175,4.165,4.1414
2026-03-12,2034-05-15,0.0425,983,150,37,14,576,150,3.84,0,4.46,4.47,4.4643,4.47,4.5125,4.4928
2026-03-12,2041-05-15,0.0175,983,50,26,2,316,50,6.32,0,4.9875,4.99,4.9885,4.995,5.055,5.0137
2026-03-05,2031-05-15,0.015,982,250,48,13,1244,250,4.976,0,3.885,3.8975,3.8914,3.8975,3.9525,3.9156
2026-03-05,2035-05-15,0.045,982,200,48,22,716,200,3.58,0,4.3425,4.365,4.3548,4.365,4.445,4.3915
2026-02-26,2031-05-15,0.015,981,250,53,22,1238,250,4.952,0,3.78,3.795,3.7906,3.795,3.8425,3.8142
2026-02-26,2034-05-15,0.0425,981,200,52,19,924,200,4.62,0,4.1525,4.1675,4.1602,4.1675,4.2275,4.1856
