date,R1:RBNZ.MRA101,R1:RBNZ.MRA103,R1:RBNZ.MRA1221,R1:RBNZ.MRA135,R1:RBNZ.MRA1222,R1:RBNZ.MRA125,R1:RBNZ.MRA104,R1:RBNZ.MRA138,R1:RBNZ.MRA19,R1:RBNZ.MRA,R1:RBNZ.MRA122,R1:RBNZ.MRL121,R1:RBNZ.MRL125,R1:RBNZ.MRL133,R1:RBNZ.MRL103,R1:RBNZ.MRL135,R1:RBNZ.MRL123,R1:RBNZ.MRL124,R1:RBNZ.MRL138,R1:RBNZ.MRL19,R1:RBNZ.MRL1,R1:RBNZ.MRL2,R1:RBNZ.MRL
2019-01-31,14497,9898,7336,1244,0,0,566,391,156,34088,7336,21374,0,1996,528,0,345,6807,382,4,31436,2652,34088
2019-02-28,15499,8018,8256,3190,0,0,444,484,159,36050,8256,23071,0,1999,602,0,180,6721,773,3,33349,2701,36050
2019-03-31,13476,8085,3273,294,0,0,347,542,159,26176,3273,13569,0,1597,622,0,750,6703,208,4,23453,2723,26176
2019-04-30,12327,7970,3249,1050,0,0,213,704,156,25669,3249,11463,0,1594,824,0,730,6873,1399,3,22886,2783,25669
2019-05-31,13355,8713,3253,1015,0,0,212,959,158,27665,3253,14625,0,1593,951,4,555,6792,301,4,24825,2840,27665
2019-06-30,13579,7811,3255,744,0,0,416,715,177,26697,3255,13478,0,1595,720,0,851,6732,478,207,24061,2636,26697
2019-07-31,11875,6882,3264,1763,0,0,254,696,177,24911,3264,11360,0,1593,835,102,1175,6773,198,207,22243,2668,24911
2019-08-31,12463,7768,3274,2985,0,0,189,966,177,27822,3274,13521,0,1590,1460,0,1112,6782,356,206,25027,2795,27822
2019-09-30,13400,7973,3428,646,0,0,245,1093,177,26962,3428,13420,0,1591,1426,0,595,6853,226,12,24123,2839,26962
2019-10-31,10948,8087,3445,1346,0,0,176,1025,175,25202,3445,11706,0,1589,1021,202,400,7017,418,13,22366,2836,25202
2019-11-30,10092,9362,3528,1070,0,0,241,715,177,25185,3528,11768,0,1591,930,0,810,7088,170,14,22371,2814,25185
2019-12-31,9867,9373,3760,600,0,0,425,399,175,24599,3760,10547,0,1592,634,0,1225,7557,278,14,21847,2752,24599
2020-01-31,9645,14000,4422,1141,0,0,151,681,174,30214,4422,16475,0,1589,1135,0,320,7270,552,11,27352,2862,30214
2020-02-29,9949,13891,4863,1358,0,0,106,959,176,31302,4863,16317,0,1588,1819,0,1068,7162,369,10,28333,2969,31302
2020-03-31,18819,13049,3437,1468,1079,0,640,3660,171,42323,6790,25655,0,1589,2502,0,705,7937,819,11,39218,3105,42323
2020-04-30,13377,14999,3013,1083,9534,0,488,3838,172,46504,15224,30212,185,1589,1622,88,90,7974,1646,12,43418,3086,46504
2020-05-31,11864,13696,3015,1246,16574,0,709,3848,173,51125,22412,35711,108,1585,1314,150,75,8088,1029,13,48073,3052,51125
2020-06-30,9838,15661,3168,897,21989,57,602,3712,176,56100,27993,41603,8,1582,1073,166,100,7941,502,16,52991,3109,56100
2020-07-31,9190,12671,3333,888,27750,0,603,3782,176,58393,34308,43844,233,1581,1044,71,0,7928,520,16,55237,3156,58393
2020-08-31,4857,10811,3342,1638,33688,0,609,3864,177,58986,40261,43177,525,1585,968,352,0,8057,1148,16,55828,3158,58986
2020-09-30,3134,10293,3345,302,41058,0,273,3903,175,62483,47636,47328,748,1588,734,112,0,8042,715,16,59283,3200,62483
2020-10-31,2223,9064,3476,2030,45587,0,240,3792,178,66590,52293,50552,731,1588,681,192,0,8116,1503,17,63380,3210,66590
2020-11-30,2096,8672,3474,1992,48827,306,435,3714,181,69697,55711,54466,12,1589,424,325,0,8121,1664,18,66619,3078,69697
2020-12-31,3975,7415,3477,1762,50839,750,555,3807,178,72758,57807,58562,16,1589,408,241,200,8553,102,16,69687,3071,72758
2021-01-31,2421,8127,3485,3164,52027,1068,587,3767,178,74824,59003,60506,12,1593,339,358,200,8212,519,16,71755,3069,74824
