
A:History - Sale of New Zealand Government Securities to New Zealand Debt Management Office

A:Transaction;B:Settlement ;C:Bond Sold;D:Face Value;E:Yield;F:Total Sold to date
A:Date;B:Date ;C:1714
A:44757;B:44761;C:51636;D:415000000;E:3.95E-2;F:415000000
A:44788;B:44790;C:51636;D:415000000;E:3.8524999999999997E-2;F:830000000
A:44819;B:44823;C:51636;D:415000000;E:4.3099999999999999E-2;F:1245000000
A:44851;B:44853;C:51636;D:415000000;E:4.9125000000000002E-2;F:1660000000
A:44880;B:44882;C:15-May-2041;D:415000000;E:4.5949999999999998E-2;F:2075000000
A:44911;B:44914;C:15-May-2041;D:25000000;E:4.505E-2;F:2100000000
A:44911;B:44914;C:51399;D:390000000;E:2.1000000000000001E-2;F:2490000000
A:44942;B:44944;C:51399;D:190000000;E:2.1375000000000002E-2;F:2680000000
A:44942;B:44944;C:50145;D:225000000;E:4.2224999999999999E-2;F:2905000000
A:44972;B:44974;C:50145;D:415000000;E:4.4475000000000001E-2;F:3320000000
A:45000;B:45002;C:50145;D:415000000;E:4.5975000000000002E-2;F:3735000000
A:45033;B:45035;C:50145;D:415000000;E:4.1875000000000002E-2;F:4150000000
A:45061;B:45063;C:50145;D:415000000;E:4.2700000000000002E-2;F:4565000000
A:45092;B:45096;C:50145;D:435000000;E:4.6375E-2;F:5000000000
A:45124;B:45126;C:50145;D:415000000;E:4.6699999999999998E-2;F:5415000000
A:45153;B:45155;C:50145;D:415000000;E:5.1025000000000001E-2;F:5830000000
A:45184;B:45188;C:50145;D:415000000;E:5.0775000000000001E-2;F:6245000000
A:45215;B:45217;C:50145;D:415000000;E:5.5625000000000001E-2;F:6660000000
A:45245;B:45247;C:50145;D:415000000;E:5.1424999999999998E-2;F:7075000000
A:45275;B:45249;C:50145;D:168000000;E:4.7649999999999998E-2;F:7243000000
A:45275;B:45249;C:49572;D:247000000;E:2.5999999999999999E-2;F:7490000000
A:45306;B:45308;C:49572;D:155000000;E:2.5575000000000001E-2;F:7645000000
A:45306;B:45308;C:48683;D:260000000;E:4.5074999999999997E-2;F:7905000000
A:45337;B:45341;C:48683;D:415000000;E:4.7675000000000002E-2;F:8320000000
A:45366;B:45370;C:48683;D:415000000;E:4.6475000000000002E-2;F:8735000000
A:45397;B:45399;C:48683;D:415000000;E:4.7699999999999999E-2;F:9150000000
A:45427;B:45429;C:48683;D:415000000;E:4.6199999999999998E-2;F:9565000000
A:45460;B:45462;C:48683;D:435000000;E:4.5499999999999999E-2;F:10000000000
A:45488;B:45490;C:48683;D:415000000;E:4.41E-2;F:10415000000
A:45519;B:45523;C:48683;D:415000000;E:4.0825E-2;F:10830000000
A:45551;B:45553;C:48683;D:415000000;E:4.0250000000000001E-2;F:11245000000
A:45580;B:45582;C:48683;D:180000000;E:4.3725E-2;F:11425000000
A:45580;B:45582;C:47983;D:235000000;E:4.2025E-2;F:11660000000
A:45611;B:45615;C:47983;D:415000000;E:4.4900000000000002E-2;F:12075000000
A:45642;B:45644;C:47983;D:415000000;E:4.2025E-2;F:12490000000
A:45672;B:45674;C:47983;D:415000000;E:4.4275000000000002E-2;F:12905000000
A:45705;B:45707;C:47983;D:415000000;E:4.2625000000000003E-2;F:13320000000
A:45733;B:45735;C:47983;D:415000000;E:4.2875000000000003E-2;F:13735000000
A:45762;B:45764;C:47983;D:415000000;E:4.0500000000000001E-2;F:14150000000
A:45792;B:45796;C:47983;D:415000000;E:4.1474999999999998E-2;F:14565000000
A:45824;B:45826;C:47983;D:435000000;E:4.1674999999999997E-2;F:15000000000
A:45853;B:45855;C:47983;D:415000000;E:4.0774999999999999E-2;F:15415000000
A:45884;B:45888;C:47983;D:415000000;E:3.925E-2;F:15830000000
A:45915;B:45917;C:47983;D:415000000;E:3.78E-2;F:16245000000
A:45945;B:45947;C:47983;D:396000000;E:3.4599999999999999E-2;F:16641000000
A:45945;B:45947;C:47746;D:19000000;E:1.4200000000000001E-2;F:16660000000
A:45978;B:45980;C:47746;D:415000000;E:1.35E-2;F:17075000000
A:46006;B:46008;C:47746;D:136000000;E:1.7399999999999999E-2;F:17211000000
A:46006;B:46008;C:46888;D:279000000;E:3.2899999999999999E-2;F:17490000000
A:46037;B:46041;C:46888;D:415000000;E:3.065E-2;F:17905000000
A:46069;B:46071;C:46888;D:236000000;E:3.2175000000000002E-2;F:18141000000
A:46069;B:46071;C:47228;D:179000000;E:3.4724999999999999E-2;F:18320000000
A:46097;B:46099;C:47228;D:415000000;E:3.7850000000000002E-2;F:18735000000
A:46127;B:46129;C:47228;D:415000000;E:3.7850000000000002E-2;F:19150000000
A:46157;B:46161;C:47228;D:415000000;E:3.9024999999999997E-2;F:19565000000
A:46188;B:46190;C:47228;D:435000000;E:3.5299999999999998E-2;F:20000000000
A:46218;B:46220;C:47228;D:415000000;E:3.8300000000000001E-2;F:20415000000
A:46251;B:46253;C:47228;D:415000000;E:3.7624999999999999E-2;F:20830000000


