auctionDate,securityType,securityTerm,cusip,bidToCoverRatio,highYield,highDiscountRate,averageMedianYield,averageMedianDiscountRate,lowYield,lowDiscountRate,offeringAmount,totalAccepted,totalTendered,primaryDealerAccepted,directBidderAccepted,indirectBidderAccepted,somaAccepted,reopening,cashManagementBillCMB,tips,floatingRate
2005-12-29,Bill,14-Day,912795TR2,2.100000,,4.100000,,4.020000,,3.980000,1200000000,1200008000,2520000000,,,,,No,Yes,No,No
2005-12-29,Note,2-Year,912828ER7,2.420000,4.4040,,4.383000,,4.350000,,2000000000,2666666900,5498666900,,,,,No,No,No,No
2005-12-28,Bill,4-Week,912795WL1,2.690000,,3.470000,,3.430000,,3.390000,1000000000,1367143900,3052794900,,,,,Yes,No,No,No
2005-12-27,Bill,13-Week,912795WV9,2.180000,,3.905000,,3.890000,,3.870000,1700000000,2352249000,4357839100,,,,,Yes,No,No,No
2005-12-27,Bill,26-Week,912795XJ5,1.990000,,4.200000,,4.180000,,4.170000,1500000000,2096832900,3574847900,,,,,No,No,No,No
2005-12-20,Bill,4-Week,912795WK3,2.990000,,3.495000,,3.460000,,3.400000,1100000000,1398706300,3592303800,,,,,Yes,No,No,No
2005-12-19,Bill,13-Week,912795WU1,2.190000,,3.895000,,3.870000,,3.850000,1800000000,2472225600,4612191800,,,,,Yes,No,No,No
2005-12-19,Bill,26-Week,912795XH9,2.170000,,4.220000,,4.195000,,4.170000,1600000000,2224107400,4089330900,,,,,No,No,No,No
2005-12-13,Bill,4-Week,912795WJ6,2.390000,,3.570000,,3.520000,,3.450000,1400000000,1748787900,3690833900,,,,,Yes,No,No,No
2005-12-12,Bill,13-Week,912795WT4,2.320000,,3.820000,,3.790000,,3.770000,1800000000,2448059200,4820805700,,,,,Yes,No,No,No
2005-12-12,Bill,26-Week,912795XG1,2.110000,,4.180000,,4.150000,,4.120000,1600000000,2238324500,4016517300,,,,,No,No,No,No
2005-12-08,Note,9-Year 11-,912828EN6,2.190000,4.4900,,4.460000,,4.400000,,8000000000,8000068000,1751943200,,,,,Yes,No,No,No
2005-12-07,Note,5-Year,912828EQ9,2.380000,4.4350,,4.400000,,4.300000,,1300000000,1300005100,3089139900,,,,,No,No,No,No
2005-12-07,Bill,7-Day,912795WE7,3.050000,,4.080000,,4.050000,,4.030000,1100000000,1100009000,3353500000,,,,,Yes,Yes,No,No
2005-12-06,Bill,4-Week,912795WH0,2.330000,,3.750000,,3.715000,,3.650000,1600000000,1893389500,4028137000,,,,,Yes,No,No,No
2005-12-05,Bill,13-Week,912795WS6,2.340000,,3.930000,,3.915000,,3.890000,1800000000,2463353500,4870633500,,,,,Yes,No,No,No
2005-12-05,Bill,26-Week,912795XF3,2.500000,,4.185000,,4.175000,,4.150000,1600000000,2256200700,4648371100,,,,,No,No,No,No
2005-11-30,Bill,13-Day,912795WE7,3.240000,,3.960000,,3.950000,,3.900000,1800000000,1800001500,5834000000,,,,,Yes,Yes,No,No
2005-11-29,Bill,14-Day,912795WE7,2.280000,,3.980000,,3.960000,,3.930000,2000000000,2000046500,4565800000,,,,,Yes,Yes,No,No
2005-11-29,Bill,4-Week,912795WG2,1.900000,,3.920000,,3.880000,,3.850000,2000000000,2333443900,4140633400,,,,,Yes,No,No,No
2005-11-28,Bill,13-Week,912795WR8,2.340000,,3.900000,,3.885000,,3.870000,1800000000,2447407800,4853929800,,,,,Yes,No,No,No
2005-11-28,Bill,26-Week,912795XE6,2.310000,,4.155000,,4.140000,,4.120000,1600000000,2248482200,4338544200,,,,,No,No,No,No
2005-11-23,Note,2-Year,912828EP1,2.160000,4.3490,,4.319000,,4.290000,,2000000000,2666667500,4983158500,,,,,No,No,No,No
2005-11-22,Bill,4-Week,912795WF4,2.290000,,3.875000,,3.860000,,3.830000,2400000000,2689127200,5795827200,,,,,Yes,No,No,No
2005-11-21,Bill,13-Week,912795WQ0,2.590000,,3.940000,,3.930000,,3.920000,1800000000,2521332200,5382578000,,,,,Yes,No,No,No
2005-11-21,Bill,26-Week,912795XD8,2.520000,,4.155000,,4.145000,,4.135000,1600000000,2243306900,4676560000,,,,,No,No,No,No
2005-11-15,Bill,4-Week,912795WE7,2.140000,,3.930000,,3.910000,,3.900000,2400000000,2679140100,5415690100,,,,,Yes,No,No,No
2005-11-14,Bill,13-Week,912795WP2,2.120000,,3.910000,,3.900000,,3.870000,1800000000,2520174800,4528512200,,,,,Yes,No,No,No
2005-11-14,Bill,26-Week,912795XC0,2.380000,,4.195000,,4.180000,,4.170000,1600000000,2241816300,4453221500,,,,,No,No,No,No
2005-11-10,Note,10-Year,912828EN6,2.240000,4.5780,,4.565000,,4.500000,,1300000000,1522058700,3129688700,,,,,No,No,No,No
2005-11-09,Note,5-Year,912828EM8,2.610000,4.5250,,4.502000,,4.450000,,1300000000,1596080300,3694494500,,,,,No,No,No,No
2005-11-08,Note,3-Year,912828EL0,2.420000,4.4580,,4.440000,,4.410000,,1800000000,2144933500,4696445500,,,,,No,No,No,No
2005-11-08,Bill,4-Week,912795WD9,2.020000,,3.820000,,3.780000,,3.750000,2200000000,2454414600,4707842600,,,,,Yes,No,No,No
2005-11-07,Bill,13-Week,912795WN7,2.300000,,3.870000,,3.860000,,3.850000,1900000000,2567801400,5034647400,,,,,Yes,No,No,No
2005-11-07,Bill,26-Week,912795XB2,2.010000,,4.155000,,4.140000,,4.125000,1700000000,2370250100,4084042900,,,,,No,No,No,No
2005-11-07,Bill,1-Day,912795VZ1,5.130000,,3.850000,,3.820000,,3.750000,4000000000,4000083000,2051250000,,,,,Yes,Yes,No,No
2005-11-01,Bill,4-Week,912795WC1,2.660000,,3.725000,,3.710000,,3.700000,1500000000,1776185200,4263265700,,,,,Yes,No,No,No
2005-10-31,Bill,13-Week,912795WM9,2.350000,,3.890000,,3.870000,,3.850000,1900000000,2615798200,5181829400,,,,,Yes,No,No,No
2005-10-31,Bill,26-Week,912795XA4,2.000000,,4.125000,,4.105000,,4.090000,1700000000,2377765300,4083100300,,,,,No,No,No,No
2005-10-26,Note,2-Year,912828EK2,2.210000,4.3650,,4.342000,,4.300000,,2000000000,2655066300,5082519800,,,,,No,No,No,No
2005-10-25,Note,4-Year 6-M,912828CZ1,1.650000,1.7400,,1.690000,,1.600000,,7000000000,7000032000,1157521400,,,,,Yes,No,Yes,No
2005-10-25,Bill,4-Week,912795WB3,2.120000,,3.635000,,3.610000,,3.580000,1800000000,2125828900,4146828900,,,,,Yes,No,No,No
2005-10-24,Bill,13-Week,912795WL1,2.110000,,3.850000,,3.825000,,3.800000,1900000000,2629934900,4742312900,,,,,Yes,No,No,No
2005-10-24,Bill,26-Week,912795WZ0,2.150000,,4.065000,,4.050000,,4.030000,1700000000,2370772200,4320312200,,,,,No,No,No,No
2005-10-18,Bill,4-Week,912795WA5,2.690000,,3.520000,,3.500000,,3.480000,1300000000,1676677000,3872136000,,,,,Yes,No,No,No
2005-10-17,Bill,13-Week,912795WK3,2.050000,,3.785000,,3.770000,,3.740000,1800000000,2453355700,4338465700,,,,,Yes,No,No,No
2005-10-17,Bill,26-Week,912795WY3,2.080000,,4.015000,,3.995000,,3.970000,1600000000,2249352900,3969742400,,,,,No,No,No,No
2005-10-13,Note,9-Year 9-M,912828EA4,2.110000,1.9790,,1.940000,,1.000000,,8000000000,8000006000,1687548100,,,,,Yes,No,Yes,No
2005-10-12,Note,5-Year,912828EJ5,2.750000,4.2700,,4.259000,,4.220000,,1300000000,1300042400,3574898500,,,,,No,No,No,No
2005-10-12,Bill,4-Week,912795VZ1,3.180000,,3.460000,,3.450000,,3.430000,1000000000,1361567100,3539342100,,,,,Yes,No,No,No
2005-10-11,Bill,13-Week,912795WJ6,1.990000,,3.630000,,3.600000,,3.580000,1800000000,2507836600,4295529600,,,,,Yes,No,No,No
2005-10-11,Bill,26-Week,912795WX5,1.720000,,3.950000,,3.920000,,3.890000,1600000000,2236562000,3384878400,,,,,No,No,No,No
2005-10-05,Bill,11-Day,912795TQ4,2.680000,,3.500000,,3.490000,,3.420000,1300000000,1300013300,3487001800,,,,,No,Yes,No,No
2005-10-04,Bill,4-Week,912795VY4,3.120000,,3.295000,,3.280000,,3.250000,8000000000,1163671300,2857862600,,,,,Yes,No,No,No
2005-10-03,Bill,13-Week,912795WH0,2.070000,,3.525000,,3.505000,,3.490000,1700000000,2427732800,4241166800,,,,,Yes,No,No,No
2005-10-03,Bill,26-Week,912795WW7,2.010000,,3.870000,,3.840000,,3.810000,1500000000,2136442700,3645905700,,,,,No,No,No,No
2005-09-28,Note,2-Year,912828EH9,2.580000,4.0950,,4.075000,,4.000000,,2000000000,2658515300,5814734000,,,,,No,No,No,No
2005-09-27,Bill,4-Week,912795VX6,3.370000,,3.150000,,3.130000,,3.100000,8000000000,1245028500,3141755000,,,,,Yes,No,No,No
2005-09-26,Bill,13-Week,912795WG2,2.280000,,3.440000,,3.415000,,3.400000,1700000000,2391126800,4570366800,,,,,Yes,No,No,No
2005-09-26,Bill,26-Week,912795WV9,2.120000,,3.745000,,3.720000,,3.700000,1500000000,2120400200,3800385200,,,,,No,No,No,No
2005-09-20,Bill,4-Week,912795VW8,3.160000,,3.210000,,3.190000,,3.170000,8000000000,1215789000,2942089000,,,,,Yes,No,No,No
2005-09-19,Bill,13-Week,912795WF4,2.250000,,3.495000,,3.475000,,3.410000,1700000000,2386599100,4509611100,,,,,Yes,No,No,No
2005-09-19,Bill,26-Week,912795WU1,2.110000,,3.715000,,3.690000,,3.670000,1500000000,2115209000,3782651000,,,,,No,No,No,No
2005-09-13,Bill,4-Week,912795VV0,3.450000,,3.230000,,3.210000,,3.180000,8000000000,1222753800,3185989300,,,,,Yes,No,No,No
2005-09-12,Bill,13-Week,912795WE7,2.150000,,3.450000,,3.440000,,3.430000,1700000000,2423906300,4373494300,,,,,Yes,No,No,No
2005-09-12,Bill,26-Week,912795WT4,1.960000,,3.670000,,3.655000,,3.640000,1500000000,2123925800,3560944000,,,,,No,No,No,No
2005-09-08,Note,9-Year 11-,912828EE6,2.680000,4.1340,,4.119000,,4.080000,,8000000000,8000006000,2144491300,,,,,Yes,No,No,No
2005-09-07,Note,5-Year,912828EG1,2.610000,3.9020,,3.878000,,3.850000,,1300000000,1300003500,3396765500,,,,,No,No,No,No
2005-09-07,Bill,4-Week,912795VU2,2.970000,,3.245000,,3.230000,,3.200000,1000000000,1384178800,3359151300,,,,,Yes,No,No,No
2005-09-06,Bill,6-Day,912795TP6,3.630000,,3.450000,,3.430000,,3.420000,8000000000,8000240000,2907500000,,,,,No,Yes,No,No
2005-09-06,Bill,13-Week,912795WD9,1.940000,,3.435000,,3.420000,,3.410000,1700000000,2430678600,4023678800,,,,,Yes,No,No,No
2005-09-06,Bill,26-Week,912795WS6,1.950000,,3.570000,,3.560000,,3.545000,1500000000,2132042400,3555941400,,,,,No,No,No,No
2005-08-31,Bill,13-Day,912795VR9,2.510000,,3.470000,,3.460000,,3.440000,2000000000,2000017600,5018000000,,,,,Yes,Yes,No,No
2005-08-30,Bill,14-Day,912795VR9,2.270000,,3.470000,,3.445000,,3.420000,1800000000,1800018000,4091000000,,,,,Yes,Yes,No,No
2005-08-30,Bill,4-Week,912795VT5,2.250000,,3.395000,,3.380000,,3.360000,1500000000,1894262100,3766477100,,,,,Yes,No,No,No
2005-08-29,Bill,13-Week,912795WC1,2.230000,,3.495000,,3.475000,,3.450000,1700000000,2439323300,4523669800,,,,,Yes,No,No,No
2005-08-29,Bill,26-Week,912795WR8,2.390000,,3.705000,,3.690000,,3.650000,1500000000,2127113500,4210357000,,,,,No,No,No,No
2005-08-24,Note,2-Year,912828EF3,2.280000,4.0140,,3.997000,,3.967000,,2000000000,2666668300,5219565300,,,,,No,No,No,No
2005-08-23,Bill,4-Week,912795VS7,2.450000,,3.275000,,3.265000,,3.200000,1600000000,1896177400,4221123400,,,,,Yes,No,No,No
2005-08-22,Bill,13-Week,912795WB3,2.430000,,3.460000,,3.450000,,3.440000,1800000000,2538814700,5108267300,,,,,Yes,No,No,No
2005-08-22,Bill,26-Week,912795WQ0,2.570000,,3.690000,,3.680000,,3.660000,1600000000,2238919800,4757780800,,,,,No,No,No,No
2005-08-16,Bill,4-Week,912795VR9,2.520000,,3.260000,,3.255000,,3.230000,1600000000,1953710600,4385524400,,,,,Yes,No,No,No
2005-08-15,Bill,13-Week,912795WA5,2.310000,,3.470000,,3.460000,,3.450000,1800000000,2453295400,4806068100,,,,,Yes,No,No,No
