date,AORRLFCRT
2023-09-11,2054.0
2023-09-12,2054.0
2023-09-13,2054.0
2023-09-14,2054.0
2023-09-15,2055.0
2023-09-18,2055.0
2023-09-19,2055.0
2023-09-20,2056.0
2023-09-21,2056.0
2023-09-22,2056.0
2023-09-25,2057.0
2023-09-26,2057.0
2023-09-27,2057.0
2023-09-28,2057.0
2023-09-29,2058.0
2023-10-02,2041.0
2023-10-03,2041.0
2023-10-04,2041.0
2023-10-05,2042.0
2023-10-06,2042.0
2023-10-09,2043.0
2023-10-10,2043.0
2023-10-11,2043.0
2023-10-12,2043.0
2023-10-13,2043.0
2023-10-16,2044.0
2023-10-17,2044.0
2023-10-18,2045.0
2023-10-19,2045.0
2023-10-20,2045.0
2023-10-23,2046.0
2023-10-24,2046.0
2023-10-25,2046.0
2023-10-26,2046.0
2023-10-27,2047.0
2023-10-30,2047.0
2023-10-31,2047.0
2023-11-01,2041.0
2023-11-02,2041.0
2023-11-03,2041.0
2023-11-06,2042.0
2023-11-07,2042.0
2023-11-08,2044.0
2023-11-09,2044.0
2023-11-10,2044.0
2023-11-13,2045.0
2023-11-14,2045.0
2023-11-15,2046.0
2023-11-16,2046.0
2023-11-17,2046.0
2023-11-20,2047.0
2023-11-21,2047.0
2023-11-22,2047.0
2023-11-23,2048.0
2023-11-24,2048.0
2023-11-27,2048.0
2023-11-28,2049.0
2023-11-29,2049.0
2023-11-30,2049.0
2023-12-01,2047.0
2023-12-04,2048.0
2023-12-05,2048.0
2023-12-06,2048.0
2023-12-07,2049.0
2023-12-08,2049.0
2023-12-11,2050.0
2023-12-12,2050.0
2023-12-13,2050.0
2023-12-14,2050.0
2023-12-15,2051.0
2023-12-18,2051.0
2023-12-19,2052.0
2023-12-20,2052.0
2023-12-21,2052.0
2023-12-22,2052.0
2023-12-27,2054.0
2023-12-28,2054.0
2023-12-29,2054.0
2024-01-02,2057.0
2024-01-03,2058.0
2024-01-04,2058.0
2024-01-05,2058.0
2024-01-08,2059.0
2024-01-09,2059.0
2024-01-10,2059.0
2024-01-11,2060.0
2024-01-12,2060.0
2024-01-15,2061.0
2024-01-16,2061.0
2024-01-17,2061.0
2024-01-18,2061.0
2024-01-19,2062.0
2024-01-22,2062.0
2024-01-23,2062.0
2024-01-24,2063.0
2024-01-25,2063.0
2024-01-29,2064.0
2024-01-30,2064.0
2024-01-31,2064.0
2024-02-01,2361.0
2024-02-02,2362.0
2024-02-05,2362.0
2024-02-06,2363.0
2024-02-07,2363.0
2024-02-08,2363.0
2024-02-09,2364.0
2024-02-12,2364.0
2024-02-13,2365.0
2024-02-14,2365.0
2024-02-15,2365.0
2024-02-16,2365.0
2024-02-19,2366.0
2024-02-20,2367.0
2024-02-21,2367.0
2024-02-22,2367.0
2024-02-23,2367.0
2024-02-26,2368.0
2024-02-27,2368.0
2024-02-28,2369.0
2024-02-29,2369.0
2024-03-01,2360.0
2024-03-04,2361.0
2024-03-05,2361.0
2024-03-06,2361.0
2024-03-07,2361.0
2024-03-08,2362.0
2024-03-11,2362.0
2024-03-12,2363.0
2024-03-13,2363.0
2024-03-14,2363.0
2024-03-15,2364.0
2024-03-18,2364.0
2024-03-19,2365.0
2024-03-20,2365.0
2024-03-21,2365.0
2024-03-22,2365.0
2024-03-25,2366.0
2024-03-26,2367.0
2024-03-27,2367.0
2024-03-28,2367.0
2024-04-02,2059.0
2024-04-03,2059.0
2024-04-04,2060.0
2024-04-05,2060.0
2024-04-08,2061.0
2024-04-09,2061.0
2024-04-10,2061.0
2024-04-11,2061.0
2024-04-12,2062.0
2024-04-15,2062.0
2024-04-16,2062.0
2024-04-17,2063.0
2024-04-18,2063.0
2024-04-19,2063.0
2024-04-22,2064.0
2024-04-23,2064.0
2024-04-24,2064.0
2024-04-26,2065.0
2024-04-29,2066.0
2024-04-30,2066.0
2024-05-01,2062.0
2024-05-02,2063.0
2024-05-03,2063.0
2024-05-06,2064.0
2024-05-07,2064.0
2024-05-08,2064.0
2024-05-09,2064.0
2024-05-10,2065.0
2024-05-13,2065.0
2024-05-14,2066.0
2024-05-15,2066.0
2024-05-16,2066.0
2024-05-17,2066.0
2024-05-20,2067.0
2024-05-21,2067.0
2024-05-22,2068.0
2024-05-23,2068.0
2024-05-24,2068.0
2024-05-27,2069.0
2024-05-28,2069.0
2024-05-29,2069.0
2024-05-30,2069.0
2024-05-31,2070.0
2024-06-03,2062.0
2024-06-04,2063.0
2024-06-05,2063.0
2024-06-06,2063.0
2024-06-07,2063.0
2024-06-11,2064.0
2024-06-12,2065.0
2024-06-13,2065.0
2024-06-14,2065.0
2024-06-17,2066.0
2024-06-18,2066.0
2024-06-19,2066.0
2024-06-20,2067.0
2024-06-21,2067.0
2024-06-24,2067.0
2024-06-25,2118.0
2024-06-26,2118.0
2024-06-27,2118.0
2024-06-28,2119.0
2024-07-01,2551.0
2024-07-02,2551.0
2024-07-03,2551.0
2024-07-04,2551.0
2024-07-05,2552.0
2024-07-08,2553.0
2024-07-09,2553.0
2024-07-10,2553.0
2024-07-11,2554.0
2024-07-12,2554.0
2024-07-15,2555.0
2024-07-16,2555.0
2024-07-17,2555.0
2024-07-18,2556.0
2024-07-19,2556.0
2024-07-22,2557.0
2024-07-23,2557.0
2024-07-24,2557.0
2024-07-25,2558.0
2024-07-26,2558.0
2024-07-29,2559.0
2024-07-30,2559.0
2024-07-31,2559.0
2024-08-01,2262.0
2024-08-02,2262.0
2024-08-05,2263.0
2024-08-06,2263.0
2024-08-07,2263.0
2024-08-08,2264.0
2024-08-09,2264.0
2024-08-12,2265.0
2024-08-13,2265.0
2024-08-14,2265.0
2024-08-15,2265.0
2024-08-16,2266.0
2024-08-19,2266.0
2024-08-20,2267.0
2024-08-21,2267.0
2024-08-22,2267.0
2024-08-23,2267.0
2024-08-26,2268.0
2024-08-27,2269.0
2024-08-28,2269.0
2024-08-29,2269.0
2024-08-30,2269.0
2024-09-02,2262.0
2024-09-03,2262.0
2024-09-04,2262.0
2024-09-05,2263.0
2024-09-06,2263.0
2024-09-09,2264.0
2024-09-10,2264.0
2024-09-11,2264.0
2024-09-12,2264.0
2024-09-13,2315.0
2024-09-16,2315.0
2024-09-17,2316.0
2024-09-18,2316.0
2024-09-19,2316.0
2024-09-20,2317.0
2024-09-23,2317.0
2024-09-24,2318.0
2024-09-25,2318.0
2024-09-26,2318.0
2024-09-27,2318.0
2024-09-30,2319.0
2024-10-01,2312.0
2024-10-02,2312.0
2024-10-03,2312.0
2024-10-04,2312.0
2024-10-07,2313.0
2024-10-08,2313.0
2024-10-09,2314.0
2024-10-10,2314.0
