date,AORROMO
2023-09-11,11384.0
2023-09-12,11385.0
2023-09-13,11609.0
2023-09-14,11610.0
2023-09-15,11611.0
2023-09-18,11615.0
2023-09-19,11618.0
2023-09-20,11221.0
2023-09-21,11225.0
2023-09-22,11224.0
2023-09-25,11228.0
2023-09-26,11229.0
2023-09-27,11136.0
2023-09-28,11137.0
2023-09-29,11139.0
2023-10-02,11142.0
2023-10-03,11144.0
2023-10-04,11985.0
2023-10-05,11987.0
2023-10-06,11988.0
2023-10-09,11992.0
2023-10-10,11995.0
2023-10-11,11762.0
2023-10-12,11763.0
2023-10-13,11764.0
2023-10-16,11768.0
2023-10-17,11769.0
2023-10-18,11744.0
2023-10-19,11746.0
2023-10-20,11747.0
2023-10-23,11751.0
2023-10-24,11753.0
2023-10-25,11269.0
2023-10-26,11271.0
2023-10-27,11272.0
2023-10-30,11275.0
2023-10-31,11277.0
2023-11-01,12701.0
2023-11-02,12703.0
2023-11-03,12704.0
2023-11-06,12708.0
2023-11-07,12710.0
2023-11-08,12076.0
2023-11-09,12078.0
2023-11-10,12079.0
2023-11-13,12083.0
2023-11-14,12086.0
2023-11-15,10935.0
2023-11-16,10937.0
2023-11-17,10937.0
2023-11-20,10941.0
2023-11-21,10942.0
2023-11-22,10452.0
2023-11-23,10453.0
2023-11-24,10454.0
2023-11-27,10460.0
2023-11-28,10459.0
2023-11-29,9510.0
2023-11-30,9511.0
2023-12-01,9512.0
2023-12-04,9516.0
2023-12-05,9517.0
2023-12-06,9858.0
2023-12-07,9860.0
2023-12-08,9861.0
2023-12-11,9864.0
2023-12-12,9866.0
2023-12-13,10736.0
2023-12-14,10738.0
2023-12-15,10739.0
2023-12-18,10743.0
2023-12-19,10744.0
2023-12-20,12760.0
2023-12-21,12761.0
2023-12-22,12763.0
2023-12-27,13012.0
2023-12-28,13013.0
2023-12-29,13015.0
2024-01-02,13021.0
2024-01-03,12108.0
2024-01-04,12109.0
2024-01-05,12111.0
2024-01-08,12115.0
2024-01-09,12117.0
2024-01-10,11187.0
2024-01-11,11189.0
2024-01-12,11190.0
2024-01-15,11194.0
2024-01-16,11195.0
2024-01-17,9285.0
2024-01-18,9287.0
2024-01-19,9287.0
2024-01-22,9290.0
2024-01-23,9292.0
2024-01-24,8142.0
2024-01-25,8144.0
2024-01-29,8147.0
2024-01-30,8148.0
2024-01-31,8451.0
2024-02-01,8452.0
2024-02-02,8453.0
2024-02-05,8456.0
2024-02-06,8457.0
2024-02-07,8585.0
2024-02-08,8586.0
2024-02-09,8587.0
2024-02-12,8590.0
2024-02-13,8591.0
2024-02-14,8528.0
2024-02-15,8529.0
2024-02-16,8530.0
2024-02-19,8533.0
2024-02-20,8534.0
2024-02-21,8802.0
2024-02-22,8803.0
2024-02-23,8804.0
2024-02-26,8807.0
2024-02-27,8809.0
2024-02-28,8752.0
2024-02-29,8753.0
2024-03-01,8755.0
2024-03-04,8758.0
2024-03-05,8760.0
2024-03-06,8642.0
2024-03-07,8643.0
2024-03-08,8644.0
2024-03-11,8647.0
2024-03-12,8648.0
2024-03-13,7766.0
2024-03-14,7767.0
2024-03-15,7768.0
2024-03-18,7771.0
2024-03-19,7772.0
2024-03-20,7324.0
2024-03-21,7325.0
2024-03-22,7326.0
2024-03-25,7329.0
2024-03-26,7329.0
2024-03-27,8638.0
2024-03-28,8639.0
2024-04-02,8644.0
2024-04-03,8974.0
2024-04-04,8975.0
2024-04-05,8977.0
2024-04-08,8979.0
2024-04-09,8980.0
2024-04-10,9722.0
2024-04-11,9723.0
2024-04-12,9724.0
2024-04-15,9728.0
2024-04-16,9729.0
2024-04-17,10018.0
2024-04-18,10019.0
2024-04-19,10020.0
2024-04-22,10024.0
2024-04-23,10025.0
2024-04-24,9082.0
2024-04-26,9084.0
2024-04-29,9087.0
2024-04-30,9089.0
2024-05-01,10302.0
2024-05-02,10303.0
2024-05-03,10304.0
2024-05-06,10308.0
2024-05-07,10309.0
2024-05-08,10823.0
2024-05-09,10825.0
2024-05-10,10826.0
2024-05-13,10831.0
2024-05-14,10831.0
2024-05-15,12186.0
2024-05-16,12189.0
2024-05-17,12189.0
2024-05-20,12193.0
2024-05-21,12196.0
2024-05-22,12492.0
2024-05-23,12497.0
2024-05-24,12495.0
2024-05-27,12499.0
2024-05-28,12502.0
2024-05-29,12501.0
2024-05-30,12503.0
2024-05-31,12504.0
2024-06-03,12509.0
2024-06-04,12511.0
2024-06-05,12671.0
2024-06-06,12672.0
2024-06-07,12674.0
2024-06-11,12680.0
2024-06-12,13712.0
2024-06-13,13714.0
2024-06-14,13716.0
2024-06-17,13721.0
2024-06-18,13723.0
2024-06-19,14920.0
2024-06-20,14922.0
2024-06-21,14923.0
2024-06-24,14929.0
2024-06-25,14931.0
2024-06-26,16513.0
2024-06-27,16515.0
2024-06-28,16517.0
2024-07-01,16523.0
2024-07-02,16525.0
2024-07-03,17999.0
2024-07-04,18001.0
2024-07-05,18003.0
2024-07-08,18010.0
2024-07-09,18012.0
2024-07-10,19307.0
2024-07-11,19309.0
2024-07-12,19311.0
2024-07-15,19318.0
2024-07-16,19321.0
2024-07-17,19870.0
2024-07-18,19873.0
2024-07-19,19875.0
2024-07-22,19882.0
2024-07-23,19885.0
2024-07-24,22673.0
2024-07-25,22676.0
2024-07-26,22678.0
2024-07-29,22687.0
2024-07-30,22689.0
2024-07-31,27153.0
2024-08-01,27156.0
2024-08-02,27159.0
2024-08-05,27169.0
2024-08-06,27172.0
2024-08-07,31119.0
2024-08-08,31123.0
2024-08-09,31126.0
2024-08-12,31137.0
2024-08-13,31141.0
2024-08-14,31964.0
2024-08-15,31968.0
2024-08-16,31970.0
2024-08-19,31982.0
2024-08-20,31986.0
2024-08-21,31366.0
2024-08-22,31371.0
2024-08-23,31373.0
2024-08-26,31385.0
2024-08-27,31389.0
2024-08-28,26867.0
2024-08-29,26870.0
2024-08-30,26873.0
2024-09-02,26882.0
2024-09-03,26885.0
2024-09-04,21675.0
2024-09-05,21677.0
2024-09-06,21680.0
2024-09-09,21688.0
2024-09-10,21690.0
2024-09-11,20980.0
2024-09-12,20982.0
2024-09-13,20984.0
2024-09-16,20992.0
2024-09-17,20994.0
2024-09-18,22403.0
2024-09-19,22407.0
2024-09-20,22408.0
2024-09-23,22416.0
2024-09-24,22419.0
2024-09-25,27787.0
2024-09-26,27791.0
2024-09-27,27794.0
2024-09-30,27804.0
2024-10-01,27808.0
2024-10-02,30988.0
2024-10-03,30992.0
2024-10-04,30995.0
2024-10-07,31006.0
2024-10-08,31010.0
2024-10-09,31110.0
2024-10-10,31113.0
2024-10-11,31117.0
2024-10-14,31128.0
2024-10-15,31132.0
2024-10-16,30666.0
2024-10-17,30669.0
2024-10-18,30673.0
2024-10-21,30684.0
2024-10-22,30687.0
2024-10-23,25228.0
2024-10-24,25233.0
2024-10-25,25234.0
2024-10-28,25243.0
2024-10-29,25246.0
2024-10-30,26375.0
2024-10-31,26378.0
2024-11-01,26381.0
2024-11-04,26390.0
2024-11-05,26393.0
2024-11-06,28672.0
2024-11-07,28675.0
2024-11-08,28678.0
2024-11-11,28689.0
2024-11-12,28692.0
2024-11-13,28204.0
2024-11-14,28207.0
2024-11-15,28210.0
2024-11-18,28220.0
2024-11-19,28224.0
2024-11-20,29602.0
2024-11-21,29606.0
2024-11-22,29609.0
2024-11-25,29619.0
2024-11-26,29621.0
2024-11-27,27038.0
2024-11-28,27042.0
2024-11-29,27044.0
2024-12-02,27054.0
2024-12-03,27057.0
2024-12-04,26717.0
2024-12-05,26721.0
2024-12-06,26723.0
2024-12-09,26731.0
2024-12-10,26734.0
2024-12-11,24818.0
2024-12-12,24820.0
2024-12-13,24823.0
2024-12-16,24832.0
2024-12-17,24835.0
2024-12-18,28121.0
2024-12-19,28124.0
2024-12-20,28127.0
2024-12-23,28138.0
2024-12-24,28141.0
2024-12-27,27065.0
2024-12-30,27075.0
2024-12-31,27078.0
2025-01-02,26137.0
2025-01-03,26140.0
2025-01-06,26149.0
2025-01-07,26153.0
2025-01-08,25171.0
2025-01-09,25174.0
2025-01-10,25177.0
2025-01-13,25186.0
2025-01-14,25189.0
2025-01-15,23271.0
2025-01-16,23275.0
2025-01-17,23277.0
2025-01-20,23285.0
2025-01-21,23287.0
2025-01-22,23597.0
2025-01-23,23599.0
2025-01-24,23602.0
2025-01-28,23613.0
2025-01-29,25023.0
2025-01-30,25026.0
2025-01-31,25029.0
2025-02-03,25038.0
2025-02-04,25041.0
2025-02-05,26742.0
2025-02-06,26745.0
2025-02-07,26748.0
2025-02-10,26758.0
2025-02-11,26761.0
2025-02-12,25716.0
2025-02-13,25719.0
2025-02-14,25722.0
2025-02-17,25731.0
2025-02-18,25734.0
2025-02-19,24468.0
2025-02-20,24471.0
2025-02-21,24473.0
2025-02-24,24482.0
2025-02-25,24484.0
2025-02-26,24980.0
2025-02-27,24983.0
2025-02-28,24985.0
2025-03-03,24994.0
2025-03-04,24997.0
2025-03-05,25669.0
2025-03-06,25672.0
2025-03-07,25675.0
2025-03-10,25684.0
2025-03-11,25687.0
2025-03-12,25758.0
2025-03-13,25763.0
2025-03-14,25764.0
2025-03-17,25773.0
2025-03-18,25777.0
2025-03-19,26363.0
2025-03-20,26366.0
2025-03-21,26369.0
2025-03-24,26378.0
2025-03-25,26381.0
2025-03-26,27971.0
2025-03-27,27975.0
2025-03-28,27977.0
2025-03-31,27986.0
2025-04-01,27990.0
2025-04-02,27078.0
2025-04-03,27081.0
2025-04-04,27084.0
2025-04-07,27094.0
2025-04-08,27097.0
2025-04-09,28557.0
2025-04-10,28561.0
2025-04-11,28563.0
2025-04-14,28573.0
2025-04-15,28576.0
2025-04-16,29216.0
2025-04-17,29220.0
2025-04-22,29237.0
2025-04-23,27515.0
2025-04-24,27518.0
2025-04-28,27531.0
2025-04-29,27534.0
