date,ARBAATAW
2020-09-09,299042.0
2020-09-16,296677.0
2020-09-23,299846.0
2020-09-30,304094.0
2020-10-07,303297.0
2020-10-14,299323.0
2020-10-21,294952.0
2020-10-28,295791.0
2020-11-04,295139.0
2020-11-11,299668.0
2020-11-18,307323.0
2020-11-25,300575.0
2020-12-02,306766.0
2020-12-09,313714.0
2020-12-16,319140.0
2020-12-23,325069.0
2020-12-30,322210.0
2021-01-06,325352.0
2021-01-13,324663.0
2021-01-20,330453.0
2021-01-27,334205.0
2021-02-03,343743.0
2021-02-10,346836.0
2021-02-17,348739.0
2021-02-24,352957.0
2021-03-03,375889.0
2021-03-10,382718.0
2021-03-17,384801.0
2021-03-24,391800.0
2021-03-31,399440.0
2021-04-07,400002.0
2021-04-14,408813.0
2021-04-21,411262.0
2021-04-28,417076.0
2021-05-05,423176.0
2021-05-12,431750.0
2021-05-19,435952.0
2021-05-26,450842.0
2021-06-02,461875.0
2021-06-09,479357.0
2021-06-16,491184.0
2021-06-23,510679.0
2021-06-30,539873.0
2021-07-07,543487.0
2021-07-14,550355.0
2021-07-21,559360.0
2021-07-28,564169.0
2021-08-04,567496.0
2021-08-11,571014.0
2021-08-18,582534.0
2021-08-25,587333.0
2021-09-01,575032.0
2021-09-08,579872.0
2021-09-15,586602.0
2021-09-22,589853.0
2021-09-29,591441.0
2021-10-06,587623.0
2021-10-13,590190.0
2021-10-20,591054.0
2021-10-27,593783.0
2021-11-03,595595.0
2021-11-10,601838.0
2021-11-17,603248.0
2021-11-24,608072.0
2021-12-01,615750.0
2021-12-08,623224.0
2021-12-15,630372.0
2021-12-22,633476.0
2021-12-29,633600.0
2022-01-05,631912.0
2022-01-12,633814.0
2022-01-19,636060.0
2022-01-26,638222.0
2022-02-02,643915.0
2022-02-09,647054.0
2022-02-16,644650.0
2022-02-23,641996.0
2022-03-02,647450.0
2022-03-09,640167.0
2022-03-16,638457.0
2022-03-23,629750.0
2022-03-30,628348.0
2022-04-06,621158.0
2022-04-13,621695.0
2022-04-20,620446.0
2022-04-27,621050.0
2022-05-04,610813.0
2022-05-11,617224.0
2022-05-18,617050.0
2022-05-25,618946.0
2022-06-01,613080.0
2022-06-08,609386.0
2022-06-15,600786.0
2022-06-22,607082.0
2022-06-29,612646.0
2022-07-06,620191.0
2022-07-13,620446.0
2022-07-20,613860.0
2022-07-27,616927.0
2022-08-03,622632.0
2022-08-10,620303.0
2022-08-17,619644.0
2022-08-24,613861.0
2022-08-31,614339.0
2022-09-07,613986.0
2022-09-14,616128.0
2022-09-21,617666.0
2022-09-28,616591.0
2022-10-05,623743.0
2022-10-12,623576.0
2022-10-19,621540.0
2022-10-26,618097.0
2022-11-02,620860.0
2022-11-09,622910.0
2022-11-16,624995.0
2022-11-23,623426.0
2022-11-30,624209.0
2022-12-07,628023.0
2022-12-14,628630.0
2022-12-21,630140.0
2022-12-28,624938.0
2023-01-04,626383.0
2023-01-11,623065.0
2023-01-18,626642.0
2023-01-25,624695.0
2023-02-01,625600.0
2023-02-08,621263.0
2023-02-15,619544.0
2023-02-22,618545.0
2023-03-01,619231.0
2023-03-08,623862.0
2023-03-15,626358.0
2023-03-22,630138.0
2023-03-29,637867.0
2023-04-05,636806.0
2023-04-12,636940.0
2023-04-19,633248.0
2023-04-26,618412.0
2023-05-03,614189.0
2023-05-10,610933.0
2023-05-17,616897.0
2023-05-24,612963.0
2023-05-31,615085.0
2023-06-07,609176.0
2023-06-14,600327.0
2023-06-21,596791.0
2023-06-28,603442.0
2023-07-05,601988.0
2023-07-12,601777.0
2023-07-19,596227.0
2023-07-26,592893.0
2023-08-02,590845.0
2023-08-09,592674.0
2023-08-16,587632.0
2023-08-23,582994.0
2023-08-30,579844.0
2023-09-06,573085.0
2023-09-13,567530.0
2023-09-20,559544.0
2023-09-27,541881.0
2023-10-04,533761.0
2023-10-11,535101.0
2023-10-18,533941.0
2023-10-25,532899.0
2023-11-01,528551.0
2023-11-08,533370.0
2023-11-15,530679.0
2023-11-22,531540.0
2023-11-29,528160.0
2023-12-06,531386.0
2023-12-13,533569.0
2023-12-20,530624.0
2023-12-27,531466.0
2024-01-03,534722.0
2024-01-10,531010.0
2024-01-17,528637.0
2024-01-24,530347.0
2024-01-31,529180.0
2024-02-07,535086.0
2024-02-14,533887.0
2024-02-21,534193.0
2024-02-28,529157.0
2024-03-06,528356.0
2024-03-13,526877.0
2024-03-20,527362.0
2024-03-27,531303.0
2024-04-03,529999.0
2024-04-10,525934.0
2024-04-17,528038.0
2024-04-24,496410.0
2024-05-01,498838.0
2024-05-08,501493.0
2024-05-15,493619.0
2024-05-22,487275.0
2024-05-29,478301.0
2024-06-05,468925.0
2024-06-12,457222.0
2024-06-19,449342.0
2024-06-26,425914.0
2024-07-03,419032.0
2024-07-10,420173.0
2024-07-17,421162.0
2024-07-24,427110.0
2024-07-31,433565.0
2024-08-07,436992.0
2024-08-14,437424.0
2024-08-21,433794.0
2024-08-28,426009.0
2024-09-04,419645.0
2024-09-11,421532.0
2024-09-18,424168.0
2024-09-25,428716.0
2024-10-02,433241.0
2024-10-09,433858.0
2024-10-16,434420.0
2024-10-23,432583.0
2024-10-30,430902.0
2024-11-06,432019.0
2024-11-13,426820.0
2024-11-20,431341.0
2024-11-27,416609.0
2024-12-04,417733.0
2024-12-11,422030.0
2024-12-18,420569.0
2024-12-25,418331.0
2025-01-01,418313.0
2025-01-08,418792.0
2025-01-15,415715.0
2025-01-22,416780.0
2025-01-29,420273.0
2025-02-05,420833.0
2025-02-12,417570.0
2025-02-19,422435.0
2025-02-26,420483.0
2025-03-05,423111.0
2025-03-12,425848.0
2025-03-19,429062.0
2025-03-26,423310.0
2025-04-02,432297.0
2025-04-09,436296.0
2025-04-16,437997.0
2025-04-23,409997.0
2025-04-30,407123.0
2025-05-07,404836.0
2025-05-14,395998.0
2025-05-21,395366.0
2025-05-28,393841.0
2025-06-04,396147.0
2025-06-11,395932.0
2025-06-18,397309.0
2025-06-25,401165.0
2025-07-02,400000.0
2025-07-09,405894.0
2025-07-16,399301.0
2025-07-23,394096.0
2025-07-30,393558.0
2025-08-06,392405.0
2025-08-13,393193.0
2025-08-20,394710.0
2025-08-27,395689.0
2025-09-03,393706.0
2025-09-10,392613.0
2025-09-17,394931.0
2025-09-24,396160.0
2025-10-01,401970.0
2025-10-08,400248.0
2025-10-15,402165.0
2025-10-22,399832.0
2025-10-29,400771.0
2025-11-05,400449.0
2025-11-12,399778.0
2025-11-19,403639.0
2025-11-26,375110.0
2025-12-03,376991.0
2025-12-10,378923.0
2025-12-17,379935.0
2025-12-24,377600.0
2025-12-31,378678.0
2026-01-07,378493.0
2026-01-14,377013.0
2026-01-21,373147.0
2026-01-28,369145.0
2026-02-04,369370.0
2026-02-11,366221.0
2026-02-18,369800.0
2026-02-25,368221.0
2026-03-04,369739.0
2026-03-11,365585.0
2026-03-18,374369.0
2026-03-25,371933.0
2026-04-01,377643.0
2026-04-08,374226.0
2026-04-15,380523.0
2026-04-22,354258.0
2026-04-29,353357.0
2026-05-06,357565.0
2026-05-13,360544.0
2026-05-20,359310.0
2026-05-27,354460.0
2026-06-03,355659.0
2026-06-10,356754.0
2026-06-17,361673.0
2026-06-24,366889.0
2026-07-01,363734.0
2026-07-08,363998.0
2026-07-15,359637.0
2026-07-22,360198.0
2026-07-29,360844.0
2026-08-05,360675.0
2026-08-12,358512.0
2026-08-19,361217.0
2026-08-26,358952.0
2026-09-02,357899.0
