date,ARBALDOGIAGW
2020-09-09,94294.0
2020-09-16,90397.0
2020-09-23,99515.0
2020-09-30,108533.0
2020-10-07,98395.0
2020-10-14,97766.0
2020-10-21,101007.0
2020-10-28,95298.0
2020-11-04,98015.0
2020-11-11,94504.0
2020-11-18,84958.0
2020-11-25,84429.0
2020-12-02,85406.0
2020-12-09,84512.0
2020-12-16,72739.0
2020-12-23,75045.0
2020-12-30,73929.0
2021-01-06,73877.0
2021-01-13,52915.0
2021-01-20,52048.0
2021-01-27,59817.0
2021-02-03,49146.0
2021-02-10,46500.0
2021-02-17,49981.0
2021-02-24,61809.0
2021-03-03,63239.0
2021-03-10,58904.0
2021-03-17,59675.0
2021-03-24,69767.0
2021-03-31,60995.0
2021-04-07,58006.0
2021-04-14,58859.0
2021-04-21,77688.0
2021-04-28,77112.0
2021-05-05,80441.0
2021-05-12,79563.0
2021-05-19,57201.0
2021-05-26,60765.0
2021-06-02,68215.0
2021-06-09,64061.0
2021-06-16,65099.0
2021-06-23,73750.0
2021-06-30,61539.0
2021-07-07,50391.0
2021-07-14,48129.0
2021-07-21,55851.0
2021-07-28,49554.0
2021-08-04,46751.0
2021-08-11,42178.0
2021-08-18,43235.0
2021-08-25,57424.0
2021-09-01,53586.0
2021-09-08,50299.0
2021-09-15,52859.0
2021-09-22,63086.0
2021-09-29,50920.0
2021-10-06,50783.0
2021-10-13,44754.0
2021-10-20,48942.0
2021-10-27,44340.0
2021-11-03,44369.0
2021-11-10,41155.0
2021-11-17,43842.0
2021-11-24,51462.0
2021-12-01,71642.0
2021-12-08,71599.0
2021-12-15,70622.0
2021-12-22,58167.0
2021-12-29,56615.0
2022-01-05,58025.0
2022-01-12,37999.0
2022-01-19,37702.0
2022-01-26,40739.0
2022-02-02,40792.0
2022-02-09,38004.0
2022-02-16,35542.0
2022-02-23,45274.0
2022-03-02,52152.0
2022-03-09,48839.0
2022-03-16,46789.0
2022-03-23,60988.0
2022-03-30,55362.0
2022-04-06,57152.0
2022-04-13,48152.0
2022-04-20,68872.0
2022-04-27,68368.0
2022-05-04,67910.0
2022-05-11,63950.0
2022-05-18,63996.0
2022-05-25,78438.0
2022-06-01,88447.0
2022-06-08,87066.0
2022-06-15,83190.0
2022-06-22,96338.0
2022-06-29,90864.0
2022-07-06,89652.0
2022-07-13,73230.0
2022-07-20,50374.0
2022-07-27,52206.0
2022-08-03,50833.0
2022-08-10,45219.0
2022-08-17,41941.0
2022-08-24,59129.0
2022-08-31,61656.0
2022-09-07,60621.0
2022-09-14,56748.0
2022-09-21,68825.0
2022-09-28,63553.0
2022-10-05,66010.0
2022-10-12,51214.0
2022-10-19,53417.0
2022-10-26,57000.0
2022-11-02,56902.0
2022-11-09,53129.0
2022-11-16,62310.0
2022-11-23,48497.0
2022-11-30,59208.0
2022-12-07,59139.0
2022-12-14,59538.0
2022-12-21,60367.0
2022-12-28,59651.0
2023-01-04,62612.0
2023-01-11,42694.0
2023-01-18,42136.0
2023-01-25,53420.0
2023-02-01,43782.0
2023-02-08,40688.0
2023-02-15,37373.0
2023-02-22,52158.0
2023-03-01,65576.0
2023-03-08,63363.0
2023-03-15,62640.0
2023-03-22,75316.0
2023-03-29,71704.0
2023-04-05,77557.0
2023-04-12,75922.0
2023-04-19,79642.0
2023-04-26,66817.0
2023-05-03,68590.0
2023-05-10,67394.0
2023-05-17,69101.0
2023-05-24,80110.0
2023-05-31,88489.0
2023-06-07,96808.0
2023-06-14,91879.0
2023-06-21,101401.0
2023-06-28,91818.0
2023-07-05,84908.0
2023-07-12,74615.0
2023-07-19,71898.0
2023-07-26,77417.0
2023-08-02,75746.0
2023-08-09,71457.0
2023-08-16,68337.0
2023-08-23,81730.0
2023-08-30,84114.0
2023-09-06,85369.0
2023-09-13,76240.0
2023-09-20,79107.0
2023-09-27,81138.0
2023-10-04,83201.0
2023-10-11,73894.0
2023-10-18,70228.0
2023-10-25,83986.0
2023-11-01,74065.0
2023-11-08,68744.0
2023-11-15,65279.0
2023-11-22,77053.0
2023-11-29,80929.0
2023-12-06,89127.0
2023-12-13,83019.0
2023-12-20,80347.0
2023-12-27,80817.0
2024-01-03,83287.0
2024-01-10,64061.0
2024-01-17,62957.0
2024-01-24,69550.0
2024-01-31,70142.0
2024-02-07,64869.0
2024-02-14,63284.0
2024-02-21,76314.0
2024-02-28,85922.0
2024-03-06,89514.0
2024-03-13,83065.0
2024-03-20,89413.0
2024-03-27,91477.0
2024-04-03,95820.0
2024-04-10,91161.0
2024-04-17,87234.0
2024-04-24,60972.0
2024-05-01,63740.0
2024-05-08,61182.0
2024-05-15,60478.0
2024-05-22,69784.0
2024-05-29,77287.0
2024-06-05,90478.0
2024-06-12,81193.0
2024-06-19,92169.0
2024-06-26,103779.0
2024-07-03,91067.0
2024-07-10,81725.0
2024-07-17,76187.0
2024-07-24,86096.0
2024-07-31,94834.0
2024-08-07,87981.0
2024-08-14,85294.0
2024-08-21,97722.0
2024-08-28,102346.0
2024-09-04,103104.0
2024-09-11,98978.0
2024-09-18,95019.0
2024-09-25,103452.0
2024-10-02,98668.0
2024-10-09,90386.0
2024-10-16,86899.0
2024-10-23,94475.0
2024-10-30,97065.0
2024-11-06,96306.0
2024-11-13,86944.0
2024-11-20,95475.0
2024-11-27,63814.0
2024-12-04,74728.0
2024-12-11,69744.0
2024-12-18,63756.0
2024-12-25,63820.0
2025-01-01,65027.0
2025-01-08,46521.0
2025-01-15,42087.0
2025-01-22,53621.0
2025-01-29,54627.0
2025-02-05,48485.0
2025-02-12,60710.0
2025-02-19,62067.0
2025-02-26,80466.0
2025-03-05,90615.0
2025-03-12,87607.0
2025-03-19,89871.0
2025-03-26,99212.0
2025-04-02,100566.0
2025-04-09,97396.0
2025-04-16,96079.0
2025-04-23,64366.0
2025-04-30,69000.0
2025-05-07,63813.0
2025-05-14,61285.0
2025-05-21,69197.0
2025-05-28,73519.0
2025-06-04,81760.0
2025-06-11,76604.0
2025-06-18,74503.0
2025-06-25,86460.0
2025-07-02,71702.0
2025-07-09,63379.0
2025-07-16,60379.0
2025-07-23,71591.0
2025-07-30,81793.0
2025-08-06,81321.0
2025-08-13,70703.0
2025-08-20,78053.0
2025-08-27,88985.0
2025-09-03,90701.0
2025-09-10,86563.0
2025-09-17,79181.0
2025-09-24,82748.0
2025-10-01,81681.0
2025-10-08,69603.0
2025-10-15,64537.0
2025-10-22,73294.0
2025-10-29,71020.0
2025-11-05,69747.0
2025-11-12,63635.0
2025-11-19,69478.0
2025-11-26,52293.0
2025-12-03,64842.0
2025-12-10,60329.0
2025-12-17,57445.0
2025-12-24,59817.0
2025-12-31,59219.0
2026-01-07,42864.0
2026-01-14,38966.0
2026-01-21,54063.0
2026-01-28,55911.0
2026-02-04,66133.0
2026-02-11,62060.0
2026-02-18,57907.0
2026-02-25,74096.0
2026-03-04,83764.0
2026-03-11,82656.0
2026-03-18,78238.0
2026-03-25,89983.0
2026-04-01,89423.0
2026-04-08,86211.0
2026-04-15,79548.0
2026-04-22,52787.0
2026-04-29,59840.0
2026-05-06,62123.0
2026-05-13,53079.0
2026-05-20,63010.0
2026-05-27,74548.0
2026-06-03,83574.0
2026-06-10,78990.0
2026-06-17,75350.0
2026-06-24,85583.0
2026-07-01,67975.0
2026-07-08,52881.0
2026-07-15,47310.0
2026-07-22,59660.0
2026-07-29,54292.0
2026-08-05,52517.0
2026-08-12,42765.0
2026-08-19,46550.0
2026-08-26,76661.0
2026-09-02,80294.0
