date,ARBALDOGISW
2020-09-09,732.0
2020-09-16,502.0
2020-09-23,438.0
2020-09-30,476.0
2020-10-07,2311.0
2020-10-14,830.0
2020-10-21,532.0
2020-10-28,532.0
2020-11-04,481.0
2020-11-11,814.0
2020-11-18,520.0
2020-11-25,486.0
2020-12-02,499.0
2020-12-09,921.0
2020-12-16,560.0
2020-12-23,549.0
2020-12-30,503.0
2021-01-06,417.0
2021-01-13,790.0
2021-01-20,661.0
2021-01-27,801.0
2021-02-03,474.0
2021-02-10,643.0
2021-02-17,469.0
2021-02-24,352.0
2021-03-03,313.0
2021-03-10,484.0
2021-03-17,388.0
2021-03-24,286.0
2021-03-31,311.0
2021-04-07,1740.0
2021-04-14,510.0
2021-04-21,215.0
2021-04-28,219.0
2021-05-05,101.0
2021-05-12,475.0
2021-05-19,283.0
2021-05-26,318.0
2021-06-02,129.0
2021-06-09,606.0
2021-06-16,298.0
2021-06-23,133.0
2021-06-30,44.0
2021-07-07,1861.0
2021-07-14,915.0
2021-07-21,273.0
2021-07-28,134.0
2021-08-04,95.0
2021-08-11,393.0
2021-08-18,157.0
2021-08-25,87.0
2021-09-01,84.0
2021-09-08,1007.0
2021-09-15,223.0
2021-09-22,122.0
2021-09-29,104.0
2021-10-06,77.0
2021-10-13,501.0
2021-10-20,177.0
2021-10-27,81.0
2021-11-03,87.0
2021-11-10,502.0
2021-11-17,165.0
2021-11-24,120.0
2021-12-01,92.0
2021-12-08,1190.0
2021-12-15,183.0
2021-12-22,131.0
2021-12-29,112.0
2022-01-05,110.0
2022-01-12,534.0
2022-01-19,122.0
2022-01-26,97.0
2022-02-02,76.0
2022-02-09,373.0
2022-02-16,193.0
2022-02-23,155.0
2022-03-02,31.0
2022-03-09,607.0
2022-03-16,365.0
2022-03-23,181.0
2022-03-30,69.0
2022-04-06,48.0
2022-04-13,713.0
2022-04-20,322.0
2022-04-27,95.0
2022-05-04,96.0
2022-05-11,695.0
2022-05-18,350.0
2022-05-25,167.0
2022-06-01,96.0
2022-06-08,986.0
2022-06-15,184.0
2022-06-22,152.0
2022-06-29,37.0
2022-07-06,36.0
2022-07-13,909.0
2022-07-20,141.0
2022-07-27,74.0
2022-08-03,126.0
2022-08-10,473.0
2022-08-17,172.0
2022-08-24,81.0
2022-08-31,54.0
2022-09-07,2282.0
2022-09-14,589.0
2022-09-21,236.0
2022-09-28,155.0
2022-10-05,103.0
2022-10-12,527.0
2022-10-19,98.0
2022-10-26,106.0
2022-11-02,126.0
2022-11-09,464.0
2022-11-16,97.0
2022-11-23,86.0
2022-11-30,41.0
2022-12-07,1965.0
2022-12-14,407.0
2022-12-21,102.0
2022-12-28,46.0
2023-01-04,46.0
2023-01-11,634.0
2023-01-18,372.0
2023-01-25,179.0
2023-02-01,149.0
2023-02-08,831.0
2023-02-15,200.0
2023-02-22,97.0
2023-03-01,178.0
2023-03-08,859.0
2023-03-15,250.0
2023-03-22,136.0
2023-03-29,241.0
2023-04-05,150.0
2023-04-12,585.0
2023-04-19,221.0
2023-04-26,300.0
2023-05-03,168.0
2023-05-10,496.0
2023-05-17,70.0
2023-05-24,21.0
2023-05-31,17.0
2023-06-07,2025.0
2023-06-14,344.0
2023-06-21,69.0
2023-06-28,10.0
2023-07-05,63.0
2023-07-12,988.0
2023-07-19,83.0
2023-07-26,18.0
2023-08-02,17.0
2023-08-09,333.0
2023-08-16,90.0
2023-08-23,82.0
2023-08-30,121.0
2023-09-06,15.0
2023-09-13,537.0
2023-09-20,202.0
2023-09-27,150.0
2023-10-04,71.0
2023-10-11,527.0
2023-10-18,162.0
2023-10-25,120.0
2023-11-01,112.0
2023-11-08,1077.0
2023-11-15,87.0
2023-11-22,31.0
2023-11-29,3.0
2023-12-06,58.0
2023-12-13,398.0
2023-12-20,150.0
2023-12-27,100.0
2024-01-03,57.0
2024-01-10,452.0
2024-01-17,118.0
2024-01-24,13.0
2024-01-31,86.0
2024-02-07,1782.0
2024-02-14,368.0
2024-02-21,40.0
2024-02-28,7.0
2024-03-06,5.0
2024-03-13,416.0
2024-03-20,77.0
2024-03-27,86.0
2024-04-03,5.0
2024-04-10,488.0
2024-04-17,102.0
2024-04-24,48.0
2024-05-01,49.0
2024-05-08,1093.0
2024-05-15,65.0
2024-05-22,4.0
2024-05-29,12.0
2024-06-05,28.0
2024-06-12,332.0
2024-06-19,120.0
2024-06-26,2.0
2024-07-03,3.0
2024-07-10,1030.0
2024-07-17,101.0
2024-07-24,7.0
2024-07-31,22.0
2024-08-07,2071.0
2024-08-14,421.0
2024-08-21,41.0
2024-08-28,22.0
2024-09-04,48.0
2024-09-11,431.0
2024-09-18,45.0
2024-09-25,41.0
2024-10-02,18.0
2024-10-09,391.0
2024-10-16,22.0
2024-10-23,34.0
2024-10-30,17.0
2024-11-06,32.0
2024-11-13,363.0
2024-11-20,28.0
2024-11-27,12.0
2024-12-04,33.0
2024-12-11,360.0
2024-12-18,99.0
2024-12-25,17.0
2025-01-01,18.0
2025-01-08,1094.0
2025-01-15,159.0
2025-01-22,94.0
2025-01-29,4.0
2025-02-05,17.0
2025-02-12,386.0
2025-02-19,42.0
2025-02-26,6.0
2025-03-05,10.0
2025-03-12,378.0
2025-03-19,39.0
2025-03-26,38.0
2025-04-02,15.0
2025-04-09,357.0
2025-04-16,14.0
2025-04-23,12.0
2025-04-30,6.0
2025-05-07,2039.0
2025-05-14,352.0
2025-05-21,20.0
2025-05-28,7.0
2025-06-04,32.0
2025-06-11,362.0
2025-06-18,33.0
2025-06-25,10.0
2025-07-02,7.0
2025-07-09,1121.0
2025-07-16,54.0
2025-07-23,40.0
2025-07-30,49.0
2025-08-06,13.0
2025-08-13,411.0
2025-08-20,68.0
2025-08-27,25.0
2025-09-03,28.0
2025-09-10,427.0
2025-09-17,33.0
2025-09-24,28.0
2025-10-01,14.0
2025-10-08,1047.0
2025-10-15,385.0
2025-10-22,24.0
2025-10-29,11.0
2025-11-05,94.0
2025-11-12,520.0
2025-11-19,153.0
2025-11-26,8.0
2025-12-03,54.0
2025-12-10,756.0
2025-12-17,319.0
2025-12-24,212.0
2025-12-31,209.0
2026-01-07,2282.0
2026-01-14,557.0
2026-01-21,155.0
2026-01-28,26.0
2026-02-04,71.0
2026-02-11,473.0
2026-02-18,85.0
2026-02-25,16.0
2026-03-04,147.0
2026-03-11,536.0
2026-03-18,131.0
2026-03-25,45.0
2026-04-01,21.0
2026-04-08,1135.0
2026-04-15,257.0
2026-04-22,108.0
2026-04-29,41.0
2026-05-06,230.0
2026-05-13,537.0
2026-05-20,131.0
2026-05-27,27.0
2026-06-03,105.0
2026-06-10,463.0
2026-06-17,87.0
2026-06-24,1.0
2026-07-01,419.0
2026-07-08,1370.0
