date,ARBALDOOIW
2020-09-09,1961.0
2020-09-16,2040.0
2020-09-23,1615.0
2020-09-30,1666.0
2020-10-07,1624.0
2020-10-14,1657.0
2020-10-21,1703.0
2020-10-28,1660.0
2020-11-04,1570.0
2020-11-11,1780.0
2020-11-18,3126.0
2020-11-25,4171.0
2020-12-02,5030.0
2020-12-09,5327.0
2020-12-16,5335.0
2020-12-23,5231.0
2020-12-30,5522.0
2021-01-06,7865.0
2021-01-13,5797.0
2021-01-20,4545.0
2021-01-27,5870.0
2021-02-03,5371.0
2021-02-10,7147.0
2021-02-17,5406.0
2021-02-24,5776.0
2021-03-03,6394.0
2021-03-10,7759.0
2021-03-17,9422.0
2021-03-24,9087.0
2021-03-31,4461.0
2021-04-07,7010.0
2021-04-14,10116.0
2021-04-21,10271.0
2021-04-28,8006.0
2021-05-05,11771.0
2021-05-12,12190.0
2021-05-19,14956.0
2021-05-26,14131.0
2021-06-02,15527.0
2021-06-09,14721.0
2021-06-16,15642.0
2021-06-23,12156.0
2021-06-30,12193.0
2021-07-07,14333.0
2021-07-14,16387.0
2021-07-21,17681.0
2021-07-28,18091.0
2021-08-04,19333.0
2021-08-11,18692.0
2021-08-18,20757.0
2021-08-25,19168.0
2021-09-01,20064.0
2021-09-08,19707.0
2021-09-15,19876.0
2021-09-22,15768.0
2021-09-29,18508.0
2021-10-06,19753.0
2021-10-13,17642.0
2021-10-20,21010.0
2021-10-27,24409.0
2021-11-03,22691.0
2021-11-10,25801.0
2021-11-17,26227.0
2021-11-24,25749.0
2021-12-01,29762.0
2021-12-08,27598.0
2021-12-15,14258.0
2021-12-22,14195.0
2021-12-29,11600.0
2022-01-05,11847.0
2022-01-12,23750.0
2022-01-19,19077.0
2022-01-26,20256.0
2022-02-02,20537.0
2022-02-09,29102.0
2022-02-16,23614.0
2022-02-23,24432.0
2022-03-02,19195.0
2022-03-09,28344.0
2022-03-16,25475.0
2022-03-23,31110.0
2022-03-30,19863.0
2022-04-06,17945.0
2022-04-13,19958.0
2022-04-20,11765.0
2022-04-27,12846.0
2022-05-04,12005.0
2022-05-11,8405.0
2022-05-18,7672.0
2022-05-25,7223.0
2022-06-01,7406.0
2022-06-08,5760.0
2022-06-15,4817.0
2022-06-22,4453.0
2022-06-29,3861.0
2022-07-06,3722.0
2022-07-13,3604.0
2022-07-20,4114.0
2022-07-27,4363.0
2022-08-03,4257.0
2022-08-10,3811.0
2022-08-17,4147.0
2022-08-24,3758.0
2022-08-31,2664.0
2022-09-07,2847.0
2022-09-14,3316.0
2022-09-21,3608.0
2022-09-28,3105.0
2022-10-05,3504.0
2022-10-12,3158.0
2022-10-19,2978.0
2022-10-26,2924.0
2022-11-02,3199.0
2022-11-09,3210.0
2022-11-16,3572.0
2022-11-23,4437.0
2022-11-30,4378.0
2022-12-07,3529.0
2022-12-14,2433.0
2022-12-21,2253.0
2022-12-28,2945.0
2023-01-04,2009.0
2023-01-11,1860.0
2023-01-18,2557.0
2023-01-25,1872.0
2023-02-01,2600.0
2023-02-08,3895.0
2023-02-15,2038.0
2023-02-22,3457.0
2023-03-01,2596.0
2023-03-08,1982.0
2023-03-15,1890.0
2023-03-22,2809.0
2023-03-29,3127.0
2023-04-05,2176.0
2023-04-12,1937.0
2023-04-19,1448.0
2023-04-26,2685.0
2023-05-03,2356.0
2023-05-10,1728.0
2023-05-17,1718.0
2023-05-24,1626.0
2023-05-31,1502.0
2023-06-07,1410.0
2023-06-14,1498.0
2023-06-21,1656.0
2023-06-28,1394.0
2023-07-05,1415.0
2023-07-12,1111.0
2023-07-19,1298.0
2023-07-26,1570.0
2023-08-02,1613.0
2023-08-09,1488.0
2023-08-16,1415.0
2023-08-23,1537.0
2023-08-30,1424.0
2023-09-06,1673.0
2023-09-13,1393.0
2023-09-20,1186.0
2023-09-27,1129.0
2023-10-04,1531.0
2023-10-11,898.0
2023-10-18,1167.0
2023-10-25,1429.0
2023-11-01,1183.0
2023-11-08,1390.0
2023-11-15,1662.0
2023-11-22,1645.0
2023-11-29,1635.0
2023-12-06,1736.0
2023-12-13,1232.0
2023-12-20,1623.0
2023-12-27,1715.0
2024-01-03,1205.0
2024-01-10,1650.0
2024-01-17,1555.0
2024-01-24,1489.0
2024-01-31,1384.0
2024-02-07,1269.0
2024-02-14,1534.0
2024-02-21,1594.0
2024-02-28,1415.0
2024-03-06,1662.0
2024-03-13,1854.0
2024-03-20,1801.0
2024-03-27,1481.0
2024-04-03,1565.0
2024-04-10,1535.0
2024-04-17,1583.0
2024-04-24,1806.0
2024-05-01,1543.0
2024-05-08,1571.0
2024-05-15,1633.0
2024-05-22,1858.0
2024-05-29,2121.0
2024-06-05,1819.0
2024-06-12,1630.0
2024-06-19,1557.0
2024-06-26,1696.0
2024-07-03,1319.0
2024-07-10,1350.0
2024-07-17,1394.0
2024-07-24,1875.0
2024-07-31,2025.0
2024-08-07,1815.0
