date,FXRUSD
2023-09-29,0.6458
2023-10-31,0.6346
2023-11-30,0.6648
2023-12-29,0.684
2024-01-31,0.6574
2024-02-29,0.6519
2024-03-28,0.6532
2024-04-30,0.6525
2024-05-31,0.6637
2024-06-28,0.6624
2024-07-31,0.6491
2024-08-30,0.6806
2024-09-30,0.6932
2024-10-31,0.6569
2024-11-29,0.6517
2024-12-31,0.6217
2025-01-31,0.6225
2025-02-28,0.6214
2025-03-31,0.628
2025-04-30,0.6416
2025-05-30,0.6436
2025-06-30,0.655
2025-07-31,0.6469
2025-08-29,0.6538
2025-09-30,0.6602
2025-10-31,0.6551
2025-11-28,0.6533
2025-12-31,0.6693
2026-01-30,0.7004
2026-02-27,0.7126
2026-03-31,0.6845
2026-04-30,0.7113
2026-05-29,0.7164
2026-06-30,0.6869
2026-07-31,0.703
2026-08-31,0.7166
