date,omo_stock_daily
2023-09-11,11356.0
2023-09-12,11356.0
2023-09-13,11589.0
2023-09-14,11589.0
2023-09-15,11589.0
2023-09-18,11589.0
2023-09-19,11589.0
2023-09-20,11202.0
2023-09-21,11202.0
2023-09-22,11202.0
2023-09-25,11202.0
2023-09-26,11202.0
2023-09-27,11121.0
2023-09-28,11121.0
2023-09-29,11121.0
2023-10-02,11121.0
2023-10-03,11121.0
2023-10-04,11965.0
2023-10-05,11965.0
2023-10-06,11965.0
2023-10-09,11965.0
2023-10-10,11965.0
2023-10-11,11740.0
2023-10-12,11740.0
2023-10-13,11740.0
2023-10-16,11740.0
2023-10-17,11740.0
2023-10-18,11725.0
2023-10-19,11725.0
2023-10-20,11725.0
2023-10-23,11725.0
2023-10-24,11725.0
2023-10-25,11252.0
2023-10-26,11252.0
2023-10-27,11252.0
2023-10-30,11252.0
2023-10-31,11252.0
2023-11-01,12681.0
2023-11-02,12681.0
2023-11-03,12681.0
2023-11-06,12681.0
2023-11-07,12681.0
2023-11-08,12055.0
2023-11-09,12055.0
2023-11-10,12055.0
2023-11-13,12055.0
2023-11-14,12055.0
2023-11-15,10913.0
2023-11-16,10913.0
2023-11-17,10913.0
2023-11-20,10913.0
2023-11-21,10913.0
2023-11-22,10434.0
2023-11-23,10434.0
2023-11-24,10434.0
2023-11-27,10434.0
2023-11-28,10434.0
2023-11-29,9497.0
2023-11-30,9497.0
2023-12-01,9497.0
2023-12-04,9497.0
2023-12-05,9497.0
2023-12-06,9842.0
2023-12-07,9842.0
2023-12-08,9842.0
2023-12-11,9842.0
2023-12-12,9842.0
2023-12-13,10718.0
2023-12-14,10718.0
2023-12-15,10718.0
2023-12-18,10718.0
2023-12-19,10718.0
2023-12-20,12741.0
2023-12-21,12741.0
2023-12-22,12741.0
2023-12-25,12741.0
2023-12-26,12741.0
2023-12-27,12994.0
2023-12-28,12994.0
2023-12-29,12994.0
2024-01-01,12994.0
2024-01-02,12994.0
2024-01-03,12090.0
2024-01-04,12090.0
2024-01-05,12090.0
2024-01-08,12090.0
2024-01-09,12090.0
2024-01-10,11167.0
2024-01-11,11167.0
2024-01-12,11167.0
2024-01-15,11167.0
2024-01-16,11167.0
2024-01-17,9274.0
2024-01-18,9274.0
2024-01-19,9274.0
2024-01-22,9274.0
2024-01-23,9274.0
2024-01-24,8133.0
2024-01-25,8133.0
2024-01-26,8133.0
2024-01-29,8133.0
2024-01-30,8133.0
2024-01-31,8439.0
2024-02-01,8439.0
2024-02-02,8439.0
2024-02-05,8439.0
2024-02-06,8439.0
2024-02-07,8572.0
2024-02-08,8572.0
2024-02-09,8572.0
2024-02-12,8572.0
2024-02-13,8572.0
2024-02-14,8515.0
2024-02-15,8515.0
2024-02-16,8515.0
2024-02-19,8515.0
2024-02-20,8515.0
2024-02-21,8785.0
2024-02-22,8785.0
2024-02-23,8785.0
2024-02-26,8785.0
2024-02-27,8785.0
2024-02-28,8736.0
2024-02-29,8736.0
2024-03-01,8736.0
2024-03-04,8736.0
2024-03-05,8736.0
2024-03-06,8626.0
2024-03-07,8626.0
2024-03-08,8626.0
2024-03-11,8626.0
2024-03-12,8626.0
2024-03-13,7753.0
2024-03-14,7753.0
2024-03-15,7753.0
2024-03-18,7753.0
2024-03-19,7753.0
2024-03-20,7314.0
2024-03-21,7314.0
2024-03-22,7314.0
2024-03-25,7314.0
2024-03-26,7314.0
