date,V1203435186
2020-07-29,91.0
2020-08-05,880.0
2020-08-12,166.0
2020-08-19,30.0
2020-08-26,48.0
2020-09-02,32.0
2020-09-09,452.0
2020-09-16,37.0
2020-09-23,1178.0
2020-09-30,532.0
2020-10-07,1035.0
2020-10-14,1330.0
2020-10-21,844.0
2020-10-28,426.0
2020-11-04,882.0
2020-11-11,786.0
2020-11-18,235.0
2020-11-25,1302.0
2020-12-02,1666.0
2020-12-09,1658.0
2020-12-16,1987.0
2020-12-23,2832.0
2020-12-30,2885.0
2021-01-06,3691.0
2021-01-13,2878.0
2021-01-20,3873.0
2021-01-27,6953.0
2021-02-03,8488.0
2021-02-10,7206.0
2021-02-17,7016.0
2021-02-24,7198.0
2021-03-03,9186.0
2021-03-10,8516.0
2021-03-17,16419.0
2021-03-24,19381.0
2021-03-31,18759.0
2021-04-07,19309.0
2021-04-14,19154.0
2021-04-21,18702.0
2021-04-28,18924.0
2021-05-05,24479.0
2021-05-12,25618.0
2021-05-19,25742.0
2021-05-26,27851.0
2021-06-02,23934.0
2021-06-09,28072.0
2021-06-16,26287.0
2021-06-23,28119.0
2021-06-30,25387.0
2021-07-07,28609.0
2021-07-14,27480.0
2021-07-21,27402.0
2021-07-28,26206.0
2021-08-04,30007.0
2021-08-11,29782.0
2021-08-18,28874.0
2021-08-25,28863.0
2021-09-01,30930.0
2021-09-08,28801.0
2021-09-15,29274.0
2021-09-22,29591.0
2021-09-29,27503.0
2021-10-06,29855.0
2021-10-13,30102.0
2021-10-20,32465.0
2021-10-27,32848.0
2021-11-03,32300.0
2021-11-10,32791.0
2021-11-17,32973.0
2021-11-24,34503.0
2021-12-01,35396.0
2021-12-08,36502.0
2021-12-15,37288.0
2021-12-22,37550.0
2021-12-29,37635.0
2022-01-05,38485.0
2022-01-12,33766.0
2022-01-19,33200.0
2022-01-26,35486.0
2022-02-02,37800.0
2022-02-09,34765.0
2022-02-16,34366.0
2022-02-23,35536.0
2022-03-02,29732.0
2022-03-09,39412.0
2022-03-16,39355.0
2022-03-23,38241.0
2022-03-30,37183.0
2022-04-06,37101.0
2022-04-13,38259.0
2022-04-20,36816.0
2022-04-27,44579.0
2022-05-04,41426.0
2022-05-11,38087.0
2022-05-18,42410.0
2022-05-25,44348.0
2022-06-01,43138.0
2022-06-08,42997.0
2022-06-15,42658.0
2022-06-22,41027.0
2022-06-29,36581.0
2022-07-06,39114.0
2022-07-13,37951.0
2022-07-20,37630.0
2022-07-27,38066.0
2022-08-03,34011.0
2022-08-10,25184.0
2022-08-17,23449.0
2022-08-24,22476.0
2022-08-31,21487.0
2022-09-07,26739.0
2022-09-14,26762.0
2022-09-21,26492.0
2022-09-28,26758.0
2022-10-05,23732.0
2022-10-12,21923.0
2022-10-19,18630.0
2022-10-26,19743.0
2022-11-02,21010.0
2022-11-09,21101.0
2022-11-16,20157.0
2022-11-23,17147.0
2022-11-30,20251.0
2022-12-07,19169.0
2022-12-14,18529.0
2022-12-21,19092.0
2022-12-28,19485.0
2023-01-04,16777.0
2023-01-11,16068.0
2023-01-18,15215.0
2023-01-25,15351.0
2023-02-01,14695.0
2023-02-08,15234.0
2023-02-15,13963.0
2023-02-22,13696.0
2023-03-01,14639.0
2023-03-08,13173.0
2023-03-15,13327.0
2023-03-22,11098.0
2023-03-29,16248.0
2023-04-05,15445.0
2023-04-12,18471.0
2023-04-19,17603.0
2023-04-26,15854.0
2023-05-03,11496.0
2023-05-10,14905.0
2023-05-17,13931.0
2023-05-24,14797.0
2023-05-31,13097.0
2023-06-07,15039.0
2023-06-14,20448.0
2023-06-21,15783.0
2023-06-28,19606.0
2023-07-05,17101.0
2023-07-12,15438.0
2023-07-19,11764.0
2023-07-26,10214.0
2023-08-02,15831.0
2023-08-09,15344.0
2023-08-16,11945.0
2023-08-23,10567.0
2023-08-30,10721.0
2023-09-06,11604.0
2023-09-13,11292.0
2023-09-20,9235.0
2023-09-27,9935.0
2023-10-04,10719.0
2023-10-11,9941.0
2023-10-18,9198.0
2023-10-25,9870.0
2023-11-01,3968.0
2023-11-08,6247.0
2023-11-15,7269.0
2023-11-22,5456.0
2023-11-29,6760.0
2023-12-06,5927.0
2023-12-13,5811.0
2023-12-20,5811.0
2023-12-27,6631.0
2024-01-03,6332.0
2024-01-10,5318.0
2024-01-17,6687.0
2024-01-24,6022.0
2024-01-31,5864.0
2024-02-07,7030.0
2024-02-14,6596.0
2024-02-21,5619.0
2024-02-28,4964.0
2024-03-06,5903.0
2024-03-13,5485.0
2024-03-20,4635.0
2024-03-27,3879.0
2024-04-03,5362.0
2024-04-10,4621.0
2024-04-17,4376.0
2024-04-24,2877.0
2024-05-01,2839.0
2024-05-08,3590.0
2024-05-15,2955.0
2024-05-22,4635.0
2024-05-29,4226.0
2024-06-05,4852.0
2024-06-12,5364.0
2024-06-19,3754.0
2024-06-26,3835.0
2024-07-03,4985.0
2024-07-10,4072.0
2024-07-17,4894.0
2024-07-24,5220.0
2024-07-31,5060.0
2024-08-07,7097.0
2024-08-14,6629.0
2024-08-21,5461.0
2024-08-28,5958.0
2024-09-04,4183.0
2024-09-11,3612.0
2024-09-18,2766.0
2024-09-25,3212.0
2024-10-02,0.0
2024-10-09,0.0
2024-10-16,0.0
2024-10-23,0.0
2024-10-30,0.0
2024-11-06,0.0
2024-11-13,0.0
2024-11-20,0.0
2024-11-27,0.0
2024-12-04,0.0
2024-12-11,0.0
2024-12-18,0.0
2024-12-25,0.0
2025-01-01,0.0
2025-01-08,0.0
2025-01-15,0.0
2025-01-22,0.0
2025-01-29,0.0
2025-02-05,0.0
2025-02-12,0.0
2025-02-19,0.0
2025-02-26,0.0
2025-03-05,0.0
2025-03-12,0.0
2025-03-19,0.0
2025-03-26,0.0
2025-04-02,0.0
2025-04-09,0.0
2025-04-16,0.0
2025-04-23,0.0
2025-04-30,0.0
2025-05-07,0.0
2025-05-14,0.0
2025-05-21,0.0
2025-05-28,0.0
2025-06-04,0.0
2025-06-11,0.0
2025-06-18,0.0
2025-06-25,0.0
2025-07-02,0.0
2025-07-09,0.0
2025-07-16,0.0
2025-07-23,0.0
2025-07-30,0.0
2025-08-06,0.0
2025-08-13,0.0
2025-08-20,0.0
2025-08-27,0.0
2025-09-03,0.0
2025-09-10,0.0
2025-09-17,0.0
2025-09-24,0.0
2025-10-01,0.0
2025-10-08,0.0
2025-10-15,0.0
2025-10-22,0.0
2025-10-29,0.0
2025-11-05,0.0
2025-11-12,0.0
2025-11-19,0.0
2025-11-26,0.0
2025-12-03,0.0
2025-12-10,0.0
2025-12-17,0.0
2025-12-24,0.0
2025-12-31,0.0
2026-01-07,0.0
2026-01-14,0.0
2026-01-21,0.0
2026-01-28,0.0
2026-02-04,0.0
2026-02-11,0.0
2026-02-18,0.0
2026-02-25,0.0
2026-03-04,0.0
2026-03-11,0.0
2026-03-18,0.0
2026-03-25,0.0
2026-04-01,0.0
2026-04-08,0.0
2026-04-15,0.0
2026-04-22,0.0
2026-04-29,0.0
2026-05-06,0.0
2026-05-13,0.0
2026-05-20,0.0
2026-05-27,0.0
2026-06-03,0.0
2026-06-10,0.0
2026-06-17,0.0
2026-06-24,0.0
2026-07-01,0.0
2026-07-08,0.0
2026-07-15,0.0
2026-07-22,0.0
2026-07-29,0.0
2026-08-05,0.0
2026-08-12,0.0
2026-08-19,0.0
2026-08-26,0.0
2026-09-02,0.0
