orr_id,ORR_KEY,ORR_OPERATION_DATE,ORR_DEADLINE,ORR_SETTLEMENT_DATE,ORR_MATURITY_DATE,ORR_OFFERED_AMOUNT,ORR_ALLOCATED_AMOUNT,ORR_FIXED_RATE
HIST_ORR_1,HIST_ORR_1,2022-03-03,10:45,2022-03-03,2022-03-04,9639,454,0.500
HIST_ORR_2,HIST_ORR_2,2022-03-04,10:45,2022-03-04,2022-03-07,9233,3679,0.500
HIST_ORR_3,HIST_ORR_3,2022-03-07,10:45,2022-03-07,2022-03-08,9006,3796,0.500
HIST_ORR_4,HIST_ORR_4,2022-03-08,10:45,2022-03-08,2022-03-09,9731,4757,0.500
HIST_ORR_5,HIST_ORR_5,2022-03-09,10:45,2022-03-09,2022-03-10,9457,4630,0.500
HIST_ORR_6,HIST_ORR_6,2022-03-10,10:45,2022-03-10,2022-03-11,8962,4306,0.500
HIST_ORR_7,HIST_ORR_7,2022-03-11,10:45,2022-03-11,2022-03-14,9880,5203,0.500
HIST_ORR_8,HIST_ORR_8,2022-03-14,10:45,2022-03-14,2022-03-15,9307,4068,0.500
HIST_ORR_9,HIST_ORR_9,2022-03-15,10:45,2022-03-15,2022-03-16,9733,3913,0.500
HIST_ORR_10,HIST_ORR_10,2022-03-16,10:45,2022-03-16,2022-03-17,8853,4269,0.500
HIST_ORR_11,HIST_ORR_11,2022-03-17,10:45,2022-03-17,2022-03-18,9643,4588,0.500
HIST_ORR_12,HIST_ORR_12,2022-03-18,10:45,2022-03-18,2022-03-21,9332,4272,0.500
HIST_ORR_13,HIST_ORR_13,2022-03-21,10:45,2022-03-21,2022-03-22,9619,4372,0.500
HIST_ORR_14,HIST_ORR_14,2022-03-22,10:45,2022-03-22,2022-03-23,9577,4020,0.500
HIST_ORR_15,HIST_ORR_15,2022-03-23,10:45,2022-03-23,2022-03-24,10151,4808,0.500
HIST_ORR_16,HIST_ORR_16,2022-03-24,10:45,2022-03-24,2022-03-25,10026,5125,0.500
HIST_ORR_17,HIST_ORR_17,2022-03-25,10:45,2022-03-25,2022-03-28,9786,4422,0.500
HIST_ORR_18,HIST_ORR_18,2022-03-28,10:45,2022-03-28,2022-03-29,10007,4874,0.500
HIST_ORR_19,HIST_ORR_19,2022-03-29,10:45,2022-03-29,2022-03-30,10479,4997,0.500
HIST_ORR_20,HIST_ORR_20,2022-03-30,10:45,2022-03-30,2022-03-31,10508,4288,0.500
HIST_ORR_21,HIST_ORR_21,2022-03-31,10:45,2022-03-31,2022-04-01,12286,4535,0.500
HIST_ORR_22,HIST_ORR_22,2022-04-01,10:45,2022-04-01,2022-04-04,10138,5077,0.500
HIST_ORR_23,HIST_ORR_23,2022-04-04,10:45,2022-04-04,2022-04-05,12044,4719,0.500
HIST_ORR_24,HIST_ORR_24,2022-04-05,10:45,2022-04-05,2022-04-06,11421,5023,0.500
HIST_ORR_25,HIST_ORR_25,2022-04-06,10:45,2022-04-06,2022-04-07,11093,4958,0.500
HIST_ORR_26,HIST_ORR_26,2022-04-07,10:45,2022-04-07,2022-04-08,11131,5530,0.500
HIST_ORR_27,HIST_ORR_27,2022-04-08,10:45,2022-04-08,2022-04-11,10661,4709,0.500
HIST_ORR_28,HIST_ORR_28,2022-04-11,10:45,2022-04-11,2022-04-12,10356,5001,0.500
HIST_ORR_29,HIST_ORR_29,2022-04-12,10:45,2022-04-12,2022-04-13,10557,4596,0.500
HIST_ORR_30,HIST_ORR_30,2022-04-13,10:45,2022-04-13,2022-04-14,10464,5726,0.500
HIST_ORR_31,HIST_ORR_31,2022-04-14,10:45,2022-04-14,2022-04-18,10402,5364,1.000
HIST_ORR_32,HIST_ORR_32,2022-04-18,10:45,2022-04-18,2022-04-19,10439,5844,1.000
HIST_ORR_33,HIST_ORR_33,2022-04-19,10:45,2022-04-19,2022-04-20,11362,6085,1.000
HIST_ORR_34,HIST_ORR_34,2022-04-20,10:45,2022-04-20,2022-04-21,12740,6466,1.000
HIST_ORR_35,HIST_ORR_35,2022-04-21,10:45,2022-04-21,2022-04-22,12353,7904,1.000
HIST_ORR_36,HIST_ORR_36,2022-04-22,10:45,2022-04-22,2022-04-25,12027,7848,1.000
HIST_ORR_37,HIST_ORR_37,2022-04-25,10:45,2022-04-25,2022-04-26,19076,7072,1.000
HIST_ORR_38,HIST_ORR_38,2022-04-26,10:45,2022-04-26,2022-04-27,18866,7872,1.000
HIST_ORR_39,HIST_ORR_39,2022-04-27,10:45,2022-04-27,2022-04-28,17591,8068,1.000
HIST_ORR_40,HIST_ORR_40,2022-04-28,10:45,2022-04-28,2022-04-29,18320,6558,1.000
HIST_ORR_41,HIST_ORR_41,2022-04-29,10:45,2022-04-29,2022-05-02,20430,6393,1.000
HIST_ORR_42,HIST_ORR_42,2022-05-02,10:45,2022-05-02,2022-05-03,18941,9739,1.000
HIST_ORR_43,HIST_ORR_43,2022-05-03,10:45,2022-05-03,2022-05-04,19311,10618,1.000
HIST_ORR_44,HIST_ORR_44,2022-05-04,10:45,2022-05-04,2022-05-05,20401,8067,1.000
HIST_ORR_45,HIST_ORR_45,2022-05-05,10:45,2022-05-05,2022-05-06,20548,7119,1.000
HIST_ORR_46,HIST_ORR_46,2022-05-06,10:45,2022-05-06,2022-05-09,21002,7437,1.000
HIST_ORR_47,HIST_ORR_47,2022-05-09,10:45,2022-05-09,2022-05-10,20713,9813,1.000
HIST_ORR_48,HIST_ORR_48,2022-05-10,10:45,2022-05-10,2022-05-11,18099,5365,1.000
HIST_ORR_49,HIST_ORR_49,2022-05-11,10:45,2022-05-11,2022-05-12,20408,4857,1.000
HIST_ORR_50,HIST_ORR_50,2022-05-12,10:45,2022-05-12,2022-05-13,19873,5783,1.000
HIST_ORR_51,HIST_ORR_51,2022-05-13,10:45,2022-05-13,2022-05-16,21050,4760,1.000
