or_id,OR_OPERATION_DATE,OR_DEADLINE,OR_SETTLEMENT_DATE,OR_MATURITY_DATE,OR_OFFERED_AMOUNT,OR_ALLOCATED_AMOUNT,OR_ALLOCATION_RATE
14002000141,2020-03-16,10:15,2020-03-16,2020-03-17,1500,1500,0.780
14002000142,2020-03-16,12:00,2020-03-16,2020-03-17,1500,1500,0.750
14002000144,2020-03-17,10:15,2020-03-17,2020-03-18,1500,1500,0.780
14002000145,2020-03-17,12:00,2020-03-17,2020-03-18,1500,1500,0.780
14002000146,2020-03-17,14:15,2020-03-17,2020-03-18,1500,1500,0.780
14002000148,2020-03-18,12:00,2020-03-18,2020-03-19,1500,1500,0.780
14002000149,2020-03-18,12:15,2020-03-18,2020-03-19,1500,1500,0.780
14002000151,2020-03-19,12:05,2020-03-19,2020-03-20,1500,1500,0.780
14002000152,2020-03-20,12:00,2020-03-20,2020-03-23,1500,1500,0.780
14002000153,2020-03-23,13:00,2020-03-23,2020-03-24,1500,1500,0.760
14002000154,2020-03-23,13:05,2020-03-23,2020-03-24,1500,500,0.770
14002023000,2024-01-03,11:15,2024-01-03,2024-01-04,5000,4850,5.000
14002023001,2024-01-04,12:00,2024-01-04,2024-01-05,5000,5000,5.000
14002022981,2024-01-05,10:30,2024-01-05,2024-01-08,5000,5000,5.010
14002023003,2024-01-08,11:15,2024-01-08,2024-01-09,5000,5000,5.020
14002023002,2024-01-08,9:15,2024-01-08,2024-01-09,5000,5000,5.020
14002023005,2024-01-09,12:00,2024-01-09,2024-01-10,5000,5000,5.020
14002023004,2024-01-09,9:15,2024-01-09,2024-01-10,5000,5000,5.030
14002022984,2024-01-10,9:15,2024-01-10,2024-01-11,5000,5000,5.030
14002022985,2024-01-15,10:00,2024-01-15,2024-01-16,5000,5000,5.020
14002022987,2024-01-16,9:15,2024-01-16,2024-01-17,5000,5000,5.020
14002023007,2024-01-17,9:15,2024-01-17,2024-01-18,5000,5000,5.030
14002022989,2024-01-18,9:15,2024-01-18,2024-01-19,5000,5000,5.030
14002023379,2024-01-22,12:00,2024-01-22,2024-01-23,5000,5000,5.010
14002023380,2024-01-23,9:15,2024-01-23,2024-01-24,5000,5000,5.020
14002023779,2024-01-31,9:15,2024-01-31,2024-02-01,5000,5000,5.030
