date,settlement_actual,ind_or,ind_orr,ind_term_repos,ind_securities_lending,settlement_target
2026-09-03,64414.0,0.0,0.0,22561.0,3490.0,
2026-09-04,65018.0,0.0,0.0,0.0,3944.0,
2026-09-08,65188.0,0.0,0.0,0.0,4120.0,
2026-09-09,66140.0,0.0,0.0,0.0,4443.0,
2026-09-10,66094.0,0.0,0.0,16000.0,4109.0,
2026-09-11,66292.0,0.0,0.0,0.0,4214.0,
2026-09-14,65289.0,0.0,0.0,0.0,3810.0,
2026-09-15,63393.0,0.0,0.0,0.0,3850.0,
2026-09-16,63059.0,0.0,0.0,0.0,3811.0,
2026-09-17,67986.0,0.0,0.0,25642.0,4109.0,
2026-09-18,69246.0,0.0,0.0,0.0,4127.0,
2026-09-21,67791.0,0.0,0.0,0.0,3652.0,
2026-09-22,,,,0.0,,
