date,babilpobm:APF|T|T|A40
2019-01-31,214746.63278585402
2019-02-28,214776.99532684401
2019-03-31,215262.593066724
2019-04-30,217433.575474659
2019-05-31,218003.062816295
2019-06-30,219720.254614209
2019-07-31,219843.730890638
2019-08-31,224835.263416972
2019-09-30,225891.843215812
2019-10-31,227206.811315804
2019-11-30,230948.807471844
2019-12-31,231959.770814086
2020-01-31,235558.767497681
2020-02-29,236360.991878523
2020-03-31,234274.383823064
2020-04-30,238158.246204464
2020-05-31,239454.493750524
2020-06-30,240912.127467763
2020-07-31,241152.510166814
2020-08-31,244525.857725328
2020-09-30,245379.78409239
2020-10-31,247100.495643633
2020-11-30,249678.882592046
2020-12-31,256864.78268179
2021-01-31,258168.358407648
2021-02-28,256072.863967544
2021-03-31,257698.809559345
2021-04-30,255550.047374371
2021-05-31,258907.35638924598
2021-06-30,258312.384762481
2021-07-31,259778.743824039
2021-08-31,261115.39558318
2021-09-30,261856.70751973797
2021-10-31,261888.357805324
2021-11-30,267487.424825538
2021-12-31,270368.902617161
2022-01-31,271416.79612739995
2022-02-28,268249.71083722997
2022-03-31,267639.597965609
2022-04-30,268730.417886041
2022-05-31,270273.00476587
2022-06-30,271574.251150959
2022-07-31,270350.873618442
2022-08-31,266682.721840659
2022-09-30,262502.81884347
2022-10-31,263189.9233413
2022-11-30,261249.17789970202
2022-12-31,263345.28045356
2023-01-31,265193.316720121
2023-02-28,265523.661644721
2023-03-31,261475.16925188198
2023-04-30,263467.62960310996
2023-05-31,265434.781963441
2023-06-30,262287.056710949
2023-07-31,263846.19138903
2023-08-31,265214.65468523
2023-09-30,269634.73176453
2023-10-31,271020.32834893
2023-11-30,272334.98762161
2023-12-31,271047.28014240996
2024-01-31,271968.00726214
2024-02-29,272878.87194881
2024-03-31,275233.44578271004
2024-04-30,254668.67426536
2024-05-31,255233.96482411
2024-06-30,255405.44273562
2024-07-31,255833.35542701
2024-08-31,258110.85097194
2024-09-30,259695.03979376997
2024-10-31,260458.70829875002
2024-11-30,261463.38720331
2024-12-31,264297.64322794
2025-01-31,266648.74941896996
2025-02-28,267962.64785142
2025-03-31,270659.77224967995
2025-04-30,272553.64665951004
2025-05-31,274654.87741049996
2025-06-30,277752.31447404006
2025-07-31,278500.57064086996
2025-08-31,280018.81574637
2025-09-30,283627.57433865
2025-10-31,284554.14797381003
2025-11-30,285565.89218995
2025-12-31,286096.73199983634
2026-01-31,287984.7735562424
2026-02-28,289786.1099131276
2026-03-31,293439.0164508424
2026-04-30,294637.34709681966
2026-05-31,296724.2758922036
2026-06-30,299900.28368206415
