date,babilpobm:FBA|T|T|A40
2019-01-31,298307.1037261491
2019-02-28,290702.4590787535
2019-03-31,280927.20452891116
2019-04-30,296517.8337457327
2019-05-31,280440.6945370546
2019-06-30,271500.52804449556
2019-07-31,279597.4358444897
2019-08-31,275663.8957015925
2019-09-30,283884.8690327799
2019-10-31,272708.5930926783
2019-11-30,301763.6415760867
2019-12-31,286419.796716726
2020-01-31,299319.06577213516
2020-02-29,324318.80759657384
2020-03-31,329423.6575633002
2020-04-30,353078.0855206313
2020-05-31,336833.3018057958
2020-06-30,327639.357756702
2020-07-31,334821.3848703485
2020-08-31,319481.75069435604
2020-09-30,326530.4584246586
2020-10-31,326707.5970815462
2020-11-30,320010.4478872236
2020-12-31,304841.743248013
2021-01-31,323177.63376349775
2021-02-28,328659.53876896854
2021-03-31,348550.8660105814
2021-04-30,342178.2823200373
2021-05-31,336957.39325956616
2021-06-30,339959.8966451276
2021-07-31,337963.34697753296
2021-08-31,351559.2525942546
2021-09-30,353720.980937378
2021-10-31,349540.477718601
2021-11-30,355866.55080757
2021-12-31,345809.07879247
2022-01-31,361793.83000600117
2022-02-28,360015.6304234218
2022-03-31,363631.37068821973
2022-04-30,369736.2814838672
2022-05-31,371738.9030916876
2022-06-30,357131.4565682315
2022-07-31,362327.3948062418
2022-08-31,350709.6979800432
2022-09-30,342255.2186500159
2022-10-31,331062.69585760555
2022-11-30,337891.87025299476
2022-12-31,343112.0930779379
2023-01-31,360248.31199195836
2023-02-28,344178.9826147413
2023-03-31,379327.56408147694
2023-04-30,363978.9766570608
2023-05-31,375446.6450001188
2023-06-30,340843.5627408464
2023-07-31,333770.6365343912
2023-08-31,327310.384715349
2023-09-30,330692.14957391605
2023-10-31,318729.5421586244
2023-11-30,318072.6972986926
2023-12-31,294760.01258355274
2024-01-31,307342.5036414253
2024-02-29,310619.3640395378
2024-03-31,327519.52902953484
2024-04-30,327739.49247992993
2024-05-31,314946.54560524883
2024-06-30,310820.605303074
2024-07-31,324044.58458027605
2024-08-31,321694.53412873193
2024-09-30,313056.43009990605
2024-10-31,322372.271034305
2024-11-30,331625.214574625
2024-12-31,315428.249519176
2025-01-31,320293.08039352
2025-02-28,327870.375977624
2025-03-31,319880.994110627
2025-04-30,339702.581432954
2025-05-31,339477.2433186338
2025-06-30,328798.33621095977
2025-07-31,342779.44882275804
2025-08-31,331741.697888198
2025-09-30,327014.1091768386
2025-10-31,332970.35137732455
2025-11-30,330843.73296619
2025-12-31,322980.8226189512
2026-01-31,331955.9270315542
2026-02-28,328689.25587391783
2026-03-31,339463.02142111864
2026-04-30,341477.39499386196
2026-05-31,342287.0013624084
2026-06-30,334164.7178172383
