date,babilpobm:FKU|T|T|A40
2019-01-31,365431.0921756499
2019-02-28,367463.97773168096
2019-03-31,370150.0844484152
2019-04-30,376033.94528440293
2019-05-31,369577.1472577528
2019-06-30,374170.56867754506
2019-07-31,371981.6466292138
2019-08-31,370717.9001233521
2019-09-30,378773.0048967225
2019-10-31,377892.4277778165
2019-11-30,377830.2414926325
2019-12-31,376335.8416750614
2020-01-31,372635.7229267578
2020-02-29,375819.852538396
2020-03-31,390297.4630728231
2020-04-30,383635.246984415
2020-05-31,389083.22431900207
2020-06-30,387205.7191646322
2020-07-31,377701.40999457316
2020-08-31,379574.8167934526
2020-09-30,383057.69817291497
2020-10-31,383048.437313218
2020-11-30,386618.86778323696
2020-12-31,387648.961189071
2021-01-31,394650.533957171
2021-02-28,402690.464301597
2021-03-31,415025.38680463895
2021-04-30,403501.409856783
2021-05-31,404133.23745467595
2021-06-30,414181.871900959
2021-07-31,404937.143269895
2021-08-31,406295.853680569
2021-09-30,411964.34619742
2021-10-31,407430.9051332227
2021-11-30,410628.194681329
2021-12-31,413412.455332932
2022-01-31,417728.2650059824
2022-02-28,416961.40594927326
2022-03-31,412394.575972642
2022-04-30,418084.722809983
2022-05-31,418400.439874003
2022-06-30,418882.889711156
2022-07-31,410785.130405823
2022-08-31,417040.546599962
2022-09-30,418844.5645435754
2022-10-31,423245.3373866852
2022-11-30,415050.521371968
2022-12-31,397008.444020372
2023-01-31,396179.947769936
2023-02-28,398418.326089916
2023-03-31,393401.470744133
2023-04-30,390790.77885879896
2023-05-31,389841.33338271803
2023-06-30,388036.579969349
2023-07-31,375809.36543128197
2023-08-31,381176.501051091
2023-09-30,388778.05150383
2023-10-31,380521.27922258904
2023-11-30,378697.769083161
2023-12-31,366421.754769031
2024-01-31,365837.41349441896
2024-02-29,370731.889740453
2024-03-31,380285.433915533
2024-04-30,382520.7294173472
2024-05-31,380654.0362515198
2024-06-30,378007.43689739105
2024-07-31,367906.7881965638
2024-08-31,360736.57917655
2024-09-30,363764.805321161
2024-10-31,365802.88995924697
2024-11-30,366944.144544609
2024-12-31,371356.615401516
2025-01-31,375303.837520173
2025-02-28,375527.4543587228
2025-03-31,374491.434419781
2025-04-30,366483.57011646905
2025-05-31,366137.416142321
2025-06-30,361154.500101139
2025-07-31,360082.380804963
2025-08-31,360005.33075781557
2025-09-30,362534.7506933516
2025-10-31,363667.30747138395
2025-11-30,365881.05559070053
2025-12-31,366262.23253426835
2026-01-31,365867.18263024284
2026-02-28,367734.04680457787
2026-03-31,380716.5103413529
2026-04-30,389152.2132124997
2026-05-31,398576.3715370977
2026-06-30,400036.9508734417
