date,bakredinausbm:AV1|I|T1|F
2019-01-31,1179096.0
2019-02-28,1180789.0
2019-03-31,1183295.0
2019-04-30,1190163.0
2019-05-31,1193444.0
2019-06-30,1195799.0
2019-07-31,1199476.0
2019-08-31,1202216.0
2019-09-30,1206252.0
2019-10-31,1209019.0
2019-11-30,1214240.0
2019-12-31,1211532.0
2020-01-31,1216048.0
2020-02-29,1220116.0
2020-03-31,1233551.0
2020-04-30,1239223.0
2020-05-31,1245005.0
2020-06-30,1243965.0
2020-07-31,1243018.0
2020-08-31,1247341.0
2020-09-30,1249650.0
2020-10-31,1253785.0
2020-11-30,1259066.0
2020-12-31,1260402.0
2021-01-31,1269067.0
2021-02-28,1276813.0
2021-03-31,1282893.0
2021-04-30,1281955.0
2021-05-31,1286013.0
2021-06-30,1291483.0
2021-07-31,1292421.0
2021-08-31,1297395.0
2021-09-30,1299401.0
2021-10-31,1300169.0
2021-11-30,1302378.0
2021-12-31,1301509.0
2022-01-31,1309774.0
2022-02-28,1314625.0
2022-03-31,1318321.0
2022-04-30,1325579.0
2022-05-31,1327892.0
2022-06-30,1330177.0
2022-07-31,1332932.0
2022-08-31,1337038.0
2022-09-30,1339298.0
2022-10-31,1344355.0
2022-11-30,1347582.0
2022-12-31,1336849.0
2023-01-31,1342130.0
2023-02-28,1344502.0
2023-03-31,1346835.0
2023-04-30,1352573.0
2023-05-31,1356331.0
2023-06-30,1357324.0
2023-07-31,1351942.0
2023-08-31,1358334.0
2023-09-30,1360826.0
2023-10-31,1361119.0
2023-11-30,1367182.0
2023-12-31,1361634.0
2024-01-31,1364482.0
2024-02-29,1368322.0
2024-03-31,1375522.0
2024-04-30,1378194.0
2024-05-31,1382219.0
2024-06-30,1379582.0
2024-07-31,1379093.0
2024-08-31,1381006.0
2024-09-30,1384188.0
2024-10-31,1389246.0
2024-11-30,1392453.0
2024-12-31,1391747.0
2025-01-31,1397876.0
2025-02-28,1401452.0
2025-03-31,1405744.0
2025-04-30,1407120.0
2025-05-31,1412508.0
2025-06-30,1414882.0
2025-07-31,1418572.0
2025-08-31,1422271.0
2025-09-30,1424695.0
2025-10-31,1429710.0
2025-11-30,1431285.0
2025-12-31,1428987.0
2026-01-31,1434784.0
2026-02-28,1440556.0
2026-03-31,1447762.0
2026-04-30,1449125.0
2026-05-31,1458285.0
2026-06-30,1457651.0
