date,bamire:TB|T
2019-01-31,489337.07635095814
2019-02-28,491902.8230641016
2019-03-31,488605.7985511114
2019-04-30,485912.1874658758
2019-05-31,474965.8754205766
2019-06-30,477325.98226820596
2019-07-31,477248.76602344454
2019-08-31,483195.07132666424
2019-09-30,487660.8298802455
2019-10-31,504625.9471306255
2019-11-30,507587.12654395046
2019-12-31,510801.559118043
2020-01-31,510215.5525090514
2020-02-29,511805.97496450937
2020-03-31,551681.1265055698
2020-04-30,591834.2973274771
2020-05-31,603977.48124655
2020-06-30,616845.6979758315
2020-07-31,634573.3949464107
2020-08-31,640908.6678374487
2020-09-30,639538.9146114485
2020-10-31,645617.7077055981
2020-11-30,643824.5165596716
2020-12-31,638271.955104153
2021-01-31,646190.7227460044
2021-02-28,640022.0792896497
2021-03-31,635412.2251339762
2021-04-30,639462.8682333537
2021-05-31,638664.2270447586
2021-06-30,640613.4398766306
2021-07-31,643477.6263388529
2021-08-31,643016.0016837289
2021-09-30,644439.0883296862
2021-10-31,650584.3519814353
2021-11-30,652287.0073651084
2021-12-31,658037.1735989678
2022-01-31,666452.190377214
2022-02-28,664844.7169143627
2022-03-31,670200.9957851664
2022-04-30,671826.5669583743
2022-05-31,667540.6122234375
2022-06-30,648188.4904943703
2022-07-31,646774.0423890871
2022-08-31,646223.6881850333
2022-09-30,568363.6608760378
2022-10-31,537094.0040125962
2022-11-30,519520.8386062019
2022-12-31,505636.7234498466
2023-01-31,515653.798477989
2023-02-28,507179.6649630057
2023-03-31,526480.8854374525
2023-04-30,511499.9366064377
2023-05-31,507219.5564979147
2023-06-30,485675.0286672549
2023-07-31,479402.13517738885
2023-08-31,465381.0690169037
2023-09-30,474696.1962491828
2023-10-31,470506.1837860783
2023-11-30,464642.5837315235
2023-12-31,464984.08889593283
2024-01-31,473528.9006194131
2024-02-29,470763.67002512584
2024-03-31,465353.19584856636
2024-04-30,466319.5690732955
2024-05-31,452675.4678488607
2024-06-30,451671.56938896305
2024-07-31,456595.4127623775
2024-08-31,457223.6630303386
2024-09-30,463357.5004697511
2024-10-31,455971.2850860841
2024-11-30,454021.2276886963
2024-12-31,438828.2056332846
2025-01-31,433985.84931887453
2025-02-28,439814.0329357175
2025-03-31,443095.9372111983
2025-04-30,444917.2393564244
2025-05-31,434619.3357861128
2025-06-30,437065.2739498503
2025-07-31,444610.51471394394
2025-08-31,447377.5341104604
2025-09-30,453050.849206648
2025-10-31,445486.4608675302
2025-11-30,445573.2911843931
2025-12-31,439620.7957235416
2026-01-31,440050.2131666217
2026-02-28,438305.0727138331
2026-03-31,437390.85072077735
2026-04-30,438987.5517988784
2026-05-31,438594.9620878955
2026-06-30,446438.3206390599
